stock,Date,Open,High,Low,Close,Volume
MMM,2017-07-07,208.5,210.15,208.04,209.59,1531004
ABT,2017-07-07,48.17,48.48,47.98,48.44,4354311
ABBV,2017-07-07,72.11,72.11,71.63,72.03,4333674
ACN,2017-07-07,123.55,124.75,123.07,124.21,1889418
ATVI,2017-07-07,56.75,58.36,56.61,58.09,6223329
AYI,2017-07-07,199.68,200.57,197.41,198.53,572221
ADBE,2017-07-07,141.07,143.36,140.97,142.22,1533905
AMD,2017-07-07,13.27,13.74,13.18,13.36,88392137
AAP,2017-07-07,102.7,103.17,100.93,101.93,2118536
AES,2017-07-07,10.69,10.77,10.62,10.76,5535077
AET,2017-07-07,152.93,154.26,152.6,153.88,1412312
AMG,2017-07-07,167.16,170.81,167.16,169.87,377952
AFL,2017-07-07,77.74,78.34,77.62,77.98,1432117
A,2017-07-07,59.53,60.07,59.33,59.63,965439
APD,2017-07-07,142.43,144.13,142.08,144.01,708653
AKAM,2017-07-07,49.55,50.13,49.18,49.24,2019948
ALK,2017-07-07,91.68,93.98,91.61,93.89,1127126
ALB,2017-07-07,108.32,110.45,108.15,109.99,1567313
ARE,2017-07-07,118.15,118.65,117.72,118.53,399377
ALXN,2017-07-07,122.31,123.97,121.21,123.06,1995188
ALGN,2017-07-07,150.98,152.8,150.92,151.95,486397
ALLE,2017-07-07,80.85,81.64,80.22,81.22,413998
AGN,2017-07-07,241.93,242.6,239.16,240.69,1656271
ADS,2017-07-07,254.74,258.11,254.49,256.17,347827
LNT,2017-07-07,39.69,39.94,39.63,39.71,683568
ALL,2017-07-07,88.8,89.28,88.54,89.19,1117258
GOOGL,2017-07-07,930.98,944.66,929.79,940.81,1663302
GOOG,2017-07-07,908.85,921.54,908.85,918.59,1637785
MO,2017-07-07,74.6,74.62,73.92,74.25,3933109
AMZN,2017-07-07,969.55,980.11,969.14,978.76,2643387
AEE,2017-07-07,53.77,54.38,53.73,54.14,1156378
AAL,2017-07-07,52.3,53.38,52.18,53.03,6596952
AEP,2017-07-07,69.01,69.41,68.83,69.15,1747463
AXP,2017-07-07,83.93,84.68,83.77,84.33,2454587
AIG,2017-07-07,63.23,63.44,62.98,63.35,3360686
AWK,2017-07-07,77.79,78.23,77.53,77.76,659043
AMP,2017-07-07,129.27,131.7,128.97,131.31,634059
ABC,2017-07-07,93.04,94.26,92.74,93.91,1158714
AME,2017-07-07,61.35,62.04,61.07,61.56,849527
AMGN,2017-07-07,171.64,172.03,170.59,171.43,2612936
