Date,Open,High,Low,Close,Volume
2017-01-03,78.51,83.1,78.31,82.61,4134229
2017-01-04,82.6,85.14,82.47,84.66,2561906
2017-01-05,84.38,84.83,82.62,83.68,2136224
2017-01-06,83.53,85.78,83.53,84.8,2131961
2017-01-09,84.6,86.07,84.6,85.48,2081568
2017-01-10,85.1,86.14,84.3,84.83,1860866
2017-01-11,85.15,86.32,79.94,81.53,3994919
2017-01-12,82.28,84.94,81.95,83.86,2771249
2017-01-13,84.08,85.12,83.51,84.62,1397850
2017-01-17,84.92,86.47,84.09,85.99,2103556
2017-01-18,85.95,86.18,85.19,85.51,2094559
2017-01-19,85.28,85.78,84.82,85.47,1574505
2017-01-20,85.86,86.27,83.21,83.75,3780132
2017-01-23,83.72,85.1,83.31,84.88,1420144
2017-01-24,84.7,85.19,84.06,84.41,1513452
2017-01-25,84.9,85.92,84.58,85.83,1858179
2017-01-26,81.04,85.2,81.04,83.39,3482915
2017-01-27,83.68,83.68,82.07,82.43,1865412
2017-01-30,82.55,83.75,80.82,83.62,2650040
2017-01-31,86.62,87.84,83.0,87.28,5827271
2017-02-01,87.71,88.7,86.09,88.61,3361963
2017-02-02,88.05,88.78,86.57,88.05,3836359
2017-02-03,88.57,89.61,87.74,89.28,2990323
2017-02-06,89.17,91.65,88.93,89.98,2869751
2017-02-07,89.85,91.64,89.71,90.33,2108481
2017-02-08,90.18,91.11,89.68,91.07,1469758
2017-02-09,91.05,91.78,90.16,91.65,1630654
2017-02-10,91.54,91.75,90.27,91.17,1527574
2017-02-13,91.53,94.5,89.42,90.48,3038167
2017-02-14,90.0,91.09,89.73,90.82,2066338
2017-02-15,90.65,91.47,89.66,91.18,1944692
2017-02-16,91.0,91.54,89.0,90.32,2282876
2017-02-17,90.24,90.88,89.72,90.76,1441214
2017-02-21,90.74,91.15,89.56,91.01,2061161
2017-02-22,91.19,92.2,91.01,91.34,1152878
2017-02-23,91.45,92.4,90.96,91.61,2169821
2017-02-24,91.51,92.16,90.53,92.16,1001677
2017-02-27,92.31,92.74,91.3,91.73,1140061
2017-02-28,91.9,91.93,90.98,91.51,1916323
2017-03-01,92.19,92.81,91.69,92.23,1394379
2017-03-02,91.89,92.73,91.45,91.94,1438448
2017-03-03,92.22,92.67,91.47,92.23,1405380
2017-03-06,91.58,91.87,89.74,89.99,1807994
2017-03-07,89.23,89.8,87.92,88.48,2612066
2017-03-08,88.32,89.97,88.32,89.08,1847565
2017-03-09,89.4,89.4,88.08,88.61,1125654
2017-03-10,88.99,89.0,87.76,88.31,1545634
2017-03-13,88.76,89.25,88.22,89.14,1673888
2017-03-14,88.96,89.2,88.04,88.81,1243545
2017-03-15,88.85,89.57,88.14,89.48,1800390
2017-03-16,89.58,89.76,87.89,88.0,1520046
2017-03-17,87.91,88.32,86.88,87.53,2296128
2017-03-20,87.65,87.89,86.25,86.91,1618707
