Date,Open,High,Low,Close,Volume
2017-01-03,38.63,39.08,38.34,39.05,9677316
2017-01-04,39.06,39.72,39.06,39.36,22644542
2017-01-05,39.24,39.75,38.98,39.7,12080148
2017-01-06,39.7,40.99,39.66,40.78,14628910
2017-01-09,40.79,41.06,40.62,40.74,10992496
2017-01-10,40.81,41.62,40.78,41.29,9256298
2017-01-11,41.05,41.42,40.48,41.08,10699446
2017-01-12,40.79,40.79,40.31,40.72,8633354
2017-01-13,40.75,41.36,40.69,40.93,9533780
2017-01-17,40.67,41.04,40.53,40.9,8272727
2017-01-18,41.05,41.1,40.51,40.76,7195205
2017-01-19,40.64,40.73,40.24,40.4,7160171
2017-01-20,40.51,40.77,40.34,40.46,5908000
2017-01-23,40.32,40.54,40.2,40.34,7351854
2017-01-24,40.32,40.5,40.12,40.31,7773693
2017-01-25,39.76,40.46,39.25,40.31,16890214
2017-01-26,40.46,41.12,40.45,40.96,9410238
2017-01-27,41.11,41.31,40.9,41.0,7033637
2017-01-30,40.86,41.14,40.77,41.01,13811560
2017-01-31,40.73,41.79,40.6,41.77,12318224
2017-02-01,41.51,42.37,41.44,42.33,11948793
2017-02-02,42.18,42.79,41.85,42.75,11836897
2017-02-03,42.94,43.13,42.54,42.78,11642218
2017-02-06,42.57,42.75,42.23,42.43,8735171
2017-02-07,42.57,42.98,42.5,42.89,8697290
2017-02-08,42.66,42.73,42.28,42.4,6731375
2017-02-09,42.5,42.78,42.32,42.54,5138389
2017-02-10,42.74,42.8,42.48,42.74,3692381
2017-02-13,43.0,43.22,42.86,43.22,5672370
2017-02-14,43.01,43.73,42.96,43.65,8458818
2017-02-15,43.5,44.08,43.42,44.0,7946389
2017-02-16,44.0,44.21,43.74,44.2,8975535
2017-02-17,44.17,44.7,44.09,44.69,9632008
2017-02-21,44.65,45.15,44.54,45.01,11387762
2017-02-22,44.88,45.11,44.81,45.01,7534641
2017-02-23,45.02,45.51,44.85,45.4,9459424
2017-02-24,45.29,45.68,45.23,45.68,7608646
2017-02-27,45.51,45.56,45.18,45.46,6142610
2017-02-28,45.41,45.43,44.83,45.08,14211439
2017-03-01,45.37,45.7,45.18,45.59,8886276
2017-03-02,45.5,45.84,45.35,45.69,11164608
2017-03-03,45.42,45.56,45.11,45.25,6790781
2017-03-06,44.99,45.38,44.86,45.13,6001280
2017-03-07,44.81,45.16,44.67,45.0,6476612
2017-03-08,45.03,45.46,44.92,45.36,6398621
2017-03-09,45.36,45.74,45.34,45.63,5691017
2017-03-10,45.77,45.84,45.51,45.72,6105876
2017-03-13,45.65,45.78,45.23,45.53,7040547
2017-03-14,45.19,45.25,44.77,44.8,7504525
2017-03-15,44.96,45.4,44.86,45.32,6844368
2017-03-16,45.17,45.37,44.62,44.98,6704220
2017-03-17,45.1,45.27,44.77,45.19,12277435
2017-03-20,45.19,45.23,44.87,44.98,3521597
2017-03-21,45.15,45.38,44.6,44.8,5567081
2017-03-22,44.94,45.07,44.59,44.81,5198940
2017-03-23,44.71,44.99,44.59,44.77,3953148
2017-03-24,44.76,45.15,44.6,44.73,4753163
2017-03-27,44.53,44.8,44.39,44.7,6914657
2017-03-28,44.74,44.78,44.26,44.7,5377379
2017-03-29,44.67,44.84,44.37,44.67,4186949
2017-03-30,44.63,44.66,44.36,44.55,4411647
2017-03-31,44.33,44.82,44.33,44.41,7146506
2017-04-03,44.42,44.61,44.08,44.47,7955821
2017-04-04,44.53,44.55,44.01,44.18,5399161
2017-04-05,44.17,44.54,43.7,43.8,7762250
2017-04-06,43.81,43.81,43.35,43.67,6067344
2017-04-07,43.62,43.95,43.57,43.83,5327817
2017-04-10,43.83,43.96,43.54,43.59,4321303
2017-04-11,43.22,43.6,43.15,43.58,4871886
2017-04-12,43.32,43.59,43.19,43.48,4778945
2017-04-13,42.4,42.96,42.39,42.67,11426957
2017-04-17,42.67,43.38,42.31,43.31,8068503
2017-04-18,43.09,43.59,42.96,43.43,10131161
2017-04-19,43.78,44.0,43.12,43.59,13454621
2017-04-20,43.69,44.15,43.52,43.98,5871911
2017-04-21,43.94,43.98,43.43,43.53,7519813
2017-04-24,44.07,44.26,43.84,44.13,6727012
2017-04-25,44.21,44.39,43.76,43.76,6793106
2017-04-26,43.93,44.15,43.71,43.8,5591151
2017-04-27,43.96,44.01,43.6,43.65,7487495
2017-04-28,43.67,43.75,43.5,43.64,6014062
2017-05-01,43.57,43.66,43.32,43.48,5119107
2017-05-02,43.66,43.77,43.4,43.6,6166080
2017-05-03,43.61,43.75,43.49,43.72,4579737
2017-05-04,43.75,44.59,43.72,44.59,6551398
2017-05-05,44.58,44.69,44.48,44.64,5893207
2017-05-08,44.7,44.9,44.63,44.68,6320137
2017-05-09,44.65,44.77,44.56,44.67,4943052
2017-05-10,44.7,44.7,44.37,44.5,5253297
2017-05-11,44.39,44.39,43.78,43.86,7071583
2017-05-12,43.9,44.17,43.87,43.96,5775769
2017-05-15,43.92,44.23,43.9,44.04,4223510
2017-05-16,44.59,44.59,43.41,43.69,7159346
2017-05-17,43.4,43.61,43.05,43.08,5989323
2017-05-18,43.17,43.28,42.88,42.98,5225119
2017-05-19,43.15,43.32,43.01,43.16,5882979
2017-05-22,43.27,43.87,43.1,43.73,5802308
2017-05-23,43.71,44.17,43.62,43.68,4673163
2017-05-24,43.79,43.79,43.4,43.53,4590820
2017-05-25,43.78,44.0,43.44,43.95,4473908
2017-05-26,43.92,44.85,43.83,44.71,8624069
2017-05-30,44.46,45.1,44.21,45.0,8119697
2017-05-31,45.2,45.75,45.18,45.66,10449789
2017-06-01,45.52,46.1,45.47,46.1,7385462
2017-06-02,46.33,46.55,46.15,46.5,6885739
2017-06-05,46.57,46.75,46.38,46.62,7810647
2017-06-06,46.58,46.7,46.32,46.36,6048344
2017-06-07,46.38,46.6,46.23,46.56,4358394
2017-06-08,46.05,46.98,45.92,46.72,8364417
2017-06-09,46.81,47.31,46.66,47.29,9117724
2017-06-12,47.29,47.72,46.83,47.17,7365566
2017-06-13,47.24,47.67,47.2,47.46,7163673
2017-06-14,47.46,47.87,47.45,47.64,6076858
