Date,Open,High,Low,Close,Volume
2017-01-03,70.09,70.34,69.32,69.77,2324808
2017-01-04,70.0,70.75,69.81,70.41,1946700
2017-01-05,70.29,70.62,69.61,69.95,2240193
2017-01-06,70.19,70.64,69.78,70.19,2234016
2017-01-09,69.89,70.15,69.38,69.52,1811813
2017-01-10,69.51,70.1,69.14,69.43,2694535
2017-01-11,69.51,69.91,69.27,69.86,2161218
2017-01-12,69.45,70.1,69.04,69.57,2783793
2017-01-13,69.77,70.2,68.86,69.64,2009302
2017-01-17,69.13,70.12,69.09,69.88,3217341
2017-01-18,70.07,70.24,69.38,69.97,2386952
2017-01-19,70.06,70.24,68.84,69.46,2293582
2017-01-20,69.92,70.18,69.62,70.08,2406308
2017-01-23,70.0,70.04,69.14,69.35,1771424
2017-01-24,69.67,69.96,69.34,69.82,2508770
2017-01-25,70.11,70.58,69.96,70.46,3582985
2017-01-26,70.55,70.77,70.38,70.56,2985851
2017-01-27,70.41,70.55,70.0,70.27,1200788
2017-01-30,70.25,70.52,69.86,70.35,2392567
2017-01-31,70.31,70.76,69.61,69.99,3790654
2017-02-01,69.0,69.95,66.6,67.14,4609537
2017-02-02,66.77,68.13,66.5,67.83,2686827
2017-02-03,68.9,68.92,68.2,68.61,2139173
2017-02-06,68.4,69.05,68.17,68.93,1826210
2017-02-07,69.22,69.28,68.62,68.97,1855283
2017-02-08,68.95,69.76,68.8,69.64,2111454
2017-02-09,69.9,70.07,69.51,69.9,2419046
2017-02-10,70.0,70.1,69.91,69.98,2132011
2017-02-13,69.81,71.25,69.81,70.98,3005770
2017-02-14,70.86,71.22,70.7,71.04,2167057
2017-02-15,70.87,71.22,70.71,71.0,2264590
2017-02-16,70.7,71.34,70.64,71.19,2399047
2017-02-17,70.93,71.13,70.34,71.1,2081865
2017-02-21,71.12,71.74,71.12,71.42,1821930
2017-02-22,71.06,71.48,70.98,71.16,1758088
2017-02-23,71.2,71.72,71.2,71.72,1398646
