Date,Open,High,Low,Close,Volume
2017-01-03,214.15,216.72,212.25,216.19,7935320
2017-01-04,216.78,218.94,213.55,215.56,3639944
2017-01-05,216.5,221.85,213.26,220.83,5121784
2017-01-06,220.0,222.14,217.56,219.08,3443646
2017-01-09,220.09,221.48,218.91,220.1,2721001
2017-01-10,220.36,223.28,217.27,221.25,2789264
2017-01-11,220.5,222.43,212.05,216.24,6717523
2017-01-12,213.84,217.17,208.35,216.24,3989102
2017-01-13,215.76,217.98,215.71,216.14,3898459
2017-01-17,214.4,215.88,211.43,214.78,3866058
2017-01-18,216.5,219.13,214.7,216.56,2680021
2017-01-19,217.0,217.46,214.15,214.58,3142741
2017-01-20,214.76,216.07,213.13,214.34,2925807
2017-01-23,212.43,218.08,211.11,214.82,3877584
2017-01-24,214.99,215.47,210.7,213.11,3132431
2017-01-25,213.7,215.37,211.1,213.57,3018480
2017-01-26,214.31,214.94,210.6,210.8,2128098
2017-01-27,211.54,214.59,210.81,213.2,2397516
2017-01-30,212.98,213.2,210.75,211.87,2533322
2017-01-31,209.91,219.55,209.31,218.89,3294071
2017-02-01,219.0,230.6,217.56,229.32,6637165
2017-02-02,228.72,235.19,226.5,229.52,5677392
2017-02-03,230.0,232.23,227.82,230.87,2776471
2017-02-06,228.76,234.58,227.0,234.43,3205888
2017-02-07,235.0,238.4,230.88,232.61,5077790
2017-02-08,236.09,243.8,231.53,241.17,6587224
2017-02-09,241.84,249.64,241.54,245.68,6926013
2017-02-10,245.5,247.19,243.5,246.36,3084426
2017-02-13,245.9,249.6,245.9,246.76,3025626
2017-02-14,246.66,249.27,244.65,248.57,2937033
2017-02-15,249.1,250.94,246.5,249.32,3510906
2017-02-16,249.33,249.5,245.22,246.93,2978722
2017-02-17,246.13,248.29,245.67,247.35,2494568
2017-02-21,247.35,249.84,246.4,247.16,2555443
2017-02-22,247.26,249.0,246.02,246.32,1920148
2017-02-23,245.5,248.58,244.88,247.03,1954897
2017-02-24,246.11,246.88,243.94,245.37,1842944
2017-02-27,244.0,247.08,243.48,246.25,2354192
2017-02-28,245.75,246.69,243.74,244.82,4556309
2017-03-01,245.94,246.74,242.44,245.29,3177155
2017-03-02,245.94,248.5,244.52,244.96,2642887
2017-03-03,244.07,245.97,243.01,245.63,2357149
2017-03-06,244.76,244.93,241.48,242.36,2612594
2017-03-07,239.99,240.84,236.5,239.6,5612744
2017-03-08,242.04,243.13,239.0,239.44,3256315
2017-03-09,240.31,241.68,238.72,240.18,2008733
2017-03-10,240.53,242.44,238.85,241.15,9454398
2017-03-13,241.37,241.76,240.28,240.65,3841193
2017-03-14,239.49,241.01,238.39,239.45,2063574
2017-03-15,239.44,241.25,237.35,240.67,2167283
2017-03-16,241.22,241.22,238.6,239.42,1830549
2017-03-17,238.9,240.4,237.23,237.38,4946289
2017-03-20,237.98,238.0,236.38,236.95,3592095
2017-03-21,237.05,238.47,234.31,234.55,3862478
2017-03-22,234.21,236.41,233.35,233.99,2228947
2017-03-23,234.13,237.2,233.0,235.29,2639098
2017-03-24,235.35,238.35,234.86,237.33,2688552
2017-03-27,235.34,240.47,235.15,239.38,2515433
2017-03-28,239.38,241.21,239.38,240.53,1975647
2017-03-29,240.61,243.06,240.45,241.34,2233778
2017-03-30,241.48,241.82,239.14,239.8,1852877
2017-03-31,238.92,241.07,238.43,238.92,2340793
2017-04-03,238.76,241.25,236.5,237.68,2062794
2017-04-04,237.93,239.67,236.77,238.43,1771132
2017-04-05,238.44,241.36,237.34,237.77,2001969
2017-04-06,237.77,239.97,237.15,238.34,1512926
2017-04-07,237.62,239.73,236.43,238.85,2237900
2017-04-10,239.44,241.26,239.22,240.12,1180756
2017-04-11,239.39,240.5,238.12,239.11,2432550
2017-04-12,238.92,239.35,236.38,237.83,1429516
2017-04-13,236.76,239.39,236.57,237.83,1275352
2017-04-17,237.83,238.06,235.8,236.13,2261037
2017-04-18,235.0,236.41,233.0,234.38,2566159
2017-04-19,234.85,236.58,234.2,236.34,1397606
2017-04-20,237.33,238.99,236.36,237.94,1613629
2017-04-21,236.29,237.89,235.32,236.35,1714025
2017-04-24,238.0,238.64,236.69,236.98,2151864
2017-04-25,238.12,239.2,236.51,238.22,2984913
2017-04-26,238.91,240.48,238.1,239.5,1925422
2017-04-27,239.9,243.25,239.77,243.05,2204106
2017-04-28,243.09,244.15,240.56,243.86,1835243
2017-05-01,244.0,246.86,243.16,245.23,2032217
2017-05-02,245.62,246.0,243.2,245.5,1406475
2017-05-03,244.25,245.22,243.5,243.76,1400480
2017-05-04,244.2,246.22,243.83,245.25,1505267
2017-05-05,245.9,246.42,243.66,244.94,1306095
2017-05-08,245.0,245.03,240.19,241.95,2709064
2017-05-09,246.05,246.74,237.65,238.51,3677662
2017-05-10,235.12,235.49,228.44,229.72,5697892
2017-05-11,230.77,234.12,230.63,231.01,3007417
2017-05-12,231.08,232.28,229.05,230.88,2447390
2017-05-15,230.13,231.18,227.51,228.22,3133684
2017-05-16,229.73,229.73,223.71,224.55,4725642
2017-05-17,222.75,223.66,220.25,220.33,4874534
2017-05-18,220.62,221.56,218.6,218.73,3718855
2017-05-19,219.43,221.55,219.0,219.13,2958041
2017-05-22,218.97,221.3,218.73,219.52,1770195
2017-05-23,219.76,221.65,219.21,220.66,1667221
2017-05-24,221.37,225.35,221.26,224.16,2805211
2017-05-25,224.33,226.07,224.1,224.36,1421280
2017-05-26,224.41,225.14,222.95,223.12,1697663
2017-05-30,222.8,225.09,222.11,222.11,2944580
2017-05-31,222.67,224.71,221.9,223.75,4074746
2017-06-01,224.42,227.39,223.64,227.39,2413196
2017-06-02,227.7,228.93,227.04,228.16,1765805
2017-06-05,229.31,229.66,227.03,228.18,1549562
2017-06-06,227.28,228.57,227.28,228.31,1917718
2017-06-07,228.85,228.92,227.56,228.19,1470371
2017-06-08,228.21,229.89,228.0,229.41,1694546
2017-06-09,230.0,233.47,229.64,232.36,2043252
2017-06-12,231.99,232.36,229.19,230.77,1945588
2017-06-13,230.35,231.42,229.22,230.79,1511194
2017-06-14,231.36,234.0,230.13,233.04,2192748
2017-06-15,232.12,235.48,232.12,234.76,2062253
2017-06-16,234.57,236.06,234.37,235.49,2228743
2017-06-19,236.56,240.11,235.77,237.67,2555046
2017-06-20,237.35,240.14,237.21,238.63,1847591
2017-06-21,238.91,244.71,238.41,244.39,2646374
2017-06-22,245.0,249.44,243.87,247.11,2724919
2017-06-23,247.27,247.93,245.02,246.46,5108969
2017-06-26,247.0,250.25,246.68,248.91,1855030
2017-06-27,247.71,249.91,246.09,246.09,1832385
2017-06-28,247.37,249.21,246.21,246.71,1715240
2017-06-29,246.78,248.2,242.94,244.02,1882477
2017-06-30,244.27,244.96,242.3,243.09,1724708
2017-07-03,244.0,245.5,243.41,243.98,698943
2017-07-05,243.37,245.85,242.49,244.29,1875186
2017-07-06,243.01,244.54,241.46,241.55,1560745
2017-07-07,241.93,242.6,239.16,240.69,1656271
2017-07-10,240.74,242.1,240.01,241.17,1099651
2017-07-11,240.56,243.49,240.56,242.12,1604152
2017-07-12,243.26,247.28,242.81,245.59,1459938
2017-07-13,245.33,245.75,242.79,244.13,1478770
