Date,Open,High,Low,Close,Volume
2017-01-03,93.64,94.12,92.72,94.12,429223
2017-01-04,94.05,95.33,92.49,95.09,459078
2017-01-05,95.35,95.95,94.51,95.13,412405
2017-01-06,95.28,96.33,95.06,95.98,359416
2017-01-09,95.06,95.5,94.06,94.11,500173
2017-01-10,94.24,95.21,93.93,94.2,370760
2017-01-11,94.15,94.81,93.95,94.8,338106
2017-01-12,94.74,95.3,93.94,94.83,382823
2017-01-13,94.96,96.03,94.6,94.83,254868
2017-01-17,94.31,95.31,93.74,94.71,399581
2017-01-18,95.04,95.54,94.24,95.12,397797
2017-01-19,95.37,95.95,95.07,95.65,347037
2017-01-20,95.81,96.66,95.49,96.15,349594
2017-01-23,96.1,96.34,95.68,95.97,263231
2017-01-24,95.93,97.05,95.93,96.74,222549
2017-01-25,97.37,98.2,97.37,98.03,376744
2017-01-26,97.96,98.92,97.94,98.88,289373
2017-01-27,98.89,98.98,97.84,97.88,305315
2017-01-30,97.7,97.7,96.43,96.96,379056
2017-01-31,97.06,97.3,96.63,97.13,383969
2017-02-01,97.66,97.92,97.05,97.36,337547
2017-02-02,97.37,97.75,96.99,97.34,282831
2017-02-03,97.86,98.36,97.45,98.01,302392
2017-02-06,97.52,97.93,97.08,97.39,242732
2017-02-07,97.59,97.94,96.91,97.0,457249
2017-02-08,94.98,94.98,89.55,90.45,990656
2017-02-09,90.45,91.88,90.07,91.36,798047
2017-02-10,91.36,93.01,91.19,92.93,469183
2017-02-13,93.05,94.92,93.04,94.32,401146
2017-02-14,93.51,95.45,92.94,95.25,319659
2017-02-15,94.86,96.25,94.86,96.25,369670
2017-02-16,96.31,97.09,96.07,96.52,454197
2017-02-17,96.09,96.75,95.52,96.75,356715
2017-02-21,96.37,98.27,96.36,98.04,435822
2017-02-22,97.55,98.49,97.55,98.39,386999
2017-02-23,98.0,99.05,98.0,98.84,448764
2017-02-24,98.15,98.79,97.76,98.76,267721
2017-02-27,98.68,98.97,97.75,98.12,286107
2017-02-28,98.12,99.08,97.9,99.0,412757
2017-03-01,100.0,101.32,100.0,100.85,418972
2017-03-02,100.86,100.86,99.68,99.75,411349
2017-03-03,99.9,100.47,99.41,99.87,332715
2017-03-06,99.02,99.83,98.77,99.58,295356
2017-03-07,99.62,99.81,99.0,99.6,269364
2017-03-08,100.24,100.63,99.41,99.48,269616
2017-03-09,99.78,100.17,99.48,99.97,251470
2017-03-10,100.37,100.38,99.48,99.64,293608
2017-03-13,99.48,100.11,99.13,99.41,335878
2017-03-14,99.27,99.79,98.05,99.49,324423
2017-03-15,99.25,99.66,98.6,99.02,343675
2017-03-16,99.03,99.5,98.09,98.59,382171
2017-03-17,98.59,99.23,98.15,98.97,806491
2017-03-20,98.61,98.61,97.41,97.65,365974
2017-03-21,98.23,98.23,95.37,95.45,567466
2017-03-22,95.47,95.97,94.78,95.58,356188
2017-03-23,95.31,96.49,95.11,95.34,482507
2017-03-24,95.51,96.13,94.68,95.06,298196
2017-03-27,93.86,94.95,93.36,94.56,539044
2017-03-28,94.34,95.73,93.9,95.5,460972
2017-03-29,95.39,95.46,94.25,94.31,445551
2017-03-30,94.48,95.52,94.31,95.44,307750
2017-03-31,95.37,96.14,94.34,95.67,282139
2017-04-03,95.82,96.16,93.95,95.01,411964
2017-04-04,94.78,95.65,94.34,94.96,287296
2017-04-05,95.76,95.76,94.29,94.35,387243
2017-04-06,94.34,94.86,93.61,94.79,665355
2017-04-07,94.27,95.41,93.99,94.69,276327
2017-04-10,94.69,95.94,94.65,94.85,260594
2017-04-11,94.57,95.25,94.06,95.21,175877
2017-04-12,94.87,95.06,93.54,93.63,352191
2017-04-13,92.91,94.07,92.34,92.68,465483
2017-04-17,93.19,94.25,92.96,94.22,322182
2017-04-18,93.61,94.04,92.87,93.6,349740
2017-04-19,94.41,94.63,93.66,93.97,265120
2017-04-20,94.47,95.65,93.94,95.11,390918
2017-04-21,94.85,95.22,94.54,94.7,345772
2017-04-24,95.57,96.39,95.55,96.12,414768
2017-04-25,96.55,97.35,96.22,96.92,387798
2017-04-26,97.01,98.01,96.92,97.02,294527
2017-04-27,97.16,97.49,96.95,97.12,350109
2017-04-28,97.03,97.1,96.09,96.24,309357
2017-05-01,96.9,97.42,96.27,97.25,315324
2017-05-02,97.25,98.29,97.13,98.14,435709
2017-05-03,99.99,104.67,98.7,104.51,1152679
2017-05-04,104.56,106.02,103.86,104.47,505646
2017-05-05,104.57,104.95,103.11,103.92,351157
2017-05-08,104.19,105.56,104.12,105.3,418118
2017-05-09,105.26,105.99,104.29,104.43,417578
2017-05-10,103.97,104.68,103.27,103.63,389964
2017-05-11,103.3,103.79,102.36,102.65,407676
2017-05-12,102.36,102.69,101.96,102.05,278993
2017-05-15,102.3,102.74,101.41,102.26,257087
2017-05-16,102.3,102.75,101.7,101.97,235447
2017-05-17,100.81,101.56,100.0,100.16,471480
2017-05-18,100.3,100.3,99.11,99.28,430088
2017-05-19,99.58,100.03,99.18,99.53,417510
2017-05-22,100.04,100.2,99.23,99.59,343095
2017-05-23,99.59,99.72,98.67,99.49,428994
2017-05-24,99.55,99.69,98.68,99.4,282437
2017-05-25,99.2,100.68,99.01,100.45,257650
2017-05-26,100.36,100.45,98.9,99.28,279809
2017-05-30,99.18,99.54,98.32,98.55,387775
2017-05-31,98.64,98.64,97.28,97.98,689469
2017-06-01,98.64,100.45,98.06,100.15,357904
2017-06-02,99.67,100.35,98.81,100.16,348457
2017-06-05,100.17,100.8,99.0,99.09,339397
2017-06-06,98.68,99.06,98.01,98.99,308834
2017-06-07,99.29,99.56,98.47,98.71,271487
2017-06-08,98.74,99.83,98.74,99.29,757257
2017-06-09,99.73,101.92,99.72,101.68,389843
2017-06-12,101.9,102.05,99.95,101.3,460048
2017-06-13,101.32,102.23,101.12,101.73,274789
2017-06-14,101.51,102.66,101.18,102.33,353941
2017-06-15,101.56,103.97,101.56,103.52,341532
2017-06-16,103.49,104.52,102.94,104.48,617958
2017-06-19,105.0,105.12,104.3,104.74,287056
2017-06-20,104.11,104.74,103.5,103.98,223874
2017-06-21,104.24,104.44,102.05,102.25,335676
2017-06-22,101.84,102.05,100.23,100.26,394208
2017-06-23,100.76,101.54,100.44,101.25,794456
2017-06-26,102.29,104.49,102.02,103.88,528067
2017-06-27,103.95,104.19,103.28,103.64,351021
2017-06-28,104.36,105.47,104.18,104.8,378856
2017-06-29,105.85,105.85,103.5,104.2,363097
2017-06-30,104.55,104.74,103.3,103.69,363013
2017-07-03,104.28,106.47,104.26,105.15,209068
2017-07-05,105.24,105.7,104.41,104.55,406387
2017-07-06,104.6,105.37,103.78,104.15,410510
2017-07-07,104.15,105.97,104.14,105.32,259750
2017-07-10,105.01,105.31,104.71,104.93,417833
2017-07-11,104.95,105.24,104.08,104.45,278288
2017-07-12,104.44,104.86,103.9,104.46,485009
2017-07-13,104.58,105.48,104.41,105.19,211319
