Date,Open,High,Low,Close,Volume
2017-01-03,52.0,52.33,51.8,52.24,1058717
2017-01-04,52.42,53.23,52.24,52.9,1382821
2017-01-05,52.76,53.09,52.58,53.02,1309518
2017-01-06,53.22,53.36,53.08,53.14,871926
2017-01-09,52.99,53.14,52.37,52.4,922414
2017-01-10,52.43,52.75,52.27,52.42,616254
2017-01-11,52.39,52.6,52.04,52.48,622043
2017-01-12,52.17,52.65,51.96,52.58,1076165
2017-01-13,52.65,53.04,52.65,52.81,507765
2017-01-17,52.36,52.81,52.14,52.57,689935
2017-01-18,52.74,53.01,52.29,52.93,510535
2017-01-19,53.04,53.06,52.51,52.67,520671
2017-01-20,52.88,52.97,52.57,52.84,703679
2017-01-23,52.74,52.96,52.58,52.74,721664
2017-01-24,52.93,53.42,52.77,53.23,876511
2017-01-25,53.5,53.87,53.3,53.79,914304
2017-01-26,53.89,54.07,53.74,53.79,856045
2017-01-27,53.7,54.65,53.05,54.62,1053685
2017-01-30,54.26,54.51,53.33,53.87,1075629
2017-01-31,53.77,54.0,53.53,53.83,833056
2017-02-01,53.97,54.19,53.39,53.44,755423
2017-02-02,53.37,54.17,53.19,53.95,871330
2017-02-03,54.26,54.47,53.86,54.01,846435
2017-02-06,53.82,54.2,53.82,54.02,440394
2017-02-07,54.28,54.28,53.77,53.93,578909
2017-02-08,53.84,54.08,53.63,54.06,632251
2017-02-09,54.15,54.75,54.07,54.71,779152
2017-02-10,54.83,55.3,54.47,55.17,928367
2017-02-13,55.35,55.74,55.16,55.55,678351
2017-02-14,55.26,55.79,55.19,55.56,885972
2017-02-15,55.56,55.89,55.36,55.82,567138
2017-02-16,55.82,56.49,55.78,56.47,640511
2017-02-17,56.24,56.94,55.96,56.94,1206116
2017-02-21,56.7,57.19,56.06,56.15,1215688
2017-02-22,56.05,56.4,55.79,56.22,705593
2017-02-23,56.23,56.47,56.17,56.47,553217
2017-02-24,56.14,56.91,55.96,56.86,751284
2017-02-27,56.86,57.08,56.8,56.98,645442
2017-02-28,57.04,57.26,56.77,56.95,833281
2017-03-01,57.26,57.82,57.04,57.76,1145578
2017-03-02,57.71,57.79,56.72,56.78,816599
2017-03-03,56.62,56.94,56.46,56.86,654217
2017-03-06,56.42,56.7,56.3,56.4,662124
2017-03-07,56.34,56.54,55.85,56.32,880611
2017-03-08,56.6,56.63,55.97,56.15,678990
2017-03-09,56.17,56.47,55.97,56.24,701330
2017-03-10,56.61,56.73,56.22,56.66,585186
2017-03-13,56.56,57.0,56.5,56.99,1217235
2017-03-14,56.88,56.93,56.53,56.85,618895
2017-03-15,56.89,57.16,56.75,57.07,813627
2017-03-16,57.33,57.53,56.72,56.86,857164
2017-03-17,56.9,57.1,56.57,56.93,5600788
2017-03-20,56.95,57.27,56.66,56.88,848434
2017-03-21,57.17,57.17,55.97,56.01,997678
2017-03-22,55.95,56.43,55.84,56.12,1013713
2017-03-23,56.2,56.8,55.92,56.28,764719
2017-03-24,56.46,56.92,56.22,56.44,879270
2017-03-27,55.87,56.65,55.54,56.54,628374
2017-03-28,56.39,57.09,56.12,57.01,665007
2017-03-29,56.87,57.1,56.73,56.79,777946
2017-03-30,56.64,56.92,56.59,56.77,447924
2017-03-31,56.6,56.82,56.5,56.54,941271
2017-04-03,56.6,56.64,55.81,56.02,887030
2017-04-04,56.01,56.51,55.77,56.38,712439
2017-04-05,56.51,56.66,55.95,56.0,830791
2017-04-06,56.09,56.5,55.73,56.4,689306
2017-04-07,56.27,56.57,56.08,56.33,894945
2017-04-10,56.26,56.54,56.13,56.34,1234982
2017-04-11,56.1,56.53,55.89,56.3,1033985
2017-04-12,56.16,56.18,55.61,55.79,1008711
2017-04-13,55.66,55.86,55.47,55.51,534869
2017-04-17,55.74,56.33,55.49,56.28,871919
2017-04-18,56.14,56.44,55.88,56.04,774301
2017-04-19,56.36,56.45,55.69,55.82,745055
2017-04-20,56.03,56.48,55.79,56.25,2010257
2017-04-21,56.0,56.37,55.61,55.61,767924
2017-04-24,56.49,56.5,55.85,56.05,833636
2017-04-25,56.4,56.57,56.16,56.44,786497
2017-04-26,56.43,56.7,56.28,56.35,954247
2017-04-27,56.5,56.99,56.5,56.73,765755
2017-04-28,56.31,56.31,55.25,55.81,1130024
2017-05-01,56.1,56.14,55.67,55.94,779413
2017-05-02,55.66,56.21,54.89,55.07,1749720
2017-05-03,54.95,55.23,54.82,55.01,1336875
2017-05-04,55.25,55.46,54.86,55.36,1241810
2017-05-05,55.48,55.71,55.36,55.71,655024
2017-05-08,55.83,55.93,55.35,55.48,750406
2017-05-09,55.58,55.76,55.15,55.22,696734
2017-05-10,55.09,55.62,54.93,55.48,950898
2017-05-11,55.24,55.57,54.8,55.13,953512
2017-05-12,54.92,55.2,54.62,54.73,791785
2017-05-15,54.67,55.27,54.5,55.19,916371
2017-05-16,55.27,55.48,55.05,55.31,561557
2017-05-17,54.63,55.23,54.63,54.96,830353
2017-05-18,55.24,55.59,54.91,55.38,790161
2017-05-19,55.32,55.94,55.27,55.76,1256858
2017-05-22,55.9,56.32,55.66,56.27,789432
2017-05-23,56.28,56.75,56.06,56.69,889374
2017-05-24,56.72,56.91,56.52,56.84,542407
2017-05-25,57.0,57.57,56.82,57.55,764284
2017-05-26,57.42,57.54,57.1,57.12,855250
2017-05-30,56.81,57.15,56.55,56.97,970791
2017-05-31,56.81,56.94,56.34,56.73,1357058
2017-06-01,56.88,57.46,56.72,57.46,1224122
2017-06-02,57.33,57.55,57.06,57.35,534121
2017-06-05,57.24,57.49,56.88,56.91,791255
2017-06-06,56.7,56.7,56.18,56.25,589937
2017-06-07,56.49,57.14,56.22,56.93,1002321
2017-06-08,57.04,57.44,56.87,57.39,785555
2017-06-09,57.5,57.95,57.23,57.88,703151
