Date,Open,High,Low,Close,Volume
2016-01-04,64.99,65.0,63.43,64.27,985888
2016-01-05,64.64,67.0,64.64,64.95,746616
2016-01-06,64.11,65.82,64.03,64.87,877822
2016-01-07,63.53,64.89,62.9,63.5,769361
2016-01-08,64.38,66.1,63.94,64.53,916004
2016-01-11,64.78,64.95,60.44,61.0,884991
2016-01-12,61.0,62.21,60.61,61.77,383561
2016-01-13,61.89,62.02,58.68,58.86,482127
2016-01-14,59.31,60.52,58.18,59.99,408341
2016-01-15,58.7,59.86,57.83,59.86,459523
2016-01-19,60.27,61.05,59.3,59.77,605605
2016-01-20,59.16,60.94,57.31,60.33,740156
2016-01-21,60.46,61.35,59.88,60.73,397846
2016-01-22,61.18,61.46,59.86,60.95,697317
2016-01-25,60.81,61.33,60.17,60.39,333787
2016-01-26,60.47,62.34,59.94,62.21,342371
2016-01-27,62.4,62.94,61.21,61.42,367789
2016-01-28,61.58,62.2,58.43,59.51,1243579
2016-01-29,64.5,69.36,62.88,66.14,2197906
2016-02-01,66.11,68.03,65.58,67.55,1052810
2016-02-02,65.65,67.75,65.57,67.54,837144
2016-02-03,67.76,68.0,65.25,67.17,587206
2016-02-04,67.01,67.99,66.65,67.38,398137
2016-02-05,67.1,67.34,65.02,65.87,557887
2016-02-08,65.0,65.0,57.51,58.65,1550011
2016-02-09,58.22,59.74,58.04,58.66,818457
2016-02-10,59.21,62.68,58.69,60.13,1108444
2016-02-11,59.21,59.72,57.75,58.79,724140
2016-02-12,59.74,59.95,58.0,58.78,512383
2016-02-16,59.61,61.95,58.96,61.87,741875
2016-02-17,62.07,63.66,61.06,63.1,607546
2016-02-18,63.62,63.83,62.39,62.88,447001
2016-02-19,62.35,63.44,61.44,63.29,289225
2016-02-22,63.77,64.66,63.68,64.33,397980
2016-02-23,63.42,64.5,62.82,62.94,427629
2016-02-24,62.24,63.55,61.49,63.32,407403
2016-02-25,63.5,64.5,62.25,64.46,351951
2016-02-26,64.2,65.62,64.16,65.4,422639
2016-02-29,65.32,66.25,65.08,66.03,627304
2016-03-01,66.26,68.08,65.77,67.86,694778
2016-03-02,67.98,68.62,66.72,68.51,562630
2016-03-03,68.59,69.58,67.76,69.44,465579
2016-03-04,69.48,70.6,68.48,70.39,772622
2016-03-07,70.35,71.65,69.84,71.55,618522
2016-03-08,71.07,71.51,69.84,70.6,843184
2016-03-09,70.66,71.14,70.13,70.69,718287
2016-03-10,70.63,71.08,69.45,70.42,691760
2016-03-11,71.22,72.75,70.84,72.3,652814
2016-03-14,71.58,72.56,71.12,72.21,487985
2016-03-15,71.97,72.74,70.82,71.04,616166
2016-03-16,70.6,72.83,70.41,72.64,683932
2016-03-17,68.67,69.24,66.79,68.47,3110899
2016-03-18,68.5,69.43,68.25,68.9,1293305
2016-03-21,69.22,69.88,68.46,68.8,892530
2016-03-22,68.71,69.88,68.44,69.82,673016
2016-03-23,69.91,70.4,69.51,69.78,689692
2016-03-24,69.6,70.35,68.81,70.23,597216
2016-03-28,70.34,70.68,69.7,70.35,782821
2016-03-29,70.06,72.63,69.71,72.47,921369
2016-03-30,72.53,73.43,71.94,72.01,616926
2016-03-31,72.0,73.55,71.97,72.69,996031
2016-04-01,72.57,73.46,71.9,73.02,564723
2016-04-04,73.3,73.83,72.29,73.34,606101
2016-04-05,72.92,73.06,71.93,72.18,628918
2016-04-06,72.09,73.58,71.91,73.55,636093
2016-04-07,73.57,73.62,72.3,72.49,627174
2016-04-08,73.17,73.32,72.36,73.06,377042
2016-04-11,73.25,74.21,72.99,73.32,420942
2016-04-12,73.37,73.7,72.71,73.09,367524
2016-04-13,73.22,73.49,72.87,73.09,502505
2016-04-14,73.16,73.43,72.62,73.13,317812
2016-04-15,72.98,73.67,72.75,73.47,488139
2016-04-18,73.45,74.03,73.13,73.63,580311
2016-04-19,74.07,74.13,72.71,72.9,433839
2016-04-20,73.42,74.03,72.48,73.55,906191
2016-04-21,73.73,74.2,73.04,73.3,440813
2016-04-22,73.3,73.88,72.94,73.87,702588
2016-04-25,73.79,74.52,73.54,74.28,459643
2016-04-26,74.73,75.17,74.05,74.7,568046
2016-04-27,74.04,74.99,73.65,74.78,448921
2016-04-28,74.42,75.74,73.41,73.7,871804
2016-04-29,75.05,75.69,70.03,72.19,1508948
2016-05-02,72.56,75.11,72.39,75.1,1373869
2016-05-03,74.1,75.41,73.97,74.9,1097673
2016-05-04,74.4,75.08,74.05,74.8,802934
2016-05-05,74.36,76.29,74.26,75.56,1268386
2016-05-06,75.05,75.63,73.85,74.7,983069
2016-05-09,74.48,76.52,74.48,75.58,930711
2016-05-10,76.3,77.09,75.99,76.56,731536
2016-05-11,77.09,77.18,76.01,76.33,632725
2016-05-12,76.4,77.18,75.14,75.72,550295
2016-05-13,75.47,76.8,75.47,76.08,478697
2016-05-16,76.4,77.6,76.36,76.98,568955
2016-05-17,77.13,77.32,75.76,75.96,690805
2016-05-18,75.9,77.11,75.52,76.03,1030667
2016-05-19,75.62,77.09,74.92,75.97,663978
2016-05-20,76.48,78.25,76.14,77.43,783619
2016-05-23,77.7,78.28,77.19,77.38,1013672
2016-05-24,78.04,78.94,77.54,78.78,808391
2016-05-25,78.83,79.46,78.29,79.0,951601
2016-05-26,79.02,79.1,78.06,78.74,619239
2016-05-27,78.59,79.58,78.28,79.18,652961
2016-05-31,79.18,79.79,78.72,78.83,789899
2016-06-01,78.92,79.66,78.45,79.22,679257
