Date,Open,High,Low,Close,Volume
2017-01-03,32.36,32.71,31.66,31.94,13209441
2017-01-04,32.09,32.51,32.06,32.24,9460624
2017-01-05,32.3,32.4,31.91,32.1,7290175
2017-01-06,32.04,32.23,31.86,32.04,7063604
2017-01-09,32.27,33.07,32.21,32.78,9271782
2017-01-10,32.87,33.2,32.74,33.13,8753286
2017-01-11,33.21,33.48,32.8,33.47,10620118
2017-01-12,33.25,33.34,32.6,33.31,6484120
2017-01-13,33.32,33.9,33.3,33.79,6911166
2017-01-17,33.79,33.83,33.09,33.3,6428559
2017-01-18,33.68,34.0,33.53,33.69,10609448
2017-01-19,33.7,34.13,33.67,33.75,8333520
2017-01-20,33.92,34.18,33.76,33.84,8571730
2017-01-23,33.76,34.2,33.56,33.75,7254438
2017-01-24,33.89,34.21,33.88,34.03,9702805
2017-01-25,34.3,34.83,34.22,34.42,12230219
2017-01-26,34.42,34.47,33.85,33.98,9375456
2017-01-27,34.26,35.15,34.22,35.04,11055855
2017-01-30,34.79,34.83,33.77,34.34,11183818
2017-01-31,34.14,34.32,33.93,34.25,9468804
2017-02-01,34.59,35.05,34.5,35.03,15244891
2017-02-02,34.97,35.03,34.64,34.94,7517981
2017-02-03,34.98,35.39,34.98,35.31,8560301
2017-02-06,35.32,35.39,35.01,35.18,5877077
2017-02-07,35.38,35.64,35.07,35.54,8155222
2017-02-08,35.8,35.8,35.18,35.6,8735864
2017-02-09,35.75,35.85,35.38,35.41,6515495
2017-02-10,35.64,35.64,35.09,35.32,11636382
2017-02-13,35.72,35.83,35.37,35.46,11900268
2017-02-14,35.5,35.55,35.12,35.23,9956599
2017-02-15,35.46,35.74,35.26,35.49,17409981
2017-02-16,35.62,35.65,34.58,35.18,21684867
2017-02-17,34.97,35.8,34.72,35.67,14892760
2017-02-21,35.52,36.82,35.52,36.58,13814798
2017-02-22,36.45,36.67,36.21,36.51,10380015
2017-02-23,36.56,36.66,35.9,36.16,7852525
2017-02-24,35.81,36.32,35.55,36.3,7505777
2017-02-27,36.47,36.5,36.1,36.43,6491371
2017-02-28,36.33,36.44,36.1,36.22,8585589
2017-03-01,36.52,36.93,36.5,36.85,7298251
2017-03-02,36.71,36.95,36.33,36.49,7854762
2017-03-03,36.44,36.88,36.42,36.87,7257496
2017-03-06,36.68,36.96,36.51,36.86,9219071
2017-03-07,36.81,37.26,36.75,36.97,7841451
2017-03-08,37.01,37.23,36.96,37.19,8052683
2017-03-09,37.03,37.48,37.02,37.38,8494054
2017-03-10,37.66,38.19,37.65,38.12,11486540
2017-03-13,38.2,38.59,38.17,38.44,9111376
2017-03-14,38.35,38.44,37.78,38.27,9646912
2017-03-15,38.41,38.95,38.3,38.92,9405810
2017-03-16,39.0,39.28,38.85,39.05,8305248
2017-03-17,39.34,39.38,39.08,39.28,11023657
2017-03-20,39.33,39.76,39.21,39.57,6916906
2017-03-21,39.7,39.81,38.3,38.58,13550141
2017-03-22,38.48,38.83,38.34,38.82,9075725
2017-03-23,38.84,39.11,38.61,38.85,6904579
2017-03-24,39.38,39.68,38.74,38.97,9059928
2017-03-27,38.45,39.0,38.3,38.86,6823948
2017-03-28,38.74,39.2,38.71,38.82,7924875
2017-03-29,38.82,38.95,38.66,38.87,6404366
2017-03-30,38.91,39.13,38.8,38.89,5997692
2017-03-31,38.8,39.04,38.53,38.9,8567565
2017-04-03,38.99,39.06,38.52,38.89,7165262
2017-04-04,38.71,39.02,38.66,39.0,7241421
2017-04-05,39.16,39.35,38.38,38.38,6927418
2017-04-06,38.35,38.65,37.85,38.58,7158874
2017-04-07,38.45,39.03,38.45,38.93,6318103
2017-04-10,38.82,39.2,38.74,38.86,7339629
2017-04-11,38.69,38.69,37.6,38.2,10549694
2017-04-12,38.35,38.37,37.63,37.77,6802507
2017-04-13,37.67,38.25,37.41,37.52,5753986
2017-04-17,37.64,38.03,37.57,38.02,5242480
2017-04-18,37.79,38.11,37.6,38.05,6047326
2017-04-19,39.2,39.66,39.15,39.25,13394449
2017-04-20,39.54,39.97,39.15,39.89,9402816
2017-04-21,39.9,40.08,39.47,39.79,8762041
2017-04-24,40.37,40.61,40.09,40.44,6925408
2017-04-25,40.62,40.87,40.28,40.79,7236945
2017-04-26,40.78,40.92,40.42,40.71,5578304
2017-04-27,40.96,41.82,40.94,41.33,8312470
2017-04-28,41.1,41.33,40.58,40.61,9209031
2017-05-01,40.98,41.71,40.85,41.7,7478348
2017-05-02,41.72,41.75,41.13,41.71,6950795
2017-05-03,41.71,41.71,41.2,41.55,5673883
2017-05-04,41.65,41.81,41.41,41.62,5016859
2017-05-05,41.85,41.89,41.3,41.83,4748163
2017-05-08,41.9,41.96,41.44,41.54,6380021
2017-05-09,41.82,42.25,41.72,42.04,8074643
2017-05-10,42.53,43.09,42.47,42.87,11555055
2017-05-11,43.02,43.48,42.73,43.48,11149880
2017-05-12,43.53,43.64,43.06,43.44,9365074
2017-05-15,43.88,44.42,43.71,44.32,12098120
2017-05-16,44.8,45.08,44.31,45.07,13410525
2017-05-17,44.58,44.7,42.73,42.76,20062012
2017-05-18,43.1,44.1,42.84,43.91,21882225
2017-05-19,45.05,45.74,43.91,44.08,23338575
2017-05-22,44.19,45.0,43.62,44.73,12606288
2017-05-23,44.81,44.94,44.3,44.91,8541940
2017-05-24,45.0,45.13,44.47,44.63,7570534
2017-05-25,44.76,45.33,44.55,45.02,8662611
2017-05-26,44.87,45.5,44.75,45.5,6633378
2017-05-30,45.47,45.74,45.21,45.56,6593508
2017-05-31,45.66,46.04,45.33,45.88,13082140
2017-06-01,45.97,46.26,45.8,46.0,7176781
2017-06-02,46.22,46.86,45.9,46.8,9523927
2017-06-05,46.63,47.24,46.51,46.72,6807565
2017-06-06,46.57,47.21,46.48,46.57,7806155
2017-06-07,46.7,47.34,46.62,47.26,8026510
2017-06-08,47.4,47.47,46.93,47.43,7936089
2017-06-09,47.62,47.86,43.41,44.74,20477177
2017-06-12,44.14,44.5,42.32,44.34,20623498
2017-06-13,44.91,45.5,44.28,44.85,12330638
2017-06-14,45.08,45.28,43.37,43.98,10697299
2017-06-15,43.19,43.67,42.83,43.16,11523008
2017-06-16,43.19,43.9,43.06,43.11,10775074
2017-06-19,43.7,44.39,43.63,44.29,9649864
2017-06-20,44.26,44.59,43.3,43.36,9083673
2017-06-21,43.41,43.82,43.09,43.62,9713578
2017-06-22,43.69,43.92,43.08,43.34,7632051
2017-06-23,43.45,44.3,43.41,44.09,13947666
2017-06-26,44.47,44.65,42.91,43.25,10911376
2017-06-27,43.0,43.1,41.83,41.89,12734948
2017-06-28,41.9,42.78,41.42,42.69,14308333
2017-06-29,42.35,42.46,40.79,41.44,12362485
2017-06-30,41.81,42.02,41.09,41.31,10044092
2017-07-03,41.33,41.96,40.98,41.01,6519489
2017-07-05,41.28,42.23,41.25,42.12,10942496
2017-07-06,41.72,42.59,41.56,42.11,11934214
2017-07-07,42.36,43.8,42.36,43.54,10748709
2017-07-10,43.6,44.5,43.51,44.21,10357926
2017-07-11,44.21,45.5,44.04,45.4,13527360
2017-07-12,45.68,45.98,44.84,45.28,10395825
2017-07-13,45.28,45.66,44.99,45.3,9036082
