Date,Open,High,Low,Close,Volume
2017-01-03,49.17,49.49,48.4,49.28,868240
2017-01-04,49.48,51.27,49.48,51.22,1330535
2017-01-05,50.78,51.25,50.37,51.12,1430312
2017-01-06,51.23,51.23,49.9,50.33,1120304
2017-01-09,50.25,50.61,49.82,50.54,593512
2017-01-10,50.73,51.65,50.35,51.13,582538
2017-01-11,51.35,51.47,50.77,51.38,678315
2017-01-12,51.23,51.67,50.42,51.61,685607
2017-01-13,51.53,51.97,51.18,51.32,457158
2017-01-17,51.27,52.37,51.27,51.67,862609
2017-01-18,51.49,51.83,51.01,51.82,819419
2017-01-19,51.77,52.29,51.4,51.62,670713
2017-01-20,51.67,52.0,51.43,51.69,701413
2017-01-23,51.41,53.14,51.15,52.18,1660939
2017-01-24,52.21,53.15,52.21,53.01,677042
2017-01-25,53.48,53.74,52.43,52.96,1907472
2017-01-26,53.13,53.5,52.8,52.86,911393
2017-01-27,52.7,52.7,52.05,52.18,542112
2017-01-30,52.23,52.63,51.6,52.62,1051367
2017-01-31,52.33,53.31,51.76,53.12,916582
2017-02-01,53.11,53.5,52.15,52.42,858248
2017-02-02,52.23,52.56,51.72,51.77,1241324
2017-02-03,51.64,51.65,49.65,49.77,2287935
2017-02-06,49.65,49.7,47.96,48.47,3202926
2017-02-07,48.28,48.89,47.64,48.08,1832324
2017-02-08,48.08,48.26,47.1,47.65,1218311
2017-02-09,47.63,48.01,47.29,47.35,1028135
2017-02-10,47.55,47.94,47.35,47.88,798574
2017-02-13,48.01,48.12,47.1,47.17,891839
2017-02-14,47.03,47.97,46.82,47.53,1417574
2017-02-15,47.21,47.83,47.06,47.43,929758
2017-02-16,47.44,47.72,46.63,46.92,1196220
2017-02-17,46.87,47.81,46.5,47.77,1210461
2017-02-21,48.02,48.74,47.75,48.27,859702
2017-02-22,48.31,48.37,47.56,47.67,523721
2017-02-23,47.64,47.69,46.53,46.59,781367
2017-02-24,46.53,47.2,45.99,46.83,835940
2017-02-27,46.77,47.11,46.35,47.05,498308
2017-02-28,46.55,46.68,45.57,45.9,1213762
2017-03-01,46.65,47.2,46.05,46.61,781929
2017-03-02,46.65,46.87,46.23,46.44,454710
2017-03-03,46.15,46.35,45.57,45.82,814140
2017-03-06,45.74,45.95,45.28,45.33,1903623
2017-03-07,45.07,45.34,44.43,45.26,1358491
2017-03-08,45.32,45.92,45.32,45.49,991388
2017-03-09,45.0,45.55,44.53,44.7,937057
2017-03-10,45.0,45.22,44.67,44.84,901424
2017-03-13,44.75,44.91,44.34,44.83,733077
2017-03-14,44.63,44.88,44.3,44.82,562711
2017-03-15,44.98,45.73,44.47,45.38,797251
2017-03-16,45.38,45.58,45.16,45.28,651384
2017-03-17,45.43,45.53,44.31,44.53,1994907
2017-03-20,44.6,44.75,43.63,43.92,1253272
2017-03-21,43.97,43.97,41.91,42.4,1501230
2017-03-22,42.3,42.58,41.85,42.39,792814
2017-03-23,42.2,42.58,41.79,42.01,733643
2017-03-24,42.04,42.33,41.88,42.27,1258997
2017-03-27,41.55,42.48,41.55,42.28,754495
2017-03-28,42.28,43.18,42.21,43.06,702589
2017-03-29,43.02,43.81,43.0,43.42,852863
2017-03-30,43.35,43.77,43.31,43.49,555656
2017-03-31,43.45,43.54,41.67,42.29,1748228
2017-04-03,42.31,42.39,40.51,40.84,2380416
2017-04-04,40.63,40.77,40.15,40.27,1323246
2017-04-05,40.48,41.0,39.56,39.66,1531235
2017-04-06,39.79,41.03,39.13,40.32,2266691
2017-04-07,40.14,40.37,39.96,40.14,893581
2017-04-10,39.93,40.99,39.76,40.65,857073
2017-04-11,40.63,40.87,40.09,40.82,783820
2017-04-12,40.77,40.79,39.95,40.07,952874
2017-04-13,40.03,40.23,39.28,39.43,1356077
2017-04-17,39.69,40.36,39.45,40.33,1042166
2017-04-18,40.08,41.64,40.05,41.55,2941185
2017-04-19,41.72,43.69,41.7,43.3,3579995
2017-04-20,43.43,44.2,43.41,43.65,2235246
2017-04-21,43.58,43.63,42.14,42.81,1918868
2017-04-24,43.58,44.1,43.48,44.06,1948804
2017-04-25,43.7,45.35,43.03,43.86,2968548
2017-04-26,43.77,43.88,42.81,43.14,1591321
2017-04-27,43.45,43.87,42.95,43.65,1600230
2017-04-28,43.51,43.83,41.93,42.0,1393235
2017-05-01,42.05,42.49,41.46,41.65,1918928
2017-05-02,41.33,41.64,39.7,40.28,2618006
2017-05-03,40.22,40.5,39.88,40.41,1621144
2017-05-04,40.58,40.77,40.0,40.43,876084
2017-05-05,40.59,40.74,40.18,40.74,704615
2017-05-08,40.83,41.23,40.61,40.74,951956
2017-05-09,40.66,40.7,39.97,40.14,971131
2017-05-10,40.0,40.44,39.67,40.18,1108847
2017-05-11,39.96,40.01,38.94,39.93,1200142
2017-05-12,39.91,40.0,39.28,39.36,1554085
2017-05-15,39.47,41.0,39.36,40.54,2257581
2017-05-16,40.5,41.11,40.1,40.4,2176050
2017-05-17,39.91,40.36,39.04,39.08,2168641
2017-05-18,39.05,39.85,39.05,39.24,944555
2017-05-19,39.37,39.88,39.22,39.67,839240
2017-05-22,39.83,40.22,39.4,39.62,987637
2017-05-23,39.47,39.53,38.87,38.99,1131719
2017-05-24,38.99,39.56,38.79,39.24,883224
2017-05-25,39.61,39.7,38.66,38.9,1285130
2017-05-26,38.63,39.31,38.2,39.27,829359
2017-05-30,39.13,39.81,39.05,39.33,1319045
2017-05-31,39.46,39.59,38.85,39.52,1214165
2017-06-01,39.7,41.02,39.3,40.35,1668815
2017-06-02,40.32,40.36,39.63,39.86,939445
2017-06-05,39.75,40.02,39.47,39.82,815009
2017-06-06,39.56,40.23,39.16,40.02,1281424
2017-06-07,40.11,40.9,40.06,40.17,1099595
2017-06-08,40.79,41.2,39.52,39.68,1408503
2017-06-09,39.77,40.65,39.29,40.65,1133128
2017-06-12,40.69,42.57,40.65,42.04,1736852
2017-06-13,42.11,42.42,41.2,42.11,1278358
2017-06-14,42.14,42.22,41.44,42.16,706974
2017-06-15,41.98,43.13,41.78,42.76,1941189
2017-06-16,42.49,42.61,39.4,40.31,3082817
2017-06-19,40.12,40.48,39.6,40.25,1869518
2017-06-20,40.2,40.25,39.48,39.53,1091377
2017-06-21,40.26,40.68,39.11,39.39,1384863
2017-06-22,39.0,39.82,38.73,39.53,1274793
2017-06-23,39.48,39.65,39.12,39.52,1127554
2017-06-26,39.74,41.14,39.6,40.84,1165276
2017-06-27,40.63,41.45,40.62,40.98,865941
2017-06-28,41.31,42.25,41.31,41.45,1048546
2017-06-29,41.64,42.32,41.41,41.94,1197516
2017-06-30,42.2,42.4,41.84,42.16,830226
2017-07-03,42.48,43.48,42.43,43.02,695382
2017-07-05,42.81,42.95,41.79,42.03,1393670
2017-07-06,41.87,42.19,40.96,41.07,861922
2017-07-07,41.15,41.92,41.02,41.8,897010
2017-07-10,41.25,41.58,39.67,40.34,1934375
2017-07-11,40.47,40.86,40.11,40.55,1034739
2017-07-12,40.9,42.11,40.71,41.12,1619494
2017-07-13,41.27,43.16,41.27,42.9,1598063
