Date,Open,High,Low,Close,Volume
2016-01-04,37.74,37.74,36.86,37.59,1669612
2016-01-05,37.62,38.17,37.3,37.38,1025020
2016-01-06,36.92,37.1,36.22,36.64,1740874
2016-01-07,35.85,35.85,34.63,34.85,4409700
2016-01-08,34.46,34.63,33.54,33.61,4323118
2016-01-11,33.64,34.28,32.72,32.74,3121330
2016-01-12,33.14,33.44,32.66,33.2,1961184
2016-01-13,33.33,33.46,31.5,31.62,2254256
2016-01-14,31.62,32.36,30.81,32.08,3260266
2016-01-15,31.11,32.06,31.1,31.76,3286552
2016-01-19,32.13,32.34,31.12,31.28,2859508
2016-01-20,30.7,31.42,30.15,31.03,3080344
2016-01-21,31.04,32.79,30.88,32.09,3249834
2016-01-22,32.64,33.42,32.5,32.8,2618324
2016-01-25,32.68,32.8,32.04,32.08,1491304
2016-01-26,32.24,34.46,32.24,34.24,3679962
2016-01-27,34.12,34.46,32.82,33.0,2400800
2016-01-28,33.39,34.08,32.57,33.93,3164448
2016-01-29,33.44,35.03,31.37,34.92,3848648
2016-02-01,34.72,35.14,34.14,34.86,1808698
2016-02-02,34.5,34.82,34.04,34.09,1431128
2016-02-03,34.52,34.7,33.26,33.98,1520978
2016-02-04,33.92,34.68,33.5,33.88,2846276
2016-02-05,33.85,33.88,32.26,32.78,1792660
2016-02-08,32.22,32.35,30.99,31.48,1904682
2016-02-09,30.83,32.25,30.76,31.87,1670130
2016-02-10,32.06,32.68,31.88,32.19,1338578
2016-02-11,31.47,32.7,30.64,32.27,1894036
2016-02-12,32.86,33.74,32.64,32.9,1787918
2016-02-16,33.34,33.84,33.33,33.5,1772274
2016-02-17,33.66,34.7,33.58,34.5,1254138
2016-02-18,34.65,34.76,34.12,34.48,937990
2016-02-19,34.26,34.62,34.0,34.42,995690
2016-02-22,34.62,35.17,34.26,34.98,1052026
2016-02-23,34.9,35.36,34.44,34.46,858502
2016-02-24,34.02,35.04,33.78,34.99,917148
2016-02-25,35.02,35.66,34.58,35.61,1476034
2016-02-26,35.78,36.42,35.72,36.02,1576718
2016-02-29,36.04,36.26,35.19,35.19,1859334
2016-03-01,35.62,36.5,35.22,36.5,902684
2016-03-02,36.26,36.46,35.94,36.43,964180
2016-03-03,36.46,36.68,36.27,36.51,1188952
2016-03-04,36.61,37.08,35.84,37.07,1959100
2016-03-07,36.79,37.06,36.3,36.46,1196924
2016-03-08,36.4,37.12,36.04,36.66,1405400
2016-03-09,36.76,36.9,36.18,36.3,1402072
2016-03-10,36.53,36.88,36.35,36.71,1097990
2016-03-11,37.02,37.2,36.54,36.62,1325196
2016-03-14,36.42,36.84,36.36,36.76,1056698
2016-03-15,36.4,36.8,36.33,36.6,784112
2016-03-16,36.4,36.88,36.4,36.72,687618
2016-03-17,36.8,37.78,36.73,37.56,1159872
2016-03-18,37.5,38.08,37.45,37.78,1993608
2016-03-21,37.74,37.91,37.55,37.88,959310
2016-03-22,37.73,37.91,37.46,37.77,843160
2016-03-23,37.7,37.8,37.18,37.22,1109312
2016-03-24,37.06,37.43,36.9,37.42,1366644
2016-03-28,37.46,37.89,37.3,37.66,707476
2016-03-29,37.66,38.4,37.57,38.38,1137640
2016-03-30,38.5,38.71,38.02,38.21,904610
2016-03-31,38.26,38.3,37.65,38.16,1131824
2016-04-01,37.91,38.91,37.61,38.88,1000680
2016-04-04,38.84,38.86,38.21,38.46,1109852
2016-04-05,38.29,38.68,38.15,38.48,1011476
2016-04-06,38.48,39.04,38.17,39.02,1060622
2016-04-07,38.9,38.91,38.06,38.39,1201936
2016-04-08,38.74,38.82,38.4,38.54,809374
2016-04-11,38.55,38.72,38.17,38.21,922292
2016-04-12,38.18,38.6,38.04,38.48,751394
2016-04-13,38.91,39.55,38.69,39.52,1000484
2016-04-14,39.52,39.7,38.97,39.14,1306670
2016-04-15,39.18,39.63,39.0,39.62,1183246
2016-04-18,39.32,39.94,39.17,39.82,1305286
2016-04-19,39.99,39.99,39.26,39.31,1144194
2016-04-20,39.4,39.8,39.18,39.58,1267772
2016-04-21,39.48,40.3,39.4,39.98,1389074
2016-04-22,39.93,40.24,39.56,40.2,882678
2016-04-25,40.18,40.21,39.48,39.68,956020
2016-04-26,39.7,40.03,39.24,40.02,1546034
2016-04-27,40.53,41.14,38.31,39.58,2486760
2016-04-28,39.46,39.6,38.58,38.66,1168346
2016-04-29,38.58,38.94,38.29,38.61,1663094
2016-05-02,38.88,39.29,38.79,39.28,874908
2016-05-03,39.19,39.2,38.36,38.58,1135958
2016-05-04,38.52,38.6,37.81,38.32,1063122
2016-05-05,38.54,38.76,37.98,38.08,1494186
2016-05-06,38.05,38.96,37.74,38.96,905232
2016-05-09,38.96,39.08,38.58,38.85,927520
2016-05-10,39.08,39.44,38.9,39.4,691440
2016-05-11,39.47,39.71,39.02,39.17,794362
