Date,Open,High,Low,Close,Volume
2017-01-03,70.76,70.87,69.53,70.14,865618
2017-01-04,70.45,72.14,69.97,72.14,887655
2017-01-05,72.0,72.44,70.9,71.43,647157
2017-01-06,72.28,72.52,71.91,72.4,719628
2017-01-09,72.48,73.39,72.25,72.56,761000
2017-01-10,72.56,73.3,72.28,72.73,640800
2017-01-11,72.48,72.83,72.35,72.7,399722
2017-01-12,72.46,72.57,71.38,72.13,510838
2017-01-13,72.43,72.95,71.81,72.15,574521
2017-01-17,72.16,72.8,71.95,72.45,544631
2017-01-18,72.44,73.17,72.0,73.17,760513
2017-01-19,73.15,73.43,72.46,72.49,635788
2017-01-20,72.87,73.09,72.05,72.41,524872
2017-01-23,72.3,72.98,72.01,72.89,400864
2017-01-24,72.84,73.99,72.82,73.83,645626
2017-01-25,74.17,74.82,73.22,74.49,769948
2017-01-26,74.16,74.34,72.86,73.34,939029
2017-01-27,73.51,73.78,72.99,73.77,755582
2017-01-30,73.23,73.65,72.09,72.91,1337861
2017-01-31,72.66,73.61,71.71,73.02,1673695
2017-02-01,78.97,80.84,76.51,79.65,3018729
2017-02-02,79.67,80.77,79.55,80.01,1709506
2017-02-03,80.42,80.48,78.73,79.05,977658
2017-02-06,78.8,79.84,78.17,79.51,848073
2017-02-07,79.4,79.86,78.77,79.14,912371
2017-02-08,78.97,79.64,78.66,79.41,856157
2017-02-09,79.51,79.75,78.86,78.9,741051
2017-02-10,78.85,79.78,78.55,79.27,519543
2017-02-13,79.37,79.89,79.17,79.45,452110
2017-02-14,79.46,79.92,78.82,79.29,624567
2017-02-15,79.06,79.93,79.06,79.54,481461
2017-02-16,79.83,80.46,79.64,80.16,972372
2017-02-17,79.97,79.98,79.01,79.41,584903
2017-02-21,79.4,80.43,79.26,80.35,486610
2017-02-22,80.09,80.22,79.31,79.81,476743
2017-02-23,80.14,80.92,79.49,80.65,705947
2017-02-24,80.44,80.87,79.87,80.25,586728
2017-02-27,80.16,81.27,80.02,80.7,621029
2017-02-28,80.5,81.16,80.22,80.71,652146
