Date,Open,High,Low,Close,Volume
2017-01-03,47.45,47.64,46.69,46.98,5674232
2017-01-04,47.08,47.42,47.0,47.34,4539835
2017-01-05,47.15,47.4,46.53,46.73,3619517
2017-01-06,46.95,47.14,46.66,47.04,3374828
2017-01-09,46.85,47.05,46.51,46.73,3289131
2017-01-10,46.77,47.14,46.51,46.66,4964348
2017-01-11,46.5,46.79,46.37,46.77,9262558
2017-01-12,46.6,46.75,46.13,46.34,6288672
2017-01-13,46.62,47.18,46.41,46.52,4145491
2017-01-17,46.14,46.14,45.42,45.56,8281702
2017-01-18,45.71,46.26,45.29,46.2,7225686
2017-01-19,46.06,46.12,44.81,45.29,7012110
2017-01-20,45.48,45.9,45.24,45.42,4466690
2017-01-23,45.32,45.75,45.15,45.4,4494501
2017-01-24,45.64,46.26,45.42,45.96,5619161
2017-01-25,46.57,47.02,46.36,46.98,4992740
2017-01-26,47.02,47.34,46.88,47.22,4147799
2017-01-27,47.0,47.25,46.85,46.97,3339313
2017-01-30,46.56,46.79,45.99,46.48,4738375
2017-01-31,46.25,46.62,45.98,46.19,4107424
2017-02-01,46.61,46.88,45.85,45.95,5641266
2017-02-02,45.61,45.94,45.41,45.81,3461584
2017-02-03,46.68,46.84,46.15,46.61,5359811
2017-02-06,46.23,46.72,46.14,46.43,3214498
2017-02-07,46.64,46.67,46.3,46.39,3458424
2017-02-08,45.65,45.89,45.5,45.79,4193481
2017-02-09,45.98,46.5,45.75,46.41,3796150
2017-02-10,46.65,46.75,46.39,46.63,2814312
2017-02-13,46.75,47.43,46.75,46.98,6355150
2017-02-14,47.05,47.93,46.92,47.87,4474066
2017-02-15,48.01,48.36,47.76,48.26,4298298
2017-02-16,48.13,48.25,47.61,48.0,3938762
2017-02-17,47.65,47.96,47.41,47.96,2635793
2017-02-21,48.14,48.32,47.76,47.99,3044410
2017-02-22,47.6,48.42,47.55,48.15,2889400
2017-02-23,48.2,48.53,47.73,48.53,4300783
2017-02-24,48.11,48.47,47.88,48.11,5928657
2017-02-27,48.04,48.37,48.01,48.18,5541307
2017-02-28,47.83,48.33,47.82,48.22,4610552
2017-03-01,49.15,49.88,49.1,49.7,5426621
2017-03-02,49.67,49.7,48.53,48.56,4128707
2017-03-03,48.53,48.81,48.48,48.64,4560812
2017-03-06,48.22,48.39,47.92,48.23,3688243
2017-03-07,48.08,48.36,47.9,47.93,3744848
2017-03-08,48.57,48.66,47.94,48.0,4060648
