Date,Open,High,Low,Close,Volume
2017-01-03,40.24,40.76,39.91,40.44,2402110
2017-01-04,40.68,41.5,40.65,41.35,2880039
2017-01-05,41.0,41.31,40.22,40.73,1838395
2017-01-06,40.76,40.88,40.28,40.75,1614513
2017-01-09,40.7,40.7,40.14,40.31,2254114
2017-01-10,40.35,40.73,40.08,40.4,1619334
2017-01-11,40.2,40.77,40.05,40.75,1768294
2017-01-12,40.3,40.56,39.65,40.48,2583990
2017-01-13,40.62,40.92,40.36,40.5,1669999
2017-01-17,40.41,40.56,39.84,39.94,3346856
2017-01-18,39.91,40.04,39.51,40.01,1966540
2017-01-19,39.94,40.36,39.52,39.86,2215259
2017-01-20,40.06,40.62,39.99,40.61,2209551
2017-01-23,40.42,40.62,40.15,40.4,1732211
2017-01-24,40.66,41.34,40.46,41.16,1752333
2017-01-25,41.58,41.92,41.09,41.86,2622678
2017-01-26,41.72,41.88,40.57,40.77,3754960
2017-01-27,41.11,41.7,39.75,40.32,3586132
2017-01-30,40.25,40.25,39.46,40.17,2488215
2017-01-31,39.95,40.1,39.56,39.74,3950759
2017-02-01,40.09,40.61,39.7,39.99,2550015
2017-02-02,39.61,40.14,39.38,39.9,1665821
2017-02-03,40.42,40.45,40.08,40.31,3479031
2017-02-06,40.07,40.37,39.95,39.99,2065890
2017-02-07,40.19,40.27,39.79,40.01,1734669
2017-02-08,39.75,39.83,39.52,39.74,1757825
2017-02-09,39.94,40.56,39.9,40.48,4341937
2017-02-10,40.69,40.93,40.62,40.88,2771754
2017-02-13,41.12,41.65,40.98,41.51,1680831
2017-02-14,41.16,42.13,41.16,42.1,3669772
2017-02-15,42.28,42.82,42.06,42.72,2365138
2017-02-16,42.7,42.8,42.1,42.29,1941789
2017-02-17,42.1,42.54,41.97,42.53,2365868
2017-02-21,42.71,43.25,42.71,43.03,2395880
2017-02-22,42.75,43.07,42.66,42.77,1842623
2017-02-23,42.9,42.98,42.52,42.94,1324183
2017-02-24,42.69,43.01,42.57,42.74,2864247
2017-02-27,42.79,43.4,42.75,43.37,1760435
2017-02-28,43.07,43.36,42.78,43.04,3171105
2017-03-01,43.91,44.1,43.24,43.44,2735463
2017-03-02,43.39,43.43,42.88,42.89,1834973
2017-03-03,43.01,43.08,42.41,42.68,2712504
2017-03-06,42.56,42.77,42.31,42.38,1728496
2017-03-07,42.41,42.58,42.12,42.38,1634083
2017-03-08,42.78,43.03,42.45,42.56,2384308
2017-03-09,42.74,42.94,42.31,42.42,1605409
2017-03-10,42.81,42.81,42.35,42.58,1287963
2017-03-13,42.68,42.83,42.46,42.57,1381735
2017-03-14,42.31,42.48,42.03,42.43,1693688
2017-03-15,42.78,43.07,42.74,42.99,1741929
2017-03-16,43.58,44.35,43.58,43.91,3164585
2017-03-17,43.41,43.51,42.06,42.22,5530281
2017-03-20,42.08,42.18,41.74,42.04,1735398
2017-03-21,42.34,42.41,40.96,41.35,3414685
2017-03-22,40.98,41.54,40.6,41.37,2302075
2017-03-23,41.24,41.91,41.2,41.46,1747839
2017-03-24,41.6,41.95,41.04,41.26,1993996
2017-03-27,40.52,41.18,40.38,41.09,2461504
2017-03-28,41.02,42.1,40.99,41.92,2371623
2017-03-29,41.6,41.68,41.21,41.41,1158241
2017-03-30,41.36,42.36,41.28,42.22,1508267
2017-03-31,41.95,42.44,41.85,42.14,1618601
2017-04-03,42.24,42.44,41.22,41.75,2106234
2017-04-04,41.49,41.87,41.4,41.57,1564461
2017-04-05,42.0,42.52,41.33,41.4,1594880
2017-04-06,41.45,42.05,41.1,41.96,1697030
2017-04-07,41.75,42.2,41.72,41.78,2518587
2017-04-10,41.76,42.23,41.7,42.04,1755247
2017-04-11,41.7,41.83,40.53,41.01,4020951
2017-04-12,41.0,41.36,40.54,40.81,3281959
2017-04-13,40.61,41.2,40.48,40.59,2282581
2017-04-17,40.85,41.41,40.72,41.37,2056181
2017-04-18,41.13,41.83,41.06,41.64,2355991
2017-04-19,41.83,42.04,41.16,41.21,2922931
2017-04-20,41.55,41.72,41.22,41.62,2065748
2017-04-21,41.59,41.68,40.9,41.01,2227527
2017-04-24,41.91,42.13,41.65,41.91,2438543
2017-04-25,42.2,42.24,41.92,42.04,1813009
2017-04-26,41.89,42.8,41.88,42.47,2761462
2017-04-27,42.63,42.69,41.75,42.28,2051014
2017-04-28,42.35,43.35,42.27,43.11,4427683
2017-05-01,43.27,43.44,42.72,42.75,3130513
2017-05-02,42.7,42.81,42.37,42.65,2202655
2017-05-03,42.49,42.77,42.42,42.73,1926350
2017-05-04,42.68,43.06,42.16,42.46,3080390
2017-05-05,42.62,42.77,42.35,42.77,1306029
2017-05-08,42.79,43.04,42.59,42.98,2014526
2017-05-09,42.98,43.61,42.98,43.43,2352693
2017-05-10,43.28,43.75,42.99,43.74,1987116
2017-05-11,43.53,43.72,43.24,43.32,2102428
2017-05-12,43.16,43.34,42.99,43.17,1226623
2017-05-15,43.36,43.66,43.26,43.58,1283296
2017-05-16,43.57,43.6,43.14,43.42,1632544
2017-05-17,42.74,42.96,41.85,42.05,2050717
2017-05-18,41.49,42.21,41.19,41.87,4859214
2017-05-19,41.94,42.26,41.8,42.04,2886104
2017-05-22,42.24,42.43,41.83,42.12,1729581
2017-05-23,41.98,42.0,41.24,41.4,3035992
2017-05-24,41.57,41.65,40.86,41.35,3629917
2017-05-25,41.7,41.94,41.43,41.7,2259475
2017-05-26,41.53,41.86,41.5,41.7,2093692
2017-05-30,41.54,41.74,41.41,41.61,2426297
2017-05-31,41.7,41.79,41.2,41.79,2892622
2017-06-01,42.0,42.9,41.7,42.75,2167481
2017-06-02,42.52,42.92,42.34,42.76,2954717
2017-06-05,42.78,43.1,42.68,42.81,1998934
2017-06-06,42.46,42.76,42.37,42.55,1561148
2017-06-07,42.73,42.76,42.33,42.51,1754828
2017-06-08,42.47,43.14,42.43,42.9,2187312
2017-06-09,43.04,43.76,43.04,43.68,2005413
2017-06-12,43.71,44.09,43.61,43.9,2431866
2017-06-13,44.0,44.31,43.96,44.14,2161965
2017-06-14,43.99,44.24,43.72,44.2,1852545
2017-06-15,43.75,44.7,43.63,44.5,2985962
2017-06-16,44.46,44.46,43.96,44.13,2976222
2017-06-19,44.34,45.21,44.28,44.84,2098748
2017-06-20,44.62,44.82,44.5,44.51,1789665
2017-06-21,44.76,44.76,44.11,44.26,1891872
2017-06-22,44.11,44.7,43.99,44.34,1642357
2017-06-23,44.48,44.5,43.82,43.98,3415199
2017-06-26,44.23,44.41,43.88,44.24,2183307
2017-06-27,44.41,44.71,44.29,44.46,1462152
2017-06-28,44.69,45.07,44.62,44.87,1844971
2017-06-29,45.36,45.6,44.28,44.55,1250349
2017-06-30,44.95,45.0,44.52,44.79,1544187
2017-07-03,45.12,45.43,45.01,45.07,1038236
2017-07-05,45.26,45.37,44.85,45.24,1289993
2017-07-06,45.07,45.51,44.88,44.92,1648254
2017-07-07,45.14,45.65,45.01,45.42,1311953
2017-07-10,45.19,45.79,45.19,45.54,1627768
2017-07-11,45.57,45.59,44.95,45.4,1526623
2017-07-12,45.53,46.39,45.44,45.98,3117155
2017-07-13,46.11,46.51,46.04,46.32,1654603
