Date,Open,High,Low,Close,Volume
2017-01-03,94.0,95.19,93.25,93.99,5054885
2017-01-04,94.46,94.5,93.43,93.57,3772050
2017-01-05,93.18,94.46,92.42,93.0,4698750
2017-01-06,93.45,93.6,92.41,93.04,4023073
2017-01-09,92.93,93.49,92.2,92.37,3095018
2017-01-10,92.98,94.44,92.77,93.83,3980193
2017-01-11,94.47,94.75,93.39,94.65,3720504
2017-01-12,94.37,94.37,92.78,93.99,3102819
2017-01-13,94.07,94.62,93.68,94.48,2609480
2017-01-17,94.24,94.29,93.22,93.57,5040301
2017-01-18,92.79,93.42,92.53,93.33,3425712
2017-01-19,93.58,93.98,92.96,93.38,3540068
2017-01-20,94.01,95.0,93.62,94.58,5045228
2017-01-23,94.6,94.74,93.56,94.46,3254899
2017-01-24,95.02,96.73,94.8,96.24,5768201
2017-01-25,97.82,98.59,97.32,98.15,7557915
2017-01-26,98.45,98.98,96.02,97.22,9097281
2017-01-27,97.69,99.46,97.5,98.99,6371428
2017-01-30,98.4,98.59,96.57,96.79,5221787
2017-01-31,96.59,96.63,94.59,95.66,5724663
2017-02-01,95.81,96.52,94.4,95.11,3582499
2017-02-02,94.77,95.13,93.5,93.77,3807479
2017-02-03,94.32,94.45,92.81,93.28,4677910
2017-02-06,92.81,93.12,92.43,92.87,4621278
2017-02-07,94.32,94.92,93.02,93.31,4995605
2017-02-08,93.0,93.0,92.11,92.91,4083514
2017-02-09,93.06,94.18,92.69,93.96,3994308
2017-02-10,94.87,96.62,94.5,96.31,5600224
2017-02-13,97.69,99.04,97.16,98.5,6995085
2017-02-14,98.29,98.74,97.26,98.09,4342641
2017-02-15,98.11,99.02,98.0,99.02,4325979
2017-02-16,99.05,99.07,97.8,98.26,3062422
2017-02-17,98.07,98.95,97.54,98.85,3631547
2017-02-21,98.87,99.2,97.92,98.1,3916568
2017-02-22,98.04,98.73,97.62,98.2,3031129
2017-02-23,98.44,98.5,95.12,95.55,6024786
2017-02-24,94.86,95.5,93.5,95.48,5018244
2017-02-27,95.48,97.52,95.12,97.44,5444968
2017-02-28,97.24,97.6,96.44,96.66,3951691
2017-03-01,98.2,98.97,97.43,98.58,5564894
2017-03-02,98.49,98.73,92.84,94.36,23059151
2017-03-03,94.36,95.9,94.21,95.12,8178213
2017-03-06,94.32,95.94,94.1,95.66,4706107
2017-03-07,95.65,96.23,94.76,95.93,4683089
2017-03-08,94.1,95.48,92.86,93.23,9370375
2017-03-09,92.45,93.22,90.41,91.39,9260934
2017-03-10,91.89,93.1,90.81,92.31,7168974
2017-03-13,93.33,93.53,92.26,92.64,4376144
2017-03-14,91.22,92.0,90.62,91.86,5781058
2017-03-15,92.37,93.79,92.06,93.36,6434599
2017-03-16,93.97,94.09,92.64,92.85,3717911
2017-03-17,92.99,93.32,92.65,92.91,7141421
2017-03-20,93.13,95.48,92.89,95.4,6516200
2017-03-21,95.38,95.39,92.09,92.43,7720164
2017-03-22,92.0,93.13,91.72,92.43,5035553
2017-03-23,92.45,93.0,91.96,92.23,2586255
2017-03-24,92.24,93.24,91.56,92.15,3634569
2017-03-27,90.9,91.97,90.34,91.51,3425749
2017-03-28,91.56,93.16,91.51,92.95,3866074
2017-03-29,92.76,93.25,92.4,92.86,2513702
2017-03-30,92.98,93.37,92.4,93.22,3672610
2017-03-31,92.63,93.24,92.02,92.76,4020648
2017-04-03,92.43,92.84,91.0,92.27,3685857
2017-04-04,93.89,94.78,93.06,94.13,5797548
2017-04-05,94.92,96.73,93.96,94.24,6061256
2017-04-06,94.42,96.42,94.26,95.82,5421615
2017-04-07,95.87,96.62,95.42,95.52,4463804
2017-04-10,96.31,97.89,96.1,97.14,5168332
2017-04-11,97.3,97.31,95.67,97.1,4250436
2017-04-12,96.69,96.77,94.66,94.86,4773941
2017-04-13,94.6,94.86,93.09,93.1,4705994
2017-04-17,93.69,94.35,93.49,94.14,3719144
2017-04-18,93.5,94.54,93.12,94.39,3311018
2017-04-19,94.86,95.97,93.29,93.47,5550388
2017-04-20,93.28,94.96,92.98,94.66,4852517
2017-04-21,95.19,95.25,93.81,94.32,4128655
2017-04-24,95.84,97.06,95.8,96.81,6739398
2017-04-25,102.88,104.89,102.0,104.42,18383507
2017-04-26,103.8,105.98,103.64,104.66,9856082
2017-04-27,104.05,104.24,102.56,102.68,6727449
2017-04-28,102.83,103.53,102.23,102.26,4015957
2017-05-01,102.65,102.99,101.41,102.0,4512654
2017-05-02,102.27,102.71,101.25,101.51,4516369
2017-05-03,101.04,102.17,100.78,101.54,4278374
2017-05-04,101.44,101.5,98.64,99.39,7271600
2017-05-05,99.5,99.99,99.02,99.64,4086754
2017-05-08,99.48,100.1,98.94,99.37,5094647
2017-05-09,99.72,100.21,99.25,99.29,9742039
2017-05-10,99.72,100.71,99.3,100.36,4697268
2017-05-11,101.9,101.92,100.15,100.99,5220286
2017-05-12,100.59,100.95,100.17,100.71,4111987
2017-05-15,101.59,102.56,101.41,102.42,3756092
2017-05-16,102.75,102.8,101.27,102.34,3115859
2017-05-17,101.0,101.65,99.89,100.14,4618515
2017-05-18,99.14,100.67,97.74,100.22,5931547
2017-05-19,101.57,102.86,101.27,102.43,4636549
2017-05-22,102.67,103.05,101.81,102.29,4377007
2017-05-23,102.3,103.75,102.06,103.63,3327626
2017-05-24,103.33,104.91,103.15,103.95,5174710
2017-05-25,104.45,105.94,104.24,105.02,5220575
2017-05-26,105.0,105.71,104.62,105.66,2894109
2017-05-30,105.26,105.86,105.01,105.47,3211672
2017-05-31,105.25,105.76,103.6,105.43,4131439
2017-06-01,105.77,106.43,105.16,105.65,4211339
2017-06-02,105.67,106.76,105.18,105.95,3702809
2017-06-05,105.58,107.17,105.14,105.2,4319496
2017-06-06,104.79,105.52,104.06,104.55,3800243
2017-06-07,104.3,104.69,102.45,103.51,5121650
2017-06-08,103.8,105.39,103.61,105.01,4649344
2017-06-09,105.09,107.02,105.03,105.92,3881020
2017-06-12,105.65,106.35,104.9,106.07,4167423
2017-06-13,106.18,106.66,105.5,105.75,3522709
2017-06-14,105.8,105.99,103.99,104.71,4100230
2017-06-15,103.8,106.64,103.8,106.4,5974059
2017-06-16,106.76,107.91,106.4,107.6,7350440
2017-06-19,107.95,108.04,106.67,107.49,4347630
2017-06-20,108.06,108.18,106.92,107.04,5314140
2017-06-21,106.63,106.76,103.15,103.47,6274065
2017-06-22,103.57,104.66,103.49,103.84,3652480
2017-06-23,102.5,104.27,102.3,104.11,12089818
2017-06-26,104.66,105.63,103.44,104.25,2857661
2017-06-27,104.5,105.23,103.69,103.93,3380676
2017-06-28,104.85,106.63,104.76,106.45,4118284
2017-06-29,106.45,106.97,104.81,105.64,3550032
2017-06-30,106.1,108.04,105.83,107.46,4702148
2017-07-03,106.51,107.84,106.48,106.97,2404896
2017-07-05,107.0,107.88,106.65,107.49,3483617
2017-07-06,107.23,107.89,106.3,106.51,2921670
2017-07-07,106.61,107.58,105.85,106.92,2767868
2017-07-10,106.73,108.49,106.24,107.84,2951468
2017-07-11,107.91,108.47,107.05,108.24,2559920
2017-07-12,108.92,110.0,108.84,108.96,3611614
2017-07-13,108.89,109.25,107.97,108.47,3051071
