Date,Open,High,Low,Close,Volume
2017-01-03,32.0,32.18,31.43,31.57,2282845
2017-01-04,31.7,32.14,31.55,32.08,2145106
2017-01-05,31.75,31.85,31.37,31.81,1824513
2017-01-06,31.78,31.78,31.15,31.2,2055139
2017-01-09,31.16,31.28,30.8,31.13,2290567
2017-01-10,31.2,31.2,30.81,30.96,1670729
2017-01-11,31.03,31.29,30.85,31.29,1542113
2017-01-12,31.19,31.19,30.48,30.92,2043731
2017-01-13,30.98,31.42,30.98,31.32,1576098
2017-01-17,31.09,31.32,30.4,30.61,1437634
2017-01-18,30.72,30.78,30.5,30.51,1331275
2017-01-19,30.43,30.6,30.16,30.25,1250361
2017-01-20,30.41,30.46,30.21,30.25,2428543
2017-01-23,30.08,30.17,29.69,30.04,1496769
2017-01-24,30.22,30.54,30.1,30.34,1733375
2017-01-25,30.48,30.9,30.41,30.88,1478728
2017-01-26,30.9,31.16,30.83,31.01,1838354
2017-01-27,31.08,31.08,30.31,30.81,1932629
2017-01-30,30.69,30.74,29.92,30.09,2428525
2017-01-31,30.09,30.39,29.84,30.36,1463108
2017-02-01,30.51,30.8,30.23,30.49,1993982
2017-02-02,30.45,30.78,30.21,30.72,2000063
2017-02-03,31.23,31.51,30.98,31.49,1851427
2017-02-06,31.22,31.35,30.98,31.02,1938614
2017-02-07,31.19,31.46,30.85,30.95,1582281
2017-02-08,30.86,30.86,30.43,30.78,1665749
2017-02-09,30.91,31.61,30.86,31.57,1848979
2017-02-10,32.79,34.94,32.48,34.0,6707968
2017-02-13,34.34,34.8,34.21,34.49,3108330
2017-02-14,34.49,35.22,34.32,35.13,2198992
2017-02-15,35.12,35.65,34.99,35.44,2870437
2017-02-16,35.46,35.63,34.73,35.02,6289992
2017-02-17,34.9,35.78,34.86,35.68,2990647
2017-02-21,35.7,36.09,35.27,35.49,2623428
2017-02-22,35.43,35.66,35.3,35.59,2012239
2017-02-23,35.79,35.87,35.35,35.7,1858201
2017-02-24,35.48,35.69,35.19,35.27,1856085
2017-02-27,35.24,35.89,35.24,35.72,1487755
2017-02-28,35.64,35.79,35.42,35.62,2340974
2017-03-01,36.25,36.42,35.94,36.16,2200812
2017-03-02,36.09,36.59,36.01,36.38,2749684
2017-03-03,36.31,36.55,35.95,36.43,1508283
2017-03-06,36.19,36.22,35.6,35.92,1929965
2017-03-07,35.82,36.22,35.82,36.16,1640358
2017-03-08,36.16,36.56,36.14,36.3,1534630
2017-03-09,36.32,36.74,35.97,36.01,2222373
2017-03-10,36.33,36.45,35.88,36.4,2315559
2017-03-13,36.44,36.61,35.88,35.95,2102760
2017-03-14,35.89,35.92,35.36,35.47,2018016
2017-03-15,35.72,36.19,35.45,35.96,2818422
2017-03-16,36.05,36.28,35.97,36.21,1945890
2017-03-17,36.35,36.59,36.01,36.03,3244628
2017-03-20,35.96,35.98,35.35,35.55,1787187
2017-03-21,35.7,35.84,35.02,35.16,1643213
2017-03-22,35.08,35.11,34.54,34.88,3550725
2017-03-23,34.91,35.3,34.84,34.95,2097757
2017-03-24,35.0,35.08,34.13,34.38,3834912
2017-03-27,33.79,33.94,33.62,33.7,3186534
2017-03-28,33.65,34.25,33.41,33.99,3397654
2017-03-29,34.0,34.42,33.91,34.32,3333071
2017-03-30,34.31,34.75,34.24,34.74,1429318
2017-03-31,34.57,34.82,34.24,34.79,2211455
2017-04-03,34.81,35.04,33.56,33.71,3836534
2017-04-04,33.52,33.52,32.32,32.8,4960470
2017-04-05,33.0,33.24,32.43,32.48,2536792
2017-04-06,32.52,32.97,32.3,32.96,2414031
2017-04-07,32.79,33.02,32.56,32.94,2084127
2017-04-10,32.97,33.43,32.8,33.06,2359740
2017-04-11,33.01,33.37,32.53,33.36,2456098
2017-04-12,33.46,33.58,33.14,33.36,3217303
2017-04-13,33.22,33.37,32.6,32.64,2034043
2017-04-17,32.67,33.22,32.46,33.21,2829580
2017-04-18,33.13,33.45,32.9,33.38,1775912
2017-04-19,33.46,33.95,33.46,33.6,2151467
2017-04-20,33.73,34.24,33.62,34.17,1945641
2017-04-21,34.17,34.6,34.08,34.38,2297274
