Date,Open,High,Low,Close,Volume
2017-01-03,73.68,74.21,72.54,73.01,652323
2017-01-04,74.47,75.91,73.64,75.88,871812
2017-01-05,75.65,76.19,74.85,75.09,591500
2017-01-06,75.94,76.09,75.43,75.5,732372
2017-01-09,75.25,75.36,74.12,74.53,569630
2017-01-10,74.61,74.98,73.66,73.68,548320
2017-01-11,73.69,74.06,73.12,73.94,578261
2017-01-12,73.69,73.84,72.64,73.83,453999
2017-01-13,74.52,75.06,73.56,75.02,513258
2017-01-17,75.13,75.58,74.67,74.76,792727
2017-01-18,75.07,75.32,74.39,75.29,507874
2017-01-19,75.19,75.79,75.01,75.75,624060
2017-01-20,75.89,76.65,75.6,76.64,692855
2017-01-23,76.64,76.7,75.61,76.05,646025
2017-01-24,76.37,77.27,76.28,76.79,558550
2017-01-25,77.0,78.11,76.69,77.95,707365
2017-01-26,77.99,78.25,77.64,77.97,701892
2017-01-27,78.07,78.38,77.34,77.83,464583
2017-01-30,77.46,77.87,76.8,77.87,615725
2017-01-31,78.7,79.76,78.25,79.62,1383576
2017-02-01,79.76,79.99,78.39,78.45,622688
2017-02-02,77.98,78.9,77.77,77.94,849663
2017-02-03,78.56,78.86,77.73,78.14,1116353
2017-02-06,78.05,78.22,77.45,77.79,962244
2017-02-07,78.54,80.1,77.53,79.19,1572833
2017-02-08,78.79,79.22,76.8,76.97,882317
2017-02-09,77.06,78.19,76.75,78.13,508522
2017-02-10,78.37,78.37,77.53,77.67,434387
2017-02-13,77.71,79.24,77.71,79.1,560820
2017-02-14,79.14,79.92,78.89,79.62,692437
2017-02-15,79.56,80.22,79.36,80.16,739503
2017-02-16,80.1,80.47,79.62,80.4,679830
2017-02-17,80.33,81.32,79.95,80.94,1104413
2017-02-21,81.18,81.36,80.46,80.54,860129
2017-02-22,79.94,80.88,79.86,80.54,712686
2017-02-23,80.57,80.82,80.01,80.26,669704
2017-02-24,79.29,80.29,79.23,79.7,2141990
2017-02-27,79.84,80.0,78.4,78.96,1412331
2017-02-28,78.62,78.8,77.33,78.05,20233347
2017-03-01,78.67,80.62,78.4,79.3,2719446
2017-03-02,79.1,79.17,77.77,78.25,2155802
2017-03-03,78.62,78.89,77.68,78.27,1742760
2017-03-06,78.06,78.54,77.71,77.99,1122970
2017-03-07,78.16,78.48,77.8,77.97,1243064
2017-03-08,78.17,78.75,77.85,78.39,1285002
2017-03-09,78.53,78.59,77.86,78.58,2220068
2017-03-10,79.12,79.67,78.78,79.63,1231768
2017-03-13,79.76,80.46,79.47,80.25,1055827
2017-03-14,79.89,80.59,79.85,80.38,846914
2017-03-15,80.75,80.75,79.9,80.26,1483937
2017-03-16,80.42,80.76,80.19,80.45,846323
2017-03-17,80.29,80.68,79.91,80.57,1464998
2017-03-20,80.38,80.97,80.08,80.51,1151436
2017-03-21,80.94,80.94,79.41,79.64,1264599
2017-03-22,79.55,80.07,79.18,79.73,1055789
2017-03-23,79.9,80.26,79.35,79.85,896414
2017-03-24,80.09,80.35,79.12,79.44,623435
2017-03-27,78.83,79.33,78.32,79.18,657428
2017-03-28,78.92,79.63,78.69,79.14,625656
2017-03-29,79.12,79.22,78.31,79.21,990410
2017-03-30,79.13,80.1,78.83,80.0,776220
2017-03-31,80.4,81.32,79.4,81.07,1009055
2017-04-03,81.03,81.44,80.06,80.67,743737
2017-04-04,80.63,80.92,80.22,80.89,1156409
2017-04-05,81.06,81.51,80.24,80.42,1020527
2017-04-06,80.43,80.83,80.11,80.32,1105833
2017-04-07,80.35,81.19,80.01,81.08,1019156
2017-04-10,81.29,81.57,80.78,81.11,721400
2017-04-11,80.62,80.99,80.0,80.59,1003354
2017-04-12,80.59,81.63,80.12,81.53,1050451
2017-04-13,81.36,82.16,80.58,81.29,672430
2017-04-17,81.26,82.25,80.93,82.16,607155
2017-04-18,81.75,82.62,81.75,81.93,654064
2017-04-19,81.94,82.5,81.94,82.22,636636
2017-04-20,82.72,83.3,82.28,83.0,945638
2017-04-21,82.97,83.53,82.74,82.99,880331
2017-04-24,83.82,84.15,83.3,83.84,1435620
2017-04-25,84.1,84.62,83.93,84.16,968732
2017-04-26,82.4,84.08,82.4,83.63,1186265
2017-04-27,83.8,83.8,82.29,82.4,1115737
2017-04-28,82.48,82.72,81.85,82.41,1823792
2017-05-01,82.62,83.1,82.31,82.66,926681
2017-05-02,82.77,83.12,82.1,82.98,948217
2017-05-03,82.49,83.15,82.28,83.03,999112
2017-05-04,83.16,83.71,82.45,82.98,818166
2017-05-05,83.25,83.88,82.99,83.76,886872
2017-05-08,83.57,84.09,82.14,82.26,989485
2017-05-09,83.0,85.35,83.0,84.99,2528873
2017-05-10,85.38,86.28,83.72,84.84,1336747
2017-05-11,84.45,84.84,83.72,84.36,1230061
2017-05-12,84.27,84.72,83.86,84.07,1069326
2017-05-15,84.41,85.12,84.16,85.0,1413991
2017-05-16,84.82,84.82,83.08,83.93,2093645
2017-05-17,83.17,84.7,82.54,84.15,1711976
2017-05-18,84.1,84.77,83.74,84.41,902158
2017-05-19,84.57,85.13,83.9,85.04,2979120
2017-05-22,85.0,85.36,84.55,85.05,966612
2017-05-23,85.12,85.79,84.88,85.73,1192242
2017-05-24,85.84,86.17,85.37,86.03,662948
2017-05-25,86.29,86.63,85.82,86.28,932085
2017-05-26,86.3,86.75,85.97,86.63,969241
2017-05-30,86.58,86.88,85.86,86.65,1070769
2017-05-31,86.74,86.89,86.05,86.37,5628400
2017-06-01,86.78,86.99,86.28,86.82,1230487
2017-06-02,86.89,87.0,86.27,86.75,878828
2017-06-05,86.66,87.25,86.38,86.9,1216707
2017-06-06,86.29,87.14,86.1,86.77,1011254
2017-06-07,87.0,89.16,86.58,88.88,1619326
2017-06-08,88.69,89.83,88.69,88.98,1251817
2017-06-09,88.81,89.77,88.49,89.75,1050084
2017-06-12,89.21,89.79,89.05,89.76,942130
2017-06-13,89.94,90.09,89.21,89.93,1269183
2017-06-14,89.33,90.29,89.33,90.0,823694
2017-06-15,89.48,89.7,88.99,89.54,746943
2017-06-16,88.84,89.96,88.18,88.57,3292159
2017-06-19,88.96,89.71,88.96,89.62,858174
2017-06-20,89.59,89.81,88.6,88.96,997099
2017-06-21,89.07,89.15,88.67,88.82,609585
2017-06-22,88.82,88.94,88.44,88.57,598548
2017-06-23,88.71,89.26,88.59,88.77,850248
2017-06-26,88.8,89.65,88.8,89.62,704468
2017-06-27,89.62,90.06,89.39,90.01,847445
2017-06-28,90.06,90.76,89.7,90.55,772774
2017-06-29,91.24,91.3,90.05,91.0,751072
2017-06-30,91.11,91.8,91.0,91.4,909964
2017-07-03,91.83,92.29,91.54,91.91,538080
2017-07-05,92.21,93.55,92.16,93.03,1392067
2017-07-06,92.96,93.41,92.13,92.18,919201
2017-07-07,92.32,93.29,91.4,92.98,1044782
2017-07-10,93.01,93.2,92.62,92.69,751099
2017-07-11,92.58,93.04,92.05,92.79,618716
2017-07-12,92.52,92.71,91.64,91.94,801162
2017-07-13,92.35,92.68,91.12,92.54,710621
