Date,Open,High,Low,Close,Volume
2017-01-03,65.41,65.7,63.81,64.39,3553848
2017-01-04,64.66,66.88,64.5,65.74,5365542
2017-01-05,65.67,65.84,65.01,65.48,4186494
2017-01-06,65.5,65.5,64.15,64.29,5275519
2017-01-09,64.13,64.3,63.34,63.48,3595729
2017-01-10,63.49,63.66,62.33,62.69,6017299
2017-01-11,62.82,63.08,62.16,62.98,4293904
2017-01-12,62.64,62.81,61.95,62.36,4385832
2017-01-13,62.21,62.82,62.14,62.32,2641249
2017-01-17,62.23,62.52,61.99,62.26,3905045
2017-01-18,62.5,63.52,62.2,63.49,3816346
2017-01-19,63.37,63.46,62.44,62.63,2727649
2017-01-20,63.36,63.58,62.57,63.49,3989279
2017-01-23,63.31,63.51,62.91,63.26,3401268
2017-01-24,63.36,63.36,62.85,62.98,3951454
2017-01-25,63.4,63.89,62.69,63.0,4805317
2017-01-26,63.04,64.37,62.67,64.16,4382204
2017-01-27,64.27,64.94,63.86,64.74,1982382
2017-01-30,64.71,64.73,63.79,64.4,2217423
2017-01-31,64.01,64.81,63.94,64.49,3523867
2017-02-01,64.82,65.2,64.32,64.6,2123243
2017-02-02,64.49,65.35,64.04,64.14,2919868
2017-02-03,64.29,64.7,63.84,64.15,2236489
2017-02-06,64.33,65.13,64.15,64.67,3849874
2017-02-07,64.82,64.93,64.17,64.47,2256517
2017-02-08,64.47,64.47,63.24,63.51,3600535
2017-02-09,63.65,64.56,63.56,64.38,2414866
2017-02-10,64.56,64.82,64.2,64.4,3838124
2017-02-13,64.64,65.42,64.5,65.3,3109141
2017-02-14,64.97,65.55,64.47,65.33,3044420
2017-02-15,65.38,65.74,65.16,65.24,3541338
2017-02-16,65.19,65.59,64.08,65.42,5978438
2017-02-17,65.14,66.14,64.98,65.69,6926670
2017-02-21,65.61,67.81,65.59,67.46,5234944
2017-02-22,67.62,68.14,67.09,67.12,2751826
2017-02-23,67.51,67.6,66.17,66.31,3855985
2017-02-24,65.9,66.97,65.82,66.97,2099930
2017-02-27,66.9,67.19,66.18,66.23,3058278
2017-02-28,66.05,66.2,65.74,65.92,4249920
2017-03-01,66.5,67.98,66.38,67.26,4397598
2017-03-02,67.37,67.74,66.76,67.15,2828867
2017-03-03,66.98,68.49,66.87,68.24,6604539
2017-03-06,67.98,68.59,67.36,67.99,5327256
2017-03-07,67.77,68.24,67.47,67.94,2440013
2017-03-08,67.87,68.36,67.59,68.01,2018764
2017-03-09,67.56,68.09,67.18,67.7,2476801
2017-03-10,68.06,68.22,67.12,67.41,2732885
2017-03-13,67.54,68.06,67.33,67.91,1936129
2017-03-14,67.68,68.36,67.65,68.01,2194159
2017-03-15,68.15,68.49,67.46,68.18,2271699
2017-03-16,68.16,68.5,67.15,67.3,2790765
2017-03-17,67.42,67.57,66.82,66.95,4081849
2017-03-20,67.02,67.25,66.55,66.91,2737553
2017-03-21,67.17,67.4,65.86,65.97,2693564
2017-03-22,66.1,66.53,65.66,66.12,2351481
2017-03-23,66.32,67.33,66.17,66.73,2534432
2017-03-24,66.82,67.24,66.61,66.9,2088072
2017-03-27,66.4,67.74,66.09,67.49,2807020
2017-03-28,67.32,67.98,66.79,67.77,2424979
2017-03-29,67.59,68.29,67.2,68.25,2075535
2017-03-30,68.09,69.6,68.02,69.34,2753574
2017-03-31,69.16,69.46,68.69,69.36,2828658
2017-04-03,69.37,69.81,68.61,68.86,2267991
2017-04-04,68.68,69.26,68.47,69.2,1953540
2017-04-05,69.28,70.1,69.06,69.51,2876672
2017-04-06,69.44,69.44,68.58,68.88,2407483
2017-04-07,68.87,69.08,68.28,68.67,2046832
2017-04-10,68.62,68.98,68.16,68.22,1648002
2017-04-11,68.15,68.32,67.61,68.03,1835308
2017-04-12,67.8,67.9,67.06,67.16,2290567
2017-04-13,67.23,67.36,66.45,66.46,2419685
2017-04-17,66.75,67.18,66.59,67.18,1728412
2017-04-18,66.99,68.59,66.72,68.39,3540879
2017-04-19,68.63,69.31,68.38,68.57,2728181
2017-04-20,68.74,68.93,68.08,68.67,2045838
2017-04-21,68.62,68.78,66.37,66.84,5891673
2017-04-24,67.2,67.53,65.42,65.95,4313577
2017-04-25,65.72,66.75,65.68,66.41,3065969
2017-04-26,66.4,67.2,66.36,66.91,2114610
2017-04-27,67.22,67.35,66.08,66.34,2231550
2017-04-28,66.55,66.74,66.0,66.56,2376092
2017-05-01,66.89,66.97,65.97,66.65,2158095
2017-05-02,66.68,67.0,65.42,65.66,3277039
2017-05-03,65.41,65.88,62.25,63.46,6579548
2017-05-04,63.09,64.24,61.08,63.85,9512256
2017-05-05,65.3,66.0,64.31,65.2,4726303
2017-05-08,65.32,65.7,63.09,63.37,4997699
2017-05-09,63.4,63.85,62.1,63.56,3169587
2017-05-10,63.09,63.09,61.94,62.53,4436852
2017-05-11,62.47,63.02,62.0,62.75,2636890
2017-05-12,62.63,62.93,62.01,62.2,1877226
2017-05-15,62.21,62.68,61.82,62.08,2132463
2017-05-16,62.31,62.42,60.81,61.2,3622354
2017-05-17,60.61,61.22,60.29,60.38,3608007
2017-05-18,60.53,61.14,60.25,60.38,4385317
2017-05-19,60.53,61.87,60.1,61.66,4054410
2017-05-22,61.69,62.12,61.41,62.05,2633351
2017-05-23,61.97,62.04,61.35,61.47,1581399
2017-05-24,61.64,61.95,61.3,61.61,1647168
2017-05-25,61.85,62.5,61.49,61.6,2479918
2017-05-26,61.6,61.68,61.2,61.57,2002119
2017-05-30,61.6,61.77,61.34,61.52,1672621
2017-05-31,61.6,61.83,60.9,61.11,3762298
