Date,Open,High,Low,Close,Volume
2017-01-03,7.2,7.32,6.78,6.92,55800763
2017-01-04,7.0,7.07,6.85,7.0,48230387
2017-01-05,7.06,7.19,6.89,7.18,54284160
2017-01-06,7.25,7.28,6.99,7.01,39765906
2017-01-09,6.91,6.94,6.78,6.87,40637764
2017-01-10,6.96,7.01,6.87,6.92,28675833
2017-01-11,6.94,7.01,6.85,6.92,31826672
2017-01-12,6.99,7.08,6.87,6.93,30604286
2017-01-13,6.91,6.94,6.86,6.92,21300691
2017-01-17,6.94,7.1,6.88,7.01,39564101
2017-01-18,6.95,7.04,6.92,6.98,29507181
2017-01-19,6.92,6.97,6.55,6.62,62163919
2017-01-20,6.69,6.87,6.63,6.69,32988681
2017-01-23,6.66,6.81,6.52,6.68,28938032
2017-01-24,6.72,7.0,6.67,6.91,36073268
2017-01-25,7.05,7.26,7.01,7.13,48529826
2017-01-26,7.2,7.29,7.07,7.12,31722562
2017-01-27,7.02,7.1,6.86,6.92,30486823
2017-01-30,6.83,6.86,6.41,6.46,56830461
2017-01-31,6.43,6.48,6.33,6.45,29214458
2017-02-01,6.51,6.59,6.31,6.4,33985935
2017-02-02,6.37,6.52,6.26,6.45,34243824
2017-02-03,6.4,6.59,6.38,6.57,28006634
2017-02-06,6.6,6.65,6.37,6.38,27847693
2017-02-07,6.38,6.41,6.08,6.17,40323031
2017-02-08,6.08,6.22,5.92,6.12,38273720
2017-02-09,6.15,6.39,6.15,6.31,31648527
2017-02-10,6.41,6.5,6.33,6.38,29295535
2017-02-13,6.35,6.43,6.28,6.33,24553842
2017-02-14,6.41,6.45,6.34,6.44,22101451
2017-02-15,6.43,6.45,6.3,6.32,24481847
2017-02-16,6.34,6.4,6.06,6.08,37658822
2017-02-17,6.04,6.16,6.02,6.1,21037853
2017-02-21,6.14,6.18,6.0,6.08,36603579
2017-02-22,6.03,6.09,5.9,5.92,45479679
2017-02-23,6.07,6.08,5.38,5.75,98640096
2017-02-24,5.69,5.89,5.6,5.66,58786984
2017-02-27,5.68,5.76,5.51,5.62,46686169
2017-02-28,5.57,5.63,5.43,5.45,38204325
2017-03-01,5.5,5.65,5.49,5.57,35531563
2017-03-02,5.49,5.53,5.26,5.36,47735556
2017-03-03,5.39,5.51,5.3,5.32,32818254
2017-03-06,5.3,5.42,5.27,5.35,34035188
2017-03-07,5.38,5.4,5.26,5.26,28972776
2017-03-08,5.26,5.3,4.92,4.94,65553219
2017-03-09,4.91,5.15,4.88,5.13,51048378
2017-03-10,5.17,5.22,5.01,5.15,38059110
2017-03-13,5.17,5.36,5.17,5.33,30986911
2017-03-14,5.22,5.27,5.02,5.24,36130856
