Date,Open,High,Low,Close,Volume
2017-01-03,76.26,76.71,75.05,75.79,496641
2017-01-04,76.1,76.33,75.69,76.07,443578
2017-01-05,76.03,76.6,75.21,75.76,419345
2017-01-06,75.83,76.04,75.37,75.78,353979
2017-01-09,75.45,75.51,74.49,74.5,382196
2017-01-10,74.37,75.09,74.33,74.52,325562
2017-01-11,74.5,74.9,74.18,74.89,329770
2017-01-12,74.6,75.02,69.69,69.91,1548616
2017-01-13,69.86,70.87,69.78,70.06,1004550
2017-01-17,70.11,70.8,69.52,69.74,758239
2017-01-18,69.57,70.58,69.25,70.54,567247
2017-01-19,70.51,70.54,69.57,69.89,628041
2017-01-20,70.09,70.6,69.7,70.27,562308
2017-01-23,70.25,70.39,69.38,69.73,438387
2017-01-24,70.02,70.3,69.84,70.09,574464
2017-01-25,70.46,71.17,70.4,71.11,510526
2017-01-26,70.95,71.42,70.45,70.68,858866
2017-01-27,70.85,70.85,70.03,70.62,525409
2017-01-30,70.53,70.59,69.73,70.04,473074
2017-01-31,70.0,70.58,69.86,70.58,941627
2017-02-01,70.82,71.09,69.78,70.06,524066
2017-02-02,69.48,70.69,69.48,70.65,468820
2017-02-03,71.48,71.79,70.84,71.43,610089
2017-02-06,71.2,71.35,70.72,70.79,451520
2017-02-07,70.75,71.07,70.05,70.43,541223
2017-02-08,70.51,70.81,70.19,70.34,569713
2017-02-09,70.18,70.34,68.24,70.25,746929
2017-02-10,70.25,71.19,70.21,71.06,551826
2017-02-13,71.32,72.01,71.07,71.75,533572
2017-02-14,71.84,72.51,71.83,72.39,459228
2017-02-15,72.19,72.85,72.05,72.82,456798
2017-02-16,72.83,73.1,72.56,73.09,351807
2017-02-17,72.88,72.91,72.35,72.67,497003
2017-02-21,72.91,73.0,72.36,72.85,444238
2017-02-22,72.75,73.18,72.59,72.93,397700
2017-02-23,72.93,73.44,72.75,73.34,408590
2017-02-24,73.17,73.53,72.91,73.49,318696
2017-02-27,73.63,73.75,72.84,73.06,328813
2017-02-28,73.06,73.27,72.65,72.96,616554
2017-03-01,74.09,75.23,74.09,75.15,597293
2017-03-02,75.18,75.35,74.27,74.3,486996
2017-03-03,74.09,74.36,73.64,73.96,584729
2017-03-06,73.84,73.99,73.14,73.18,502422
2017-03-07,72.68,73.44,72.68,73.17,404662
2017-03-08,73.28,73.75,72.76,72.76,463022
2017-03-09,73.05,73.59,72.97,73.42,432360
2017-03-10,73.74,74.02,73.27,73.97,473917
2017-03-13,73.82,73.95,73.56,73.91,407854
2017-03-14,73.58,74.49,73.54,74.1,429159
2017-03-15,74.33,75.09,73.84,74.95,598265
2017-03-16,74.79,75.29,74.52,74.7,435051
2017-03-17,74.87,75.33,74.32,75.18,1542929
2017-03-20,74.62,74.96,73.95,74.22,396001
2017-03-21,74.55,74.55,72.7,72.78,603067
2017-03-22,72.5,73.04,72.06,72.75,452455
2017-03-23,72.77,73.44,72.6,72.74,282470
2017-03-24,72.8,72.89,71.66,71.88,514487
2017-03-27,71.0,71.82,70.89,71.66,392508
2017-03-28,71.66,72.68,71.4,72.5,424847
2017-03-29,72.27,72.51,71.74,71.75,341732
2017-03-30,71.63,72.41,71.59,72.33,329187
2017-03-31,72.22,72.69,72.13,72.27,391271
2017-04-03,72.43,72.56,71.37,71.58,386715
2017-04-04,71.39,71.8,71.16,71.56,510442
2017-04-05,71.7,71.76,70.64,70.81,577699
2017-04-06,70.78,71.2,70.34,70.85,492928
2017-04-07,70.44,71.42,70.12,70.24,771025
2017-04-10,70.37,71.38,70.28,71.24,639677
2017-04-11,70.79,71.56,70.69,71.39,376825
2017-04-12,71.27,71.33,70.5,70.87,449083
2017-04-13,70.83,71.17,70.34,70.46,409013
2017-04-17,70.63,71.61,70.61,71.6,401774
2017-04-18,70.99,71.09,69.98,70.56,674084
2017-04-19,70.9,71.09,69.76,70.04,578289
2017-04-20,70.08,70.54,69.65,70.45,662768
2017-04-21,70.4,71.08,69.97,70.18,613107
2017-04-24,71.28,71.62,71.04,71.46,578795
2017-04-25,71.67,72.35,71.55,71.82,445270
2017-04-26,71.83,72.65,71.68,71.88,626415
2017-04-27,72.0,73.29,71.48,73.04,661408
2017-04-28,73.29,73.29,72.04,72.09,971505
2017-05-01,72.22,72.39,70.64,71.12,832737
2017-05-02,71.37,71.57,70.98,71.06,465900
2017-05-03,71.14,71.86,70.86,71.18,778528
2017-05-04,71.26,71.76,70.58,70.96,814642
2017-05-05,71.29,71.33,70.53,70.83,567869
2017-05-08,70.9,71.0,69.89,69.92,437734
2017-05-09,70.03,70.22,68.78,68.99,623401
2017-05-10,68.97,69.66,68.88,69.21,701487
2017-05-11,68.87,69.61,68.79,69.38,592994
2017-05-12,69.07,69.8,69.0,69.06,510249
2017-05-15,69.08,69.81,69.08,69.62,602395
2017-05-16,69.61,69.77,69.23,69.33,350295
2017-05-17,68.58,69.0,68.5,68.69,738412
2017-05-18,68.76,69.56,68.49,68.98,733408
2017-05-19,69.15,69.56,68.77,69.04,522287
2017-05-22,69.25,69.65,69.06,69.53,347915
2017-05-23,69.73,69.83,69.31,69.57,405889
2017-05-24,69.79,69.98,69.49,69.7,303379
2017-05-25,69.82,70.52,69.74,70.45,504600
2017-05-26,70.33,70.45,69.84,69.91,436152
2017-05-30,69.66,69.77,69.14,69.53,484207
2017-05-31,69.81,70.17,69.36,70.08,798567
2017-06-01,69.99,70.93,69.9,70.93,550723
2017-06-02,70.89,71.03,70.54,70.72,481503
2017-06-05,70.52,70.86,70.29,70.34,467303
2017-06-06,69.95,70.34,69.44,69.48,539585
2017-06-07,69.72,69.74,69.29,69.56,627487
2017-06-08,69.73,70.56,69.6,70.46,548287
2017-06-09,70.61,71.81,70.61,71.78,522907
2017-06-12,71.72,73.09,71.62,73.02,714921
2017-06-13,73.3,73.3,72.52,72.88,495272
2017-06-14,72.71,73.25,72.43,73.05,396797
2017-06-15,72.57,73.96,72.57,73.89,390076
2017-06-16,73.93,73.98,73.32,73.75,890718
2017-06-19,73.42,73.54,72.84,73.1,464183
2017-06-20,72.97,73.1,72.34,72.38,390725
2017-06-21,72.42,72.53,71.54,71.62,373969
2017-06-22,71.55,71.71,71.16,71.46,409634
2017-06-23,71.57,71.72,71.0,71.23,554951
2017-06-26,71.26,72.04,71.23,71.96,320054
2017-06-27,72.04,72.34,71.52,71.92,377348
2017-06-28,72.37,72.93,71.98,72.55,318467
2017-06-29,72.94,73.19,72.0,72.42,502888
2017-06-30,72.89,72.92,72.16,72.45,687020
2017-07-03,72.94,74.35,72.94,73.1,453113
2017-07-05,73.35,73.35,72.22,72.56,455144
2017-07-06,72.52,72.62,72.02,72.2,576309
2017-07-07,72.44,73.05,72.13,72.66,520691
2017-07-10,72.51,72.67,72.11,72.15,534685
2017-07-11,72.11,72.26,71.6,71.84,387745
2017-07-12,71.88,72.04,71.64,71.98,391462
2017-07-13,72.11,72.76,71.71,72.5,412643
