Date,Open,High,Low,Close,Volume
2017-01-03,120.57,121.36,119.75,121.02,1046535
2017-01-04,121.85,122.52,121.25,121.93,1114584
2017-01-05,122.05,122.74,121.35,122.7,775658
2017-01-06,122.46,122.78,121.87,122.52,526449
2017-01-09,122.77,122.96,120.96,121.3,812896
2017-01-10,121.0,121.04,119.18,119.38,1150247
2017-01-11,119.23,120.13,118.58,118.72,854919
2017-01-12,118.62,119.44,118.41,119.09,773371
2017-01-13,119.1,119.54,118.82,119.53,469559
2017-01-17,119.59,121.56,119.53,121.32,881471
2017-01-18,121.31,121.76,120.58,120.91,701248
2017-01-19,120.89,121.5,120.03,120.25,640046
2017-01-20,121.7,121.91,120.47,121.42,843710
2017-01-23,120.33,121.25,120.17,121.0,524274
2017-01-24,121.1,121.7,120.7,121.62,674649
2017-01-25,121.6,121.7,120.58,121.47,814489
2017-01-26,121.31,121.81,120.97,121.65,694752
2017-01-27,121.28,121.41,118.87,120.49,1057009
2017-01-30,120.95,121.0,119.65,120.31,838440
2017-01-31,120.44,120.76,119.77,120.0,1116098
2017-02-01,119.64,121.0,119.57,120.73,1036343
2017-02-02,121.21,121.6,119.97,120.24,1328468
2017-02-03,122.0,126.61,121.51,125.14,2284856
2017-02-06,125.52,125.6,123.7,123.78,1204805
2017-02-07,124.31,125.58,123.58,125.32,926452
2017-02-08,125.72,127.3,125.4,127.06,1303085
2017-02-09,127.05,127.98,126.92,127.4,1091022
2017-02-10,126.8,127.72,126.58,127.03,1110272
2017-02-13,127.0,127.46,126.49,127.13,739530
2017-02-14,126.61,127.59,126.25,127.4,841462
2017-02-15,127.81,128.49,126.94,128.42,678851
2017-02-16,128.19,130.21,127.87,130.1,1574924
2017-02-17,131.34,134.09,130.67,133.71,2559830
2017-02-21,133.85,135.71,133.71,135.44,1371290
2017-02-22,134.98,136.38,133.75,135.92,1376898
2017-02-23,136.13,136.33,135.44,135.83,1007453
2017-02-24,135.36,136.4,134.62,136.37,900109
2017-02-27,135.6,136.62,135.02,136.44,810793
2017-02-28,136.14,137.0,136.0,136.81,1192814
2017-03-01,136.45,137.25,136.08,137.16,900413
2017-03-02,136.99,137.9,136.61,137.4,855525
2017-03-03,137.19,137.25,136.25,136.92,681932
2017-03-06,136.18,137.09,136.01,136.8,881958
2017-03-07,136.48,137.39,136.36,136.91,844279
2017-03-08,136.37,137.13,136.28,136.41,1578273
2017-03-09,136.76,137.46,136.48,137.06,620290
2017-03-10,137.47,138.13,137.05,138.07,630118
2017-03-13,138.09,138.54,137.92,138.24,820011
2017-03-14,138.0,138.25,137.27,137.64,504718
2017-03-15,137.51,139.3,137.2,138.66,716158
2017-03-16,138.66,138.67,137.34,138.01,757608
2017-03-17,138.41,138.48,137.52,137.54,1271368
2017-03-20,137.59,138.02,137.17,137.46,508156
2017-03-21,138.02,138.25,136.81,137.51,638444
2017-03-22,137.94,137.94,136.53,137.17,639852
2017-03-23,136.94,137.78,136.83,137.55,704315
2017-03-24,137.65,138.07,137.3,137.81,646828
2017-03-27,137.13,138.2,136.65,136.93,585620
2017-03-28,136.54,137.27,136.07,136.96,564790
2017-03-29,136.78,136.92,135.78,135.96,663395
2017-03-30,135.95,136.03,135.2,135.29,520034
2017-03-31,135.11,135.75,134.79,134.83,770890
2017-04-03,135.13,135.62,134.12,134.54,848294
2017-04-04,134.51,134.85,133.61,134.73,778386
2017-04-05,135.22,135.69,133.8,134.27,1088378
2017-04-06,134.27,134.49,132.84,132.95,1041473
2017-04-07,133.13,133.48,132.58,133.22,775097
2017-04-10,133.21,134.03,132.96,133.71,458094
2017-04-11,133.29,134.94,133.29,134.53,742234
2017-04-12,133.8,134.67,133.61,134.64,618966
2017-04-13,134.64,134.64,133.46,133.86,812029
2017-04-17,133.84,135.07,133.62,135.06,653179
2017-04-18,134.87,135.9,134.87,135.59,731789
2017-04-19,135.38,135.65,135.07,135.51,771341
2017-04-20,135.25,135.85,134.92,135.65,970084
2017-04-21,135.55,135.94,134.24,134.29,811589
2017-04-24,134.31,135.15,133.52,134.93,887870
2017-04-25,134.97,136.46,134.8,136.15,659651
2017-04-26,136.5,136.5,133.49,133.57,895339
2017-04-27,133.69,134.47,133.19,134.0,540164
2017-04-28,133.59,133.86,132.34,133.69,1022195
2017-05-01,134.11,134.36,133.43,133.49,432030
2017-05-02,133.85,134.25,129.81,130.09,1525599
2017-05-03,129.04,131.59,127.62,131.2,1533153
2017-05-04,131.56,132.62,131.39,132.36,910080
2017-05-05,132.27,133.07,132.27,132.89,636720
2017-05-08,132.9,133.98,131.75,131.91,573252
2017-05-09,131.66,132.7,131.63,132.43,688983
2017-05-10,132.44,133.24,132.12,133.15,583480
2017-05-11,132.68,132.96,132.27,132.62,624974
2017-05-12,132.37,132.97,131.92,132.16,790273
2017-05-15,132.15,132.9,132.15,132.75,733300
2017-05-16,133.02,133.51,130.68,130.71,1138216
2017-05-17,130.59,132.07,130.5,131.23,883921
2017-05-18,130.94,131.46,129.9,130.74,548956
2017-05-19,130.98,132.4,130.62,132.16,712391
2017-05-22,132.14,132.96,132.03,132.57,563127
2017-05-23,132.44,133.14,131.55,131.68,565928
2017-05-24,132.4,132.86,131.95,132.78,504511
2017-05-25,133.16,135.39,133.09,135.13,619531
2017-05-26,134.95,135.21,134.46,134.99,448113
2017-05-30,134.79,135.16,134.31,134.93,550138
2017-05-31,135.28,136.62,135.24,135.73,704712
2017-06-01,135.81,135.99,134.28,135.77,705573
2017-06-02,136.22,136.66,135.52,136.63,611990
2017-06-05,136.3,137.18,135.86,136.91,469376
2017-06-06,137.0,137.55,136.27,137.05,576345
2017-06-07,136.82,137.89,136.64,137.55,512906
2017-06-08,137.44,137.7,135.67,136.51,545231
2017-06-09,136.62,137.25,136.08,137.14,482072
2017-06-12,137.27,137.71,136.31,137.19,508370
2017-06-13,137.12,137.9,136.54,137.48,430298
2017-06-14,137.76,139.65,137.75,139.11,723631
2017-06-15,138.81,140.55,138.54,140.16,852164
2017-06-16,140.05,140.45,137.9,139.5,1067964
2017-06-19,139.63,141.18,139.0,141.15,624698
2017-06-20,141.0,141.76,139.86,140.12,606733
2017-06-21,140.35,140.61,139.2,139.34,565004
2017-06-22,139.32,139.93,138.91,139.38,463681
2017-06-23,139.49,140.29,138.84,138.91,758153
2017-06-26,139.22,139.79,138.78,139.3,457991
2017-06-27,138.86,139.26,136.92,136.94,620896
2017-06-28,137.72,138.33,136.11,136.2,599418
2017-06-29,135.76,135.76,132.78,133.22,1211530
2017-06-30,133.62,133.95,133.19,133.24,601605
2017-07-03,133.0,134.8,133.0,133.78,520752
2017-07-05,133.88,134.65,133.65,134.1,882772
2017-07-06,133.94,134.37,133.25,133.77,770622
2017-07-07,134.29,135.08,133.94,134.38,600351
2017-07-10,134.48,134.91,133.36,133.5,420158
2017-07-11,133.67,134.22,131.79,131.98,748881
2017-07-12,132.3,132.75,131.42,131.5,809238
2017-07-13,131.47,131.7,130.62,130.82,691591
