Date,Open,High,Low,Close,Volume
2017-01-03,34.84,34.94,34.12,34.52,23670334
2017-01-04,34.76,35.13,34.59,34.94,22010818
2017-01-05,34.8,35.13,34.7,35.08,16985988
2017-01-06,35.1,35.27,34.91,35.14,13528092
2017-01-09,35.07,35.48,35.02,35.42,18135982
2017-01-10,35.31,35.88,35.22,35.46,24547224
2017-01-11,35.86,35.87,35.35,35.86,23324904
2017-01-12,35.8,35.83,35.42,35.71,14599618
2017-01-13,36.0,36.47,35.88,36.38,23293556
2017-01-17,36.1,36.37,35.91,36.28,21143488
2017-01-18,36.34,36.38,36.1,36.14,18013804
2017-01-19,36.09,36.48,36.06,36.3,14470912
2017-01-20,36.54,36.8,36.37,36.78,25014552
2017-01-23,36.78,36.87,36.44,36.63,16937116
2017-01-24,36.6,36.9,36.5,36.8,17553090
2017-01-25,36.8,36.94,36.55,36.72,26648446
2017-01-26,36.56,38.44,36.5,37.75,52161460
2017-01-27,37.74,38.0,37.3,37.98,23326780
2017-01-30,37.92,37.96,37.25,37.67,26341780
2017-01-31,37.52,37.74,37.24,37.71,26926210
2017-02-01,37.64,38.1,37.62,37.8,18004222
2017-02-02,37.72,37.82,37.5,37.54,15387864
2017-02-03,37.65,37.72,37.47,37.63,13852078
2017-02-06,37.6,37.6,37.22,37.27,16223032
2017-02-07,37.33,37.6,37.26,37.43,15812560
2017-02-08,37.43,37.46,37.29,37.34,14212182
2017-02-09,37.5,37.62,37.28,37.52,14329328
2017-02-10,37.5,37.64,37.4,37.58,12684104
2017-02-13,37.6,37.86,37.55,37.86,20421818
2017-02-14,37.8,38.12,37.72,38.04,15477494
2017-02-15,37.88,38.33,37.84,38.3,13849182
2017-02-16,38.22,38.22,37.84,38.0,16599476
2017-02-17,37.97,38.02,37.51,37.66,19599952
2017-02-21,38.03,38.03,37.41,37.89,13556274
2017-02-22,37.87,38.22,37.82,37.94,13126051
2017-02-23,38.12,38.16,37.56,37.65,13258356
2017-02-24,37.72,37.9,37.47,37.89,11557826
2017-02-27,37.76,37.8,37.5,37.53,9563628
2017-02-28,37.62,37.62,37.18,37.42,16872258
2017-03-01,37.72,37.83,37.52,37.59,16486480
2017-03-02,37.52,37.55,37.19,37.45,11116071
2017-03-03,37.46,37.5,37.18,37.22,11069227
2017-03-06,37.07,37.5,36.9,37.44,13181617
