Date,Open,High,Low,Close,Volume
2017-01-03,50.82,51.61,49.92,50.61,7032586
2017-01-04,50.7,51.1,50.32,51.08,4989987
2017-01-05,51.21,51.68,50.72,50.93,4727057
2017-01-06,51.02,51.08,50.29,50.74,3472502
2017-01-09,50.27,50.53,49.63,49.66,5765597
2017-01-10,49.88,50.04,49.37,49.66,5447921
2017-01-11,49.96,51.49,49.46,51.22,8689372
2017-01-12,51.5,51.53,50.09,50.15,6963344
2017-01-13,49.9,50.87,49.84,50.59,4413304
2017-01-17,50.56,50.71,50.0,50.15,4995058
2017-01-18,49.8,50.58,49.79,50.27,4969975
2017-01-19,50.2,50.45,49.78,49.86,4915320
2017-01-20,50.39,51.09,50.32,50.73,5888520
2017-01-23,50.26,50.57,49.58,49.94,5969486
2017-01-24,50.14,51.4,50.01,50.27,5919240
2017-01-25,50.41,51.23,50.32,50.69,5991240
2017-01-26,50.63,51.02,50.34,50.63,4164084
2017-01-27,50.33,50.46,49.2,49.43,5408068
2017-01-30,49.01,49.18,47.19,47.48,10483193
2017-01-31,47.81,48.79,47.37,48.76,7464489
2017-02-01,49.0,49.15,47.44,48.5,10040876
2017-02-02,48.75,49.34,47.28,48.69,8625117
2017-02-03,48.85,50.49,48.82,50.43,8414350
2017-02-06,50.5,50.98,49.35,50.09,8127533
2017-02-07,49.55,50.23,49.08,49.42,7591584
2017-02-08,49.05,50.16,48.51,49.6,8588624
2017-02-09,50.04,50.33,49.48,49.81,6356981
2017-02-10,50.03,50.54,49.82,50.14,5996045
2017-02-13,50.04,50.04,49.22,49.7,6164249
2017-02-14,50.0,50.18,49.33,50.14,6063387
2017-02-15,49.83,50.29,49.31,49.36,7461768
2017-02-16,49.59,49.65,48.27,48.34,9689101
2017-02-17,48.22,48.24,47.1,47.51,10694026
2017-02-21,48.13,48.52,47.82,48.13,9577221
2017-02-22,47.8,47.94,47.03,47.1,8007744
2017-02-23,47.79,47.86,47.03,47.3,7846378
2017-02-24,47.01,47.49,46.71,47.04,6749541
2017-02-27,47.23,47.64,46.96,47.36,6208296
2017-02-28,47.17,47.67,47.0,47.57,6710562
2017-03-01,48.0,49.23,47.86,49.05,9194533
2017-03-02,48.62,48.82,47.91,48.21,5955304
2017-03-03,48.19,48.44,47.64,47.82,5316706
2017-03-06,47.78,48.47,47.34,48.32,6078519
2017-03-07,48.45,48.51,47.6,47.72,5652837
2017-03-08,47.41,47.66,45.8,45.91,9435487
2017-03-09,45.61,46.63,45.48,46.48,7235876
2017-03-10,46.88,46.88,45.48,45.67,8455360
2017-03-13,45.68,46.16,45.54,45.84,6333786
2017-03-14,45.15,45.2,44.19,44.94,10538326
2017-03-15,45.47,46.12,44.85,45.84,7573389
2017-03-16,45.95,46.13,45.51,45.84,6393734
2017-03-17,45.97,46.36,45.64,45.69,8359693
2017-03-20,45.4,45.98,45.05,45.86,5754178
2017-03-21,46.04,46.17,44.88,45.18,6504187
2017-03-22,45.03,45.32,44.63,44.65,7852167
2017-03-23,44.65,45.0,44.35,44.48,9149363
2017-03-24,44.64,44.88,43.97,44.1,8797147
2017-03-27,43.49,44.44,43.26,44.29,6231896
2017-03-28,44.41,45.49,44.2,45.38,7034758
2017-03-29,45.33,46.06,45.0,45.95,6040817
2017-03-30,49.33,50.41,48.61,50.0,40059849
2017-03-31,49.64,50.05,49.02,49.87,13410488
2017-04-03,49.9,49.93,48.8,49.45,7711956
2017-04-04,49.43,49.79,49.04,49.73,6175883
2017-04-05,50.01,50.4,48.95,49.11,7490852
2017-04-06,49.39,49.97,49.16,49.81,6823848
2017-04-07,49.85,50.0,49.38,49.54,5857440
2017-04-10,49.79,50.47,49.73,50.15,6737361
2017-04-11,50.15,50.24,49.57,50.15,7395200
2017-04-12,50.14,50.62,49.3,49.44,7622973
2017-04-13,49.6,49.78,48.54,48.62,8807145
2017-04-17,48.59,49.02,48.46,48.95,5286622
2017-04-18,48.61,49.26,48.43,48.69,6046632
2017-04-19,48.76,49.07,47.82,48.0,6165247
2017-04-20,48.02,48.68,47.89,47.95,6278788
2017-04-21,47.86,48.13,47.3,47.74,6056267
2017-04-24,48.0,48.19,47.71,47.91,5750672
2017-04-25,47.97,48.9,47.8,48.79,7023235
2017-04-26,48.27,49.53,48.24,48.34,6536870
2017-04-27,47.83,48.14,46.86,47.86,7302663
2017-04-28,48.15,48.32,47.74,47.91,6428976
2017-05-01,47.9,48.03,47.46,47.48,5795444
2017-05-02,47.56,47.62,46.27,46.7,10390497
2017-05-03,46.25,47.44,46.25,47.08,5757217
2017-05-04,46.78,46.85,45.69,45.92,9999260
2017-05-05,45.95,46.85,45.89,46.77,7894377
2017-05-08,46.8,47.23,46.52,47.13,5861196
2017-05-09,47.18,47.21,46.06,46.27,6157396
2017-05-10,46.71,47.86,46.53,47.61,7950279
2017-05-11,47.01,47.81,47.01,47.42,8569905
2017-05-12,47.4,47.67,46.58,46.97,9151938
2017-05-15,48.09,48.33,47.26,47.44,7675589
2017-05-16,47.67,47.72,46.68,47.13,5288175
2017-05-17,47.01,47.4,46.33,46.41,7512809
2017-05-18,46.0,46.96,45.82,46.42,6543458
2017-05-19,46.89,47.69,46.62,47.48,7206164
2017-05-22,47.83,47.9,46.87,46.93,7967925
2017-05-23,46.86,47.32,46.67,46.76,7436714
2017-05-24,46.64,46.75,46.14,46.67,7848103
2017-05-25,46.47,46.97,44.68,45.05,12772241
2017-05-26,45.33,45.4,44.68,45.35,10758924
2017-05-30,44.93,45.09,44.53,44.79,9280928
2017-05-31,44.32,44.86,44.09,44.69,8770777
2017-06-01,44.8,45.32,44.39,44.86,7946842
2017-06-02,44.58,44.62,44.02,44.26,8000880
2017-06-05,44.06,44.53,44.0,44.02,5731336
2017-06-06,43.95,44.51,43.8,44.48,8584006
2017-06-07,44.2,44.43,43.24,43.56,13140900
2017-06-08,43.26,43.85,43.02,43.07,9179469
2017-06-09,43.1,44.94,43.07,44.82,10412891
2017-06-12,45.25,46.04,45.25,45.72,13550427
2017-06-13,45.72,46.66,45.6,46.43,8600990
2017-06-14,46.06,46.11,45.19,45.42,7069584
2017-06-15,45.36,45.85,44.9,45.39,9672482
2017-06-16,45.82,46.67,45.61,46.53,11639633
2017-06-19,46.54,46.72,46.22,46.36,6029930
2017-06-20,45.41,46.04,45.3,45.82,7739608
2017-06-21,45.82,46.22,44.66,44.95,10790296
2017-06-22,44.99,45.38,44.59,44.81,8881258
2017-06-23,44.79,45.31,44.47,44.83,8483067
2017-06-26,44.93,44.96,44.06,44.23,9047467
2017-06-27,44.52,44.63,43.96,43.97,8697137
2017-06-28,44.05,44.34,43.72,43.96,6983467
2017-06-29,44.06,44.66,43.98,44.08,8252374
2017-06-30,44.39,44.58,43.7,43.96,9126700
2017-07-03,44.21,45.83,44.19,45.66,5742946
2017-07-05,45.27,45.45,43.76,44.16,7725531
2017-07-06,44.15,44.31,43.22,43.31,7155511
2017-07-07,43.12,43.28,42.5,43.0,8494201
2017-07-10,42.83,43.48,42.77,43.24,5631887
2017-07-11,43.25,43.66,42.92,43.35,5782632
2017-07-12,43.82,44.0,42.93,43.24,7907945
2017-07-13,43.22,43.47,42.9,43.25,7014058
