Date,Open,High,Low,Close,Volume
2017-01-03,60.6,60.95,60.28,60.64,1185432
2017-01-04,60.73,61.45,60.67,61.06,1257452
2017-01-05,61.02,61.19,60.57,60.93,1488464
2017-01-06,60.81,61.08,60.57,60.7,888468
2017-01-09,60.3,60.34,59.54,59.75,1253379
2017-01-10,60.05,60.16,59.73,60.01,1561521
2017-01-11,59.87,60.49,59.43,60.15,2323322
2017-01-12,60.35,62.16,60.26,61.57,2478300
2017-01-13,61.42,61.81,61.05,61.72,1197133
2017-01-17,62.06,62.42,61.69,62.09,1899333
2017-01-18,62.05,62.39,61.9,62.29,1098944
2017-01-19,62.11,62.3,61.89,62.24,964698
2017-01-20,62.49,63.26,62.33,62.84,1212496
2017-01-23,62.81,63.28,62.62,63.12,1452249
2017-01-24,63.07,63.46,62.8,63.3,1330982
2017-01-25,63.29,63.5,62.72,63.1,1126167
2017-01-26,63.03,63.16,62.3,62.62,1283103
2017-01-27,62.9,62.98,62.34,62.58,1082483
2017-01-30,62.61,63.0,62.2,62.38,1547253
2017-01-31,62.44,62.9,61.91,62.23,2401077
2017-02-01,62.11,62.78,62.1,62.49,1768419
2017-02-02,62.79,63.54,62.71,63.16,1028111
2017-02-03,63.49,64.04,63.09,63.28,1390011
2017-02-06,63.29,63.49,62.33,62.6,1382871
2017-02-07,62.89,63.47,62.72,63.23,1150766
2017-02-08,63.17,63.76,63.08,63.4,1209629
2017-02-09,63.61,64.23,63.6,63.84,1429878
2017-02-10,63.7,63.79,63.12,63.27,1283138
2017-02-13,63.24,63.53,63.02,63.43,1337261
2017-02-14,63.25,63.44,62.92,63.03,1364419
2017-02-15,63.04,63.62,62.61,63.45,1888573
2017-02-16,63.22,63.87,61.86,62.55,3361300
2017-02-17,59.0,60.49,57.55,58.48,6122699
2017-02-21,58.48,59.05,58.12,58.95,4824665
2017-02-22,58.75,59.61,58.64,59.17,2504688
2017-02-23,59.35,59.57,58.95,59.06,1660246
2017-02-24,59.24,59.69,59.0,59.11,1571781
2017-02-27,59.1,59.25,58.82,58.97,1095982
2017-02-28,58.98,59.48,58.88,59.35,2239331
2017-03-01,59.53,59.89,59.16,59.49,1484961
2017-03-02,59.41,59.9,59.32,59.83,1869609
2017-03-03,59.94,59.94,59.41,59.54,1472145
2017-03-06,59.24,59.58,59.03,59.29,1206222
2017-03-07,59.25,59.56,59.06,59.09,1430155
2017-03-08,58.85,58.9,58.01,58.66,2061808
2017-03-09,58.65,59.16,58.6,59.03,969604
2017-03-10,59.36,59.44,58.98,59.19,1228879
2017-03-13,59.16,59.25,58.61,59.05,2644381
2017-03-14,59.07,59.21,58.78,58.95,1132964
2017-03-15,59.04,59.6,58.95,59.36,1284190
2017-03-16,59.2,59.27,58.57,58.83,1475367
2017-03-17,59.08,59.33,58.84,59.2,1714671
2017-03-20,59.22,59.34,59.0,59.0,1246063
2017-03-21,58.03,58.74,57.04,57.09,3438890
2017-03-22,57.23,57.59,56.54,56.91,1701881
2017-03-23,57.41,58.0,57.25,57.6,1797698
2017-03-24,57.58,57.72,57.3,57.44,1420257
2017-03-27,57.45,57.87,57.32,57.49,999016
2017-03-28,57.36,57.83,57.24,57.62,1001663
2017-03-29,57.61,57.77,57.25,57.57,1006118
2017-03-30,57.56,57.62,57.05,57.11,785440
2017-03-31,57.15,57.89,56.97,57.24,1911250
2017-04-03,57.27,57.55,56.7,56.89,2104693
2017-04-04,56.72,56.97,56.42,56.78,1299500
2017-04-05,56.77,57.37,56.59,56.77,1724723
2017-04-06,56.65,56.75,56.38,56.59,1088159
2017-04-07,56.76,56.94,56.4,56.41,2004349
2017-04-10,56.11,56.71,56.05,56.5,1535840
2017-04-11,56.42,56.64,56.21,56.64,1276226
2017-04-12,56.56,57.15,56.36,57.03,2011000
2017-04-13,56.94,57.12,56.14,56.14,1213482
2017-04-17,56.27,56.64,56.18,56.59,1950145
2017-04-18,56.56,57.44,56.56,57.19,1157675
2017-04-19,57.16,57.41,56.92,57.28,1079783
