Date,Open,High,Low,Close,Volume
2017-01-03,36.15,36.64,35.59,35.89,6535008
2017-01-04,36.05,36.71,35.95,36.63,7255928
2017-01-05,36.41,37.38,36.4,36.99,11583171
2017-01-06,36.71,37.72,35.96,37.52,12350244
2017-01-09,37.57,37.65,36.98,36.99,7406908
2017-01-10,36.89,37.57,36.78,37.42,8163501
2017-01-11,37.32,38.11,37.32,38.04,9882619
2017-01-12,38.06,38.39,37.8,38.38,8134467
2017-01-13,38.21,38.82,38.1,38.8,13828079
2017-01-17,38.75,38.8,37.86,38.09,18270995
2017-01-18,36.54,37.4,36.21,36.88,20660656
2017-01-19,43.23,45.61,42.66,45.51,98506114
2017-01-20,44.5,44.7,42.88,44.33,45342351
2017-01-23,44.66,46.07,44.56,45.99,23485053
2017-01-24,45.89,47.28,45.86,46.69,16824563
2017-01-25,47.24,47.84,46.9,47.79,18040044
2017-01-26,47.79,49.13,47.56,48.6,18203048
2017-01-27,48.83,48.93,47.67,48.06,12813125
2017-01-30,47.8,48.09,46.72,47.49,15181303
2017-01-31,46.97,47.49,46.06,46.39,17976347
2017-02-01,46.55,47.19,46.41,47.09,11808919
2017-02-02,46.69,46.92,46.1,46.31,10377199
2017-02-03,46.24,46.96,46.16,46.79,8474918
2017-02-06,46.55,47.26,46.54,47.26,8877459
2017-02-07,47.27,48.29,47.27,47.68,14773744
2017-02-08,47.58,48.06,46.96,47.96,8601313
2017-02-09,48.1,48.15,47.53,47.75,6108289
2017-02-10,48.5,48.93,47.41,47.77,15428519
2017-02-13,48.11,48.45,47.75,47.91,6695755
2017-02-14,47.63,48.21,47.62,48.0,6407422
2017-02-15,46.99,47.84,46.76,47.34,12546927
2017-02-16,47.52,47.71,46.22,47.69,17713954
2017-02-17,47.53,48.63,47.49,48.54,11766424
2017-02-21,48.53,49.0,48.43,48.91,8221536
2017-02-22,48.79,48.79,48.03,48.39,8314723
2017-02-23,48.58,48.7,47.55,47.91,8500728
2017-02-24,47.62,48.49,47.57,48.48,8378555
2017-02-27,48.28,48.81,47.99,48.71,8619027
2017-02-28,49.43,49.6,48.37,48.56,8033008
2017-03-01,49.2,49.79,49.16,49.21,9461500
2017-03-02,49.21,49.26,48.47,48.56,8222346
2017-03-03,48.52,49.63,48.23,49.48,11631146
2017-03-06,49.12,49.94,48.96,49.79,11810556
2017-03-07,49.7,50.31,48.38,48.44,17913905
2017-03-08,48.31,48.67,47.52,47.65,11796486
