Date,Open,High,Low,Close,Volume
2017-01-03,79.58,80.45,78.97,80.35,5922807
2017-01-04,80.34,80.42,79.44,79.75,7101759
2017-01-05,79.85,81.52,78.8,81.42,8805421
2017-01-06,81.41,82.46,80.94,82.2,7087061
2017-01-09,82.2,82.38,81.16,81.7,6847689
2017-01-10,81.72,82.89,81.51,82.67,7053260
2017-01-11,82.22,83.11,81.73,82.77,6404156
2017-01-12,82.92,83.21,82.38,82.6,5774701
2017-01-13,82.7,82.91,81.75,81.98,4809230
2017-01-17,81.96,83.98,81.91,83.92,7292726
2017-01-18,84.49,84.72,83.2,83.54,5263133
2017-01-19,83.17,83.86,82.32,83.2,5220710
2017-01-20,83.29,83.43,81.31,81.56,8004129
2017-01-23,81.5,81.93,81.02,81.25,6305901
2017-01-24,81.35,82.15,81.12,81.78,4743742
2017-01-25,81.92,82.2,79.42,79.49,10652194
2017-01-26,79.08,80.42,78.44,79.33,7627541
2017-01-27,79.83,79.89,77.03,77.75,10924374
2017-01-30,77.46,79.02,77.32,78.68,7488549
2017-01-31,78.55,79.3,78.51,78.81,6435182
2017-02-01,78.65,79.1,77.69,77.97,6463085
2017-02-02,76.35,76.35,74.05,74.8,18840243
2017-02-03,75.34,76.42,75.28,75.46,11937043
2017-02-06,75.6,76.82,75.53,76.07,9559537
2017-02-07,76.12,76.73,75.5,76.36,5739937
2017-02-08,76.21,77.14,76.13,77.03,6788496
2017-02-09,77.8,77.8,75.21,77.31,13943993
2017-02-10,77.44,79.12,76.95,78.53,9366970
2017-02-13,78.98,79.23,78.35,78.7,5645832
2017-02-14,78.76,78.95,78.06,78.67,5507644
2017-02-15,78.88,79.52,78.83,79.41,5626296
2017-02-16,79.5,80.2,79.26,79.45,4957509
2017-02-17,79.45,79.99,79.32,79.69,6215697
2017-02-21,79.61,80.39,79.13,79.76,6280996
2017-02-22,79.75,80.47,79.45,80.16,5003351
2017-02-23,80.22,81.43,80.01,80.86,6403537
2017-02-24,80.83,81.75,80.64,81.48,5189175
2017-02-27,81.55,81.86,81.31,81.41,4696152
2017-02-28,80.8,81.13,80.18,80.58,7274939
2017-03-01,81.1,81.38,80.64,80.7,4977455
2017-03-02,80.5,81.56,80.41,81.35,5781248
2017-03-03,81.52,81.69,80.54,81.02,5701325
2017-03-06,80.85,81.29,80.61,80.85,4463938
2017-03-07,80.49,81.0,80.38,80.81,6314203
2017-03-08,80.74,81.52,80.53,81.04,5810391
2017-03-09,81.06,81.41,80.43,80.7,5394387
2017-03-10,81.0,81.07,80.23,80.4,6004401
2017-03-13,80.4,80.59,79.97,80.44,6276825
2017-03-14,80.44,80.59,79.42,79.89,5546221
2017-03-15,79.77,80.22,78.68,79.73,7925519
2017-03-16,79.65,79.98,79.23,79.56,6241096
2017-03-17,79.63,79.65,78.58,78.88,19734810
2017-03-20,78.87,79.11,78.55,78.82,5075846
2017-03-21,78.89,79.01,78.28,78.61,6201263
2017-03-22,78.75,78.87,77.92,78.46,5640697
2017-03-23,78.46,78.73,77.98,78.3,9320878
2017-03-24,78.25,78.66,78.01,78.49,3878592
2017-03-27,78.13,78.95,78.02,78.51,4983516
2017-03-28,78.39,78.95,78.28,78.61,5470045
2017-03-29,78.5,78.86,78.36,78.76,3138168
2017-03-30,78.65,79.11,78.44,78.85,3834598
2017-03-31,77.6,78.61,77.57,78.5,7996113
2017-04-03,78.38,78.55,77.72,78.05,7374110
2017-04-04,78.01,78.22,77.63,77.87,5641016
2017-04-05,77.82,77.87,76.75,77.03,13351924
2017-04-06,77.18,77.22,76.6,77.01,6330966
2017-04-07,77.05,77.22,76.56,77.08,5208024
2017-04-10,77.08,77.85,76.96,77.81,4824320
2017-04-11,77.72,78.19,77.54,78.17,4866676
2017-04-12,77.84,78.15,77.74,77.96,4749840
2017-04-13,77.99,78.36,77.8,77.96,3532026
2017-04-17,78.03,78.74,78.01,78.73,4436075
2017-04-18,77.63,78.5,77.5,78.25,7024596
2017-04-19,78.06,78.09,77.59,77.83,4575576
2017-04-20,77.85,79.54,77.79,79.43,6715397
2017-04-21,79.24,79.5,78.96,79.28,6724304
