Date,Open,High,Low,Close,Volume
2017-01-03,27.66,28.31,27.66,27.96,2626287
2017-01-04,27.98,28.45,27.92,28.29,2017811
2017-01-05,27.82,28.17,27.14,27.2,3664168
2017-01-06,27.23,27.81,27.13,27.48,3337409
2017-01-09,27.31,27.42,26.84,26.87,2382625
2017-01-10,26.39,26.78,26.16,26.34,5619032
2017-01-11,26.34,26.53,26.12,26.51,5780425
2017-01-12,26.36,27.28,26.34,27.2,3818809
2017-01-13,27.17,27.48,27.01,27.4,2285604
2017-01-17,27.39,27.84,27.21,27.81,2651880
2017-01-18,27.95,28.22,27.74,28.01,2497281
2017-01-19,28.1,28.2,27.76,28.0,2148808
2017-01-20,28.04,28.22,27.82,27.89,2059140
2017-01-23,27.89,28.33,27.81,28.27,2241714
2017-01-24,28.32,28.54,28.04,28.49,1499671
2017-01-25,28.62,28.98,27.41,27.58,6362556
2017-01-26,27.8,28.2,27.54,27.9,3511240
2017-01-27,27.96,28.34,27.68,28.06,2106055
2017-01-30,28.07,28.16,27.67,27.98,1665712
2017-01-31,27.95,28.68,27.5,28.35,3789816
2017-02-01,28.32,28.57,27.68,28.04,2662711
2017-02-02,27.96,28.02,27.61,27.79,2294995
2017-02-03,27.87,28.15,27.83,28.09,1497164
2017-02-06,27.98,28.26,27.86,27.97,2060037
2017-02-07,27.96,28.09,27.58,27.99,1448290
2017-02-08,28.01,28.01,27.34,27.53,2140098
2017-02-09,27.59,28.29,27.55,27.96,2436592
2017-02-10,28.0,28.56,27.92,28.48,2915788
2017-02-13,28.51,29.2,28.51,29.03,5129571
2017-02-14,28.75,28.93,27.66,28.53,7141243
2017-02-15,28.47,28.92,28.35,28.49,3837237
2017-02-16,28.57,28.86,28.48,28.57,3025101
2017-02-17,28.58,28.96,28.55,28.68,1987534
2017-02-21,28.62,29.89,28.61,29.62,5847558
2017-02-22,29.41,29.73,29.27,29.51,3441817
2017-02-23,29.6,29.91,29.3,29.5,1850148
2017-02-24,29.46,29.51,29.0,29.27,2028849
2017-02-27,29.19,29.38,28.84,29.05,2091496
2017-02-28,29.17,29.17,28.58,28.76,2100690
2017-03-01,29.01,29.02,28.48,28.52,2360166
2017-03-02,28.41,28.5,27.84,28.49,4948439
2017-03-03,28.48,28.52,27.86,27.89,3517790
2017-03-06,27.77,27.86,27.32,27.78,4676712
2017-03-07,27.67,28.12,27.5,27.75,4586465
2017-03-08,27.81,28.24,27.81,27.98,3091346
2017-03-09,27.85,28.17,27.65,27.86,2115334
