Date,Open,High,Low,Close,Volume
2017-01-03,57.2,57.93,56.52,57.6,7084669
2017-01-04,57.88,58.26,57.7,58.06,5246706
2017-01-05,58.09,58.19,57.42,57.8,4135583
2017-01-06,57.8,57.89,57.11,57.44,5094504
2017-01-09,57.4,59.08,57.39,57.79,11100657
2017-01-10,57.71,57.83,57.16,57.67,5909071
2017-01-11,57.9,58.3,57.43,58.26,6492475
2017-01-12,58.27,58.61,58.06,58.29,6056702
2017-01-13,58.27,58.33,57.73,57.8,5769805
2017-01-17,57.52,57.52,56.97,57.33,5274370
2017-01-18,57.54,57.71,57.09,57.71,3890840
2017-01-19,57.88,58.0,56.76,57.09,4085986
2017-01-20,57.22,57.63,56.98,57.38,7062198
2017-01-23,57.38,57.67,56.85,57.14,4909346
2017-01-24,57.58,59.77,57.35,59.64,9204797
2017-01-25,59.42,60.34,59.35,60.21,8712736
2017-01-26,60.47,61.65,60.21,61.42,10431600
2017-01-27,61.41,61.73,61.22,61.31,5262057
2017-01-30,60.84,60.92,59.81,60.15,5445557
2017-01-31,59.84,59.95,59.21,59.63,5747697
2017-02-01,59.61,60.34,59.33,60.3,5602749
2017-02-02,60.28,60.59,59.74,59.86,4207229
2017-02-03,59.97,60.28,59.51,60.21,4546953
2017-02-06,60.03,60.15,59.8,60.02,3968574
2017-02-07,59.91,60.21,59.66,59.79,3138622
2017-02-08,59.85,60.0,59.5,59.73,4725220
2017-02-09,59.86,60.35,59.63,60.26,3840127
2017-02-10,60.54,61.3,60.42,61.19,4766540
2017-02-13,61.22,61.85,61.2,61.56,4013471
2017-02-14,61.05,61.74,60.63,61.72,4518575
2017-02-15,61.48,61.54,61.06,61.1,7800299
2017-02-16,60.82,61.44,60.8,61.41,4611075
2017-02-17,61.2,61.32,60.5,61.26,4063317
2017-02-21,61.23,61.86,61.04,61.22,5001658
2017-02-22,61.19,64.36,61.08,63.67,18783097
2017-02-23,63.63,63.88,63.03,63.37,6246329
2017-02-24,62.96,63.58,62.82,63.55,5268501
2017-02-27,63.2,63.61,62.71,62.91,7260673
2017-02-28,62.6,62.88,61.97,62.26,7298156
2017-03-01,62.87,63.64,62.72,63.46,8871656
2017-03-02,63.42,63.67,63.23,63.35,5656295
2017-03-03,63.45,63.61,63.05,63.26,3572149
2017-03-06,63.21,63.97,62.86,63.51,7298634
2017-03-07,63.32,63.5,63.11,63.15,7631157
2017-03-08,63.22,64.05,63.0,63.28,6925674
2017-03-09,63.27,63.68,62.81,63.54,5970917
2017-03-10,63.83,64.05,63.43,63.84,5499071
2017-03-13,63.88,64.24,63.77,64.11,4388005
2017-03-14,63.99,64.12,63.46,63.68,3527731
2017-03-15,63.92,64.5,63.77,64.44,4429089
2017-03-16,64.41,64.48,63.66,63.86,4803435
2017-03-17,64.15,64.38,63.82,64.03,10942058
2017-03-20,63.95,64.66,63.72,64.5,6576606
2017-03-21,64.54,64.73,62.91,63.08,9919683
2017-03-22,62.86,62.93,61.97,62.79,9265492
2017-03-23,62.65,63.93,62.5,63.83,7646908
2017-03-24,63.67,64.26,62.81,63.08,5934568
2017-03-27,62.62,64.66,62.32,64.02,8311060
2017-03-28,63.87,65.42,63.52,65.0,8495231
2017-03-29,64.28,64.7,64.06,64.42,3868257
2017-03-30,64.38,64.56,63.99,64.18,4630989
2017-03-31,63.97,64.06,63.52,63.54,6638072
2017-04-03,63.57,63.78,62.3,63.06,5602037
2017-04-04,63.06,63.25,62.58,63.2,5086591
2017-04-05,63.48,64.43,63.36,63.52,6312747
2017-04-06,63.5,64.0,63.36,63.61,3813406
2017-04-07,63.43,63.57,63.1,63.19,2704150
2017-04-10,63.16,63.44,63.03,63.27,3983466
2017-04-11,63.05,63.13,62.36,62.49,4903226
2017-04-12,62.74,62.74,61.79,61.92,4938786
2017-04-13,61.7,61.71,61.02,61.06,5577395
2017-04-17,61.15,61.76,60.86,61.73,4828897
2017-04-18,61.6,61.88,61.12,61.48,4429199
2017-04-19,61.78,61.93,61.32,61.55,4713696
2017-04-20,61.85,62.5,61.49,61.94,5087714
2017-04-21,61.9,62.32,61.7,62.16,5836160
2017-04-24,62.63,63.19,62.61,62.82,4933654
2017-04-25,63.98,64.91,63.81,64.81,7737368
2017-04-26,64.51,64.88,64.17,64.33,4699464
2017-04-27,64.03,64.21,63.01,63.19,6969631
2017-04-28,63.17,63.59,62.39,62.8,4752532
2017-05-01,63.16,63.18,62.5,62.52,4749907
2017-05-02,62.83,63.0,62.31,62.52,5766148
2017-05-03,62.24,62.45,61.22,61.71,8609662
2017-05-04,61.89,61.95,61.23,61.42,7765806
2017-05-05,61.68,63.22,61.51,63.09,10191149
2017-05-08,62.84,62.94,62.18,62.37,4975711
2017-05-09,62.35,62.75,61.74,61.83,3921166
2017-05-10,61.98,62.12,61.44,61.71,4315419
2017-05-11,61.82,62.07,60.6,61.86,7008723
2017-05-12,61.79,62.08,61.62,62.04,3056953
2017-05-15,62.34,62.96,62.24,62.4,3444871
2017-05-16,62.53,62.73,62.17,62.3,3633000
2017-05-17,61.81,61.92,60.13,60.2,7345639
2017-05-18,59.83,60.86,59.29,60.58,5091612
2017-05-19,60.63,61.93,60.59,61.29,7975354
2017-05-22,61.81,61.9,60.95,60.98,5117348
2017-05-23,61.17,61.44,60.74,60.78,5313343
2017-05-24,60.97,61.9,60.94,61.45,5485518
2017-05-25,61.72,61.88,60.38,60.65,4508056
2017-05-26,60.46,61.16,60.44,61.06,3123463
2017-05-30,60.76,61.1,60.61,60.89,3966342
2017-05-31,60.99,61.98,60.56,61.96,11007031
2017-06-01,61.96,62.86,61.88,62.76,5849937
2017-06-02,62.97,63.43,62.8,63.05,4651162
2017-06-05,63.0,63.34,62.85,63.21,5547086
2017-06-06,63.0,64.06,62.86,63.73,6270950
2017-06-07,63.94,64.1,63.24,63.98,6399216
2017-06-08,63.79,64.23,63.58,63.97,5437815
2017-06-09,64.07,64.9,63.99,64.74,8361140
2017-06-12,64.32,64.6,63.73,64.01,5479453
2017-06-13,63.96,65.31,63.96,65.26,5433999
2017-06-14,65.34,65.42,64.2,64.53,5256782
2017-06-15,64.09,64.5,63.18,64.1,7279420
2017-06-16,64.65,64.75,63.84,64.39,9450605
2017-06-19,64.66,65.47,64.66,65.22,4361941
2017-06-20,65.16,65.38,64.75,65.1,7347166
2017-06-21,65.1,65.21,63.52,63.68,5986456
2017-06-22,63.72,64.13,63.57,63.83,4785283
2017-06-23,63.84,64.0,63.29,63.47,7179786
2017-06-26,63.54,63.96,63.3,63.57,4589070
2017-06-27,63.66,63.74,62.99,63.09,5266307
2017-06-28,63.42,63.56,63.06,63.25,5115790
2017-06-29,63.28,63.93,62.5,62.71,4435883
2017-06-30,62.88,63.44,62.6,63.07,6708058
2017-07-03,63.42,64.24,63.31,63.94,3014103
2017-07-05,64.0,64.1,63.04,63.42,3851986
2017-07-06,63.28,63.95,62.84,63.56,3368502
2017-07-07,63.61,63.98,63.26,63.89,3295464
2017-07-10,63.64,64.84,63.54,64.52,3595947
2017-07-11,64.58,64.61,63.92,64.55,3297940
2017-07-12,64.91,66.42,64.72,66.28,6834900
2017-07-13,66.26,66.48,65.45,65.61,4848703
