Date,Open,High,Low,Close,Volume
2017-01-03,73.2,73.23,71.19,72.06,2143848
2017-01-04,72.15,72.76,71.82,72.09,1907504
2017-01-05,72.96,72.96,71.68,72.33,1840435
2017-01-06,72.09,72.36,71.34,71.55,2240037
2017-01-09,71.49,72.0,71.02,71.56,1466456
2017-01-10,71.66,72.63,71.55,72.25,2029464
2017-01-11,72.04,73.09,72.04,72.89,1952067
2017-01-12,72.87,74.06,72.68,73.81,2122233
2017-01-13,73.68,73.83,72.9,73.37,1410282
2017-01-17,73.14,74.05,72.73,72.88,1331562
2017-01-18,73.26,73.26,72.43,73.16,852380
2017-01-19,72.92,73.29,72.36,72.59,1139962
2017-01-20,72.74,73.66,72.62,73.44,1224471
2017-01-23,73.38,73.44,72.44,73.0,1436192
2017-01-24,73.22,73.82,73.06,73.67,1137923
2017-01-25,72.96,73.7,72.5,73.57,1435871
2017-01-26,73.76,74.46,73.4,73.55,749560
2017-01-27,73.68,73.82,72.7,73.56,1101000
2017-01-30,74.04,74.04,73.02,73.82,1139354
2017-01-31,73.96,74.09,72.79,73.28,1132516
2017-02-01,73.26,73.69,71.73,72.18,1898914
2017-02-02,72.08,72.35,71.43,71.63,1708965
2017-02-03,72.97,73.18,71.62,71.82,1681937
2017-02-06,71.8,72.96,71.68,72.33,2188276
2017-02-07,72.4,73.23,71.81,71.85,1264335
2017-02-08,71.7,73.51,71.7,73.44,982847
2017-02-09,73.46,75.22,73.18,75.07,1592876
2017-02-10,75.33,76.76,75.32,76.28,1690597
2017-02-13,76.42,76.71,76.02,76.08,1156008
2017-02-14,75.4,76.25,74.85,76.24,1057107
2017-02-15,76.06,76.3,75.27,75.74,1395078
2017-02-16,75.99,76.3,75.44,75.8,658407
2017-02-17,75.7,76.75,75.61,76.73,1195862
2017-02-21,76.54,77.11,76.44,76.7,1269537
2017-02-22,75.92,76.15,74.88,75.42,1472238
2017-02-23,75.51,76.06,75.21,75.46,1089027
2017-02-24,75.02,75.66,74.62,75.46,1160021
2017-02-27,75.51,75.65,74.31,74.53,1411108
2017-02-28,74.65,75.02,74.34,74.68,1602525
2017-03-01,75.43,75.48,74.73,74.89,930116
2017-03-02,74.85,75.55,74.61,75.47,1065730
2017-03-03,75.4,75.44,74.49,75.11,696579
2017-03-06,74.97,75.23,74.21,74.68,1118350
2017-03-07,74.79,74.79,74.11,74.51,1329773
2017-03-08,74.57,75.54,74.52,75.18,1219055
2017-03-09,75.07,75.59,74.88,75.22,778100
2017-03-10,75.16,75.8,73.83,74.16,2159743
2017-03-13,74.36,74.55,73.81,74.45,1863357
2017-03-14,74.59,74.75,74.01,74.61,1026435
2017-03-15,74.55,75.92,74.31,75.83,1400030
2017-03-16,75.84,76.12,75.24,75.4,956474
2017-03-17,75.77,77.07,75.54,76.66,2140540
2017-03-20,76.69,77.1,76.34,76.86,932309
2017-03-21,77.0,77.4,76.46,76.6,1381165
2017-03-22,76.54,77.16,76.31,77.0,1370126
2017-03-23,77.08,77.53,76.58,76.64,1222176
2017-03-24,76.66,77.16,76.46,76.71,1242647
2017-03-27,76.06,76.54,75.2,75.58,2614312
2017-03-28,78.98,82.82,78.91,82.62,10815960
2017-03-29,81.95,83.1,81.58,82.57,3739444
2017-03-30,82.3,83.03,82.03,82.83,1825390
2017-03-31,82.83,84.12,82.51,83.67,3256635
2017-04-03,83.64,83.79,82.85,83.21,2064681
2017-04-04,83.11,84.43,82.67,83.98,2184767
2017-04-05,84.15,84.55,82.7,82.88,1589233
2017-04-06,82.71,83.62,82.38,83.38,1616466
2017-04-07,83.21,83.47,82.68,82.84,1528996
2017-04-10,82.98,83.3,82.63,82.7,1048129
2017-04-11,82.79,83.01,82.36,82.94,1026287
2017-04-12,83.03,83.18,82.06,82.49,1601081
2017-04-13,82.41,82.83,81.87,81.97,952590
2017-04-17,82.4,82.65,82.06,82.64,1169591
2017-04-18,82.58,83.28,82.43,82.72,825391
2017-04-19,83.21,83.45,82.58,83.04,1037742
2017-04-20,83.36,84.07,82.91,84.05,1284129
2017-04-21,84.1,84.43,83.38,84.16,1182548
2017-04-24,84.95,85.76,84.47,85.18,1901385
2017-04-25,85.18,85.73,84.76,85.55,1808983
2017-04-26,85.53,86.44,85.27,86.05,2664999
2017-04-27,86.18,86.44,85.54,85.96,1813729
2017-04-28,85.99,85.99,85.04,85.19,1906641
2017-05-01,85.42,85.82,85.08,85.63,662828
2017-05-02,86.09,87.08,85.72,86.82,1369688
2017-05-03,86.54,87.63,86.54,87.42,837071
2017-05-04,87.19,87.5,86.44,87.33,1116572
2017-05-05,87.42,87.58,86.6,87.33,1244211
2017-05-08,87.3,87.56,86.94,87.08,803952
2017-05-09,87.35,87.58,86.91,87.27,728662
2017-05-10,87.33,87.84,86.81,87.63,743193
2017-05-11,87.37,88.51,86.61,88.22,1501706
2017-05-12,88.4,89.14,88.28,88.31,1347916
2017-05-15,88.34,88.83,88.0,88.4,1235111
2017-05-16,88.23,88.23,85.69,85.96,2655623
2017-05-17,85.68,86.19,85.27,85.53,1128235
2017-05-18,85.64,86.63,85.15,86.45,1042598
2017-05-19,86.49,87.22,86.4,86.96,816132
2017-05-22,87.28,87.75,87.0,87.4,964966
2017-05-23,87.56,87.56,86.15,86.64,819177
2017-05-24,86.9,87.36,86.52,87.21,1026715
2017-05-25,86.89,88.42,86.36,88.1,960423
2017-05-26,88.1,88.34,87.66,87.95,708442
2017-05-30,87.8,87.9,87.27,87.49,817662
2017-05-31,87.57,88.95,86.82,88.93,2049953
2017-06-01,89.0,90.09,88.63,90.09,1273510
2017-06-02,90.29,91.75,90.16,91.3,1104307
