Date,Open,High,Low,Close,Volume
2017-01-03,118.59,119.3,118.12,118.76,766836
2017-01-04,118.68,119.4,118.13,119.34,894829
2017-01-05,119.54,120.45,119.1,119.98,553013
2017-01-06,119.98,121.03,119.4,121.0,576472
2017-01-09,121.0,121.61,119.79,119.84,759556
2017-01-10,119.73,120.42,119.0,120.04,592872
2017-01-11,120.15,120.6,119.1,120.52,560086
2017-01-12,120.26,120.96,119.17,120.86,508580
2017-01-13,120.72,121.06,119.69,120.31,432930
2017-01-17,120.01,121.72,119.58,120.66,544268
2017-01-18,120.07,120.38,118.18,120.26,984777
2017-01-19,120.13,120.87,119.78,120.18,810412
2017-01-20,119.8,120.09,116.69,118.08,1508714
2017-01-23,117.77,118.29,117.52,118.18,593538
2017-01-24,118.22,118.87,117.46,118.87,676018
2017-01-25,119.11,119.67,118.3,118.63,1260295
2017-01-26,118.36,119.32,117.63,117.84,508914
2017-01-27,118.26,118.38,117.02,118.09,822147
2017-01-30,118.14,118.14,116.79,117.34,521760
2017-01-31,117.54,117.97,116.51,117.28,663951
2017-02-01,117.69,117.92,116.31,117.21,825903
2017-02-02,116.64,118.09,116.38,118.05,679706
2017-02-03,118.43,120.46,118.43,120.35,563053
2017-02-06,120.18,120.74,119.34,120.53,1197827
2017-02-07,120.55,121.32,119.76,121.14,701627
2017-02-08,121.14,122.62,120.41,121.99,946019
2017-02-09,124.25,128.37,123.24,128.13,1803806
2017-02-10,128.0,132.69,127.75,130.56,2566929
2017-02-13,130.85,131.31,129.98,130.12,896633
2017-02-14,129.45,130.84,129.26,130.32,709584
2017-02-15,129.26,130.58,128.32,130.06,612570
2017-02-16,130.1,130.65,128.78,129.93,674906
2017-02-17,129.63,130.18,129.19,130.14,581463
2017-02-21,129.84,130.48,128.93,129.36,1113712
2017-02-22,128.94,129.74,128.86,129.06,1124425
2017-02-23,129.77,130.03,128.68,129.22,765579
2017-02-24,129.22,129.38,127.94,129.38,819623
2017-02-27,129.58,130.99,129.19,130.81,866809
2017-02-28,131.03,131.64,130.36,131.11,1300320
2017-03-01,132.25,133.38,131.49,133.18,892482
2017-03-02,132.72,133.4,132.04,132.91,735383
2017-03-03,133.09,133.2,131.81,132.8,550601
2017-03-06,132.19,132.59,131.25,132.06,737671
2017-03-07,131.78,132.02,131.1,131.37,560855
2017-03-08,131.48,132.34,130.9,131.81,715146
2017-03-09,131.86,132.56,131.44,132.55,386671
2017-03-10,133.16,133.35,132.38,133.26,577563
2017-03-13,133.38,133.6,132.64,133.38,542841
2017-03-14,132.88,134.0,132.54,133.49,640045
2017-03-15,133.62,135.51,133.3,135.19,612595
2017-03-16,135.25,136.1,134.79,135.04,871649
2017-03-17,134.93,136.17,134.79,136.12,855033
2017-03-20,136.36,136.36,135.11,135.7,502531
2017-03-21,135.79,135.92,133.94,135.1,1667407
2017-03-22,135.55,137.76,135.06,136.98,1180479
2017-03-23,136.98,137.42,135.3,135.64,600105
2017-03-24,135.73,136.96,135.36,135.93,335040
2017-03-27,134.96,136.2,134.04,135.55,355681
2017-03-28,135.3,136.89,134.85,136.29,458340
2017-03-29,135.76,136.14,134.67,135.68,685973
2017-03-30,135.94,136.59,135.24,136.56,1054308
2017-03-31,136.22,137.38,135.76,136.74,620729
2017-04-03,136.65,136.98,135.05,136.1,725337
2017-04-04,135.99,136.36,135.06,135.81,391781
2017-04-05,136.0,137.94,135.82,136.4,868223
2017-04-06,136.24,136.43,135.07,136.07,307820
2017-04-07,135.87,136.55,135.26,136.22,409855
2017-04-10,136.21,136.67,135.37,135.59,496522
2017-04-11,135.37,135.74,134.71,135.74,405226
2017-04-12,135.06,135.75,134.78,135.31,389139
2017-04-13,135.12,136.3,134.75,134.86,327364
2017-04-17,135.38,137.03,134.76,137.03,380052
2017-04-18,136.85,137.82,136.85,137.29,539374
2017-04-19,137.27,137.76,136.38,136.4,565179
2017-04-20,136.56,137.71,136.25,137.31,493795
2017-04-21,137.49,137.96,136.94,137.33,482265
2017-04-24,138.15,139.36,137.77,139.24,668884
2017-04-25,139.44,139.87,138.94,139.47,575298
2017-04-26,139.34,139.89,138.46,138.74,625122
2017-04-27,133.0,137.2,131.62,136.19,1593899
2017-04-28,135.37,136.54,134.18,135.31,1177889
2017-05-01,135.99,136.16,134.44,135.0,946358
2017-05-02,135.09,136.48,134.75,136.48,656953
2017-05-03,136.2,136.73,135.88,136.08,589189
2017-05-04,136.05,137.05,136.0,136.86,507958
