Date,Open,High,Low,Close,Volume
2016-01-04,27.48,28.0,27.33,27.97,7306997
2016-01-05,27.88,28.19,27.42,28.16,5588420
2016-01-06,27.89,28.28,27.76,28.19,6714469
2016-01-07,27.82,28.19,27.67,27.84,5509685
2016-01-08,27.9,27.98,27.44,27.82,7965873
2016-01-11,27.95,28.36,27.82,28.06,8189794
2016-01-12,28.18,28.18,27.57,27.94,6827673
2016-01-13,27.96,28.16,27.35,27.54,8009974
2016-01-14,27.53,28.1,27.18,27.91,9385579
2016-01-15,27.36,27.97,26.96,27.46,10219288
2016-01-19,27.63,27.93,27.46,27.64,8848398
2016-01-20,27.41,27.45,26.26,26.78,10692463
2016-01-21,26.88,27.53,26.58,27.42,9040001
2016-01-22,27.51,28.09,27.46,28.03,7102440
2016-01-25,28.0,28.1,27.14,27.16,8421167
2016-01-26,27.24,28.0,27.22,27.84,6930017
2016-01-27,27.97,28.42,27.64,28.05,6068930
2016-01-28,28.06,28.94,27.85,28.71,6801607
2016-01-29,29.0,29.67,28.96,29.57,11076235
2016-02-01,29.4,30.11,29.26,30.0,9483370
2016-02-02,29.7,30.16,29.41,30.14,9856402
2016-02-03,30.24,31.73,30.15,31.61,15096762
2016-02-04,31.66,32.42,31.61,32.25,14189392
2016-02-05,32.46,32.95,32.04,32.9,10924521
2016-02-08,32.76,33.12,32.11,32.36,9714632
2016-02-09,32.11,32.4,31.77,31.94,8538309
2016-02-10,31.0,31.42,30.55,31.12,11042993
2016-02-11,30.78,31.08,30.0,30.31,9941622
2016-02-12,30.3,30.62,29.98,30.46,8489703
2016-02-16,30.79,31.14,30.45,31.02,9218484
2016-02-17,31.13,31.28,30.74,31.09,7474366
2016-02-18,31.1,31.64,31.06,31.45,7686719
2016-02-19,31.32,31.36,30.94,31.24,7152059
2016-02-22,31.49,31.73,31.22,31.69,6905073
2016-02-23,31.09,31.62,31.0,31.19,8671450
2016-02-24,31.2,31.85,31.08,31.75,7773821
2016-02-25,31.74,31.98,31.56,31.98,6092633
2016-02-26,31.86,32.14,31.16,31.73,12898849
2016-02-29,31.73,32.14,31.45,31.49,9691662
