Date,Open,High,Low,Close,Volume
2017-01-03,145.65,145.87,143.76,144.8,521546
2017-01-04,144.91,146.72,144.29,145.46,459822
2017-01-05,145.13,146.98,143.92,144.42,500949
2017-01-06,144.29,145.37,143.88,144.45,461519
2017-01-09,144.01,144.29,142.07,144.15,814092
2017-01-10,144.63,145.0,143.98,144.24,523282
2017-01-11,144.0,144.99,143.5,144.03,465498
2017-01-12,143.82,144.67,141.8,142.99,425478
2017-01-13,143.56,144.68,142.74,143.37,451617
2017-01-17,142.87,143.5,140.75,141.63,718626
2017-01-18,141.5,143.23,141.45,142.84,659883
2017-01-19,143.17,144.19,141.92,142.54,589449
2017-01-20,142.97,143.39,141.88,142.1,434368
2017-01-23,142.08,142.85,140.28,141.14,669711
2017-01-24,141.54,144.61,141.28,144.15,594677
2017-01-25,144.96,145.89,143.27,145.75,1222744
2017-01-26,139.3,139.87,132.58,133.72,2725193
2017-01-27,133.28,138.27,133.28,135.54,1342655
2017-01-30,135.06,135.58,133.75,134.69,838859
2017-01-31,132.6,135.49,132.51,134.03,985482
2017-02-01,134.07,134.09,131.54,132.34,1292752
2017-02-02,130.8,134.79,130.61,134.45,1159597
2017-02-03,134.4,136.52,134.4,136.23,969780
2017-02-06,135.54,136.99,135.01,136.68,959985
2017-02-07,137.0,138.59,136.78,138.57,782365
2017-02-08,138.13,139.49,137.86,138.88,734873
2017-02-09,139.14,140.69,139.14,139.73,714488
2017-02-10,140.0,140.25,139.01,139.69,574195
2017-02-13,140.09,141.88,139.45,140.47,1021827
2017-02-14,140.43,141.22,140.18,141.1,580652
2017-02-15,141.3,143.57,140.68,143.13,870111
2017-02-16,143.34,143.78,141.66,143.24,463348
2017-02-17,142.87,143.63,141.93,143.35,512244
2017-02-21,143.31,145.55,142.3,145.05,487289
2017-02-22,144.66,145.38,143.91,144.84,623503
2017-02-23,144.94,145.05,143.24,144.2,426212
2017-02-24,143.73,144.58,143.19,144.41,636340
2017-02-27,144.46,144.66,143.09,143.61,420531
2017-02-28,143.27,143.67,142.33,143.27,589674
2017-03-01,144.01,145.98,143.31,145.08,527538
2017-03-02,144.79,144.79,142.04,142.1,459340
2017-03-03,142.5,143.06,140.4,142.87,772557
2017-03-06,142.66,142.66,141.28,141.34,557132
2017-03-07,141.09,143.93,140.5,143.6,663145
2017-03-08,143.46,143.77,142.24,142.88,569450
2017-03-09,143.11,144.1,142.12,143.76,454269
2017-03-10,144.58,145.98,144.0,145.93,556531
2017-03-13,146.0,146.99,144.71,146.29,744148
2017-03-14,145.56,145.73,144.2,145.13,334809
2017-03-15,145.73,147.02,144.75,146.48,423170
2017-03-16,146.4,148.0,145.96,147.82,611112
2017-03-17,147.91,149.11,147.38,148.79,660992
2017-03-20,148.66,149.5,147.74,148.75,490672
2017-03-21,149.32,149.44,145.57,145.77,630397
2017-03-22,145.94,146.6,145.03,145.69,600222
2017-03-23,145.48,148.2,145.05,146.55,662531
2017-03-24,146.96,148.19,145.57,146.57,389457
2017-03-27,145.64,147.09,144.16,146.52,617654
2017-03-28,146.5,147.54,145.0,147.13,397033
2017-03-29,141.19,143.5,140.63,142.1,1488742
2017-03-30,141.72,142.9,141.56,142.48,507910
2017-03-31,142.66,143.05,141.94,142.57,592317
2017-04-03,142.73,142.92,139.86,141.02,682617
2017-04-04,140.98,141.57,139.12,139.43,701320
2017-04-05,139.89,141.15,137.76,138.09,889302
2017-04-06,138.3,139.15,137.19,138.3,854788
2017-04-07,137.9,138.06,136.97,137.03,633529
2017-04-10,137.37,137.84,136.28,136.86,613689
2017-04-11,136.88,137.25,135.7,136.68,828304
2017-04-12,137.24,137.28,134.73,134.88,947725
2017-04-13,135.07,136.41,134.3,134.43,989587
2017-04-17,134.98,136.35,134.43,135.98,733934
2017-04-18,135.79,136.34,135.08,135.43,707441
2017-04-19,135.61,136.73,135.58,135.93,887512
2017-04-20,136.62,137.21,136.03,136.87,1227319
2017-04-21,136.79,137.1,136.13,136.54,811794
2017-04-24,137.92,138.54,136.93,137.93,999605
2017-04-25,137.52,139.34,137.51,138.19,1056075
2017-04-26,138.68,139.09,137.3,137.3,1433788
2017-04-27,126.01,130.05,125.3,126.99,3780003
2017-04-28,126.96,129.68,126.68,129.13,1684245
2017-05-01,128.91,130.3,127.11,127.4,1277448
2017-05-02,126.15,127.68,125.6,127.5,1151535
2017-05-03,126.67,127.79,126.29,126.99,977805
2017-05-04,127.12,127.7,125.97,126.42,1130272
2017-05-05,126.99,128.72,126.63,128.57,1109339
2017-05-08,128.58,129.84,128.09,129.76,1222233
2017-05-09,129.98,131.49,129.52,130.84,1022485
2017-05-10,130.59,131.67,129.46,131.6,1251676
2017-05-11,131.14,131.48,129.64,129.94,977464
2017-05-12,129.63,130.25,129.08,129.16,899018
2017-05-15,129.64,131.78,129.38,131.72,1065217
2017-05-16,131.46,131.93,130.23,131.38,782459
2017-05-17,129.9,130.62,127.71,127.87,1082749
2017-05-18,126.89,128.02,124.27,125.9,1271062
2017-05-19,126.44,127.51,126.38,127.15,655583
2017-05-22,127.54,129.22,127.25,128.55,662070
2017-05-23,128.61,128.81,124.94,125.99,740931
2017-05-24,126.27,126.92,125.53,126.85,717142
2017-05-25,127.0,127.85,126.42,127.58,377124
2017-05-26,127.4,127.4,126.4,127.16,354104
2017-05-30,127.02,129.08,126.82,128.0,489480
2017-05-31,128.56,129.0,126.48,128.13,1106113
2017-06-01,128.85,130.09,128.58,130.09,721461
2017-06-02,129.84,130.39,129.06,129.31,509525
2017-06-05,129.01,130.34,128.82,129.66,580872
2017-06-06,129.35,129.94,128.8,129.52,618032
2017-06-07,129.44,129.9,126.92,127.97,879899
2017-06-08,128.24,130.99,127.7,130.83,687573
2017-06-09,130.97,131.69,128.09,129.3,675191
2017-06-12,128.19,128.94,126.98,128.68,795374
2017-06-13,128.58,130.52,128.58,130.14,553982
2017-06-14,130.74,132.2,129.03,129.78,702726
2017-06-15,129.13,130.36,128.43,129.35,574691
2017-06-16,129.76,130.19,128.0,129.19,845071
2017-06-19,129.84,131.07,129.59,130.63,687266
2017-06-20,130.73,131.21,128.73,128.85,590674
2017-06-21,129.29,129.94,128.53,128.99,519745
2017-06-22,129.19,129.34,127.94,128.95,488380
2017-06-23,129.61,130.65,129.1,129.99,883094
2017-06-26,130.4,130.49,128.86,129.04,325329
2017-06-27,128.69,129.47,127.74,127.8,711695
2017-06-28,128.67,129.6,127.93,128.95,602045
2017-06-29,128.76,128.8,125.96,127.32,655834
2017-06-30,127.85,127.85,126.39,127.06,683192
2017-07-03,127.75,129.32,127.08,127.81,284505
2017-07-05,128.31,129.32,127.48,128.91,468639
2017-07-06,128.19,128.76,126.75,127.15,714213
2017-07-07,127.97,129.1,127.15,127.63,612007
2017-07-10,127.26,128.31,127.0,127.88,500078
2017-07-11,128.09,128.76,127.07,128.65,634695
2017-07-12,129.42,129.76,128.31,129.35,953218
2017-07-13,129.55,130.0,127.09,128.29,842003
