Date,Open,High,Low,Close,Volume
2017-01-03,36.42,36.46,35.92,36.09,467657
2017-01-04,36.08,36.66,36.08,36.6,612544
2017-01-05,36.65,36.86,36.24,36.41,807625
2017-01-06,36.38,36.63,35.89,35.92,599771
2017-01-09,35.92,36.15,35.54,35.62,626876
2017-01-10,35.69,36.1,35.58,35.77,417134
2017-01-11,35.78,36.15,35.67,35.79,328559
2017-01-12,35.61,35.98,35.18,35.49,681793
2017-01-13,35.63,35.94,35.55,35.64,533085
2017-01-17,35.45,35.67,35.05,35.25,620301
2017-01-18,35.37,35.42,35.1,35.4,550368
2017-01-19,35.22,35.58,34.97,35.04,514355
2017-01-20,35.18,35.18,34.63,34.69,1081781
2017-01-23,34.57,34.85,34.42,34.6,777886
2017-01-24,34.56,34.89,34.47,34.7,759788
2017-01-25,34.76,35.35,34.67,35.2,1196217
2017-01-26,35.12,35.74,35.03,35.66,643312
2017-01-27,35.79,35.96,35.47,35.5,406524
2017-01-30,35.33,35.41,34.82,35.39,511132
2017-01-31,35.33,35.36,34.99,35.33,644076
2017-02-01,35.52,35.62,35.07,35.42,453257
2017-02-02,35.26,35.77,35.19,35.76,517948
2017-02-03,36.0,36.39,35.72,36.34,649096
2017-02-06,36.37,36.44,36.06,36.08,669615
2017-02-07,36.22,36.27,35.57,35.66,585567
2017-02-08,35.67,35.82,35.5,35.71,507262
2017-02-09,35.79,36.42,35.65,36.09,363778
2017-02-10,36.16,36.31,35.96,36.15,586297
2017-02-13,36.3,36.76,36.16,36.4,982875
2017-02-14,36.04,37.22,33.75,34.15,3548158
2017-02-15,34.56,37.14,34.36,36.93,2898442
2017-02-16,36.76,37.0,36.25,36.4,1247381
2017-02-17,36.45,36.82,36.22,36.62,1137429
2017-02-21,36.82,36.95,36.5,36.76,814169
2017-02-22,36.67,36.83,36.42,36.68,645223
2017-02-23,36.47,36.67,36.14,36.41,969447
2017-02-24,36.32,36.74,36.26,36.72,750624
2017-02-27,36.79,36.87,36.49,36.62,497217
2017-02-28,36.64,36.99,36.26,36.71,935761
2017-03-01,37.04,37.44,36.95,37.05,943634
2017-03-02,37.15,37.33,36.53,36.6,484458
2017-03-03,36.55,36.7,36.29,36.44,985901
2017-03-06,36.33,36.75,36.24,36.5,663715
2017-03-07,37.09,37.09,36.36,36.5,588854
2017-03-08,36.48,36.62,36.23,36.26,699216
2017-03-09,36.41,36.66,36.32,36.44,607856
2017-03-10,36.44,36.78,36.08,36.2,576120
2017-03-13,36.24,36.42,36.06,36.41,672360
2017-03-14,36.31,36.41,35.88,36.39,559218
2017-03-15,36.5,36.83,36.26,36.7,455211
2017-03-16,36.7,36.96,36.52,36.59,357194
2017-03-17,36.62,36.91,36.4,36.74,943165
2017-03-20,36.77,36.82,36.47,36.59,324677
2017-03-21,36.63,36.88,35.88,35.95,597808
2017-03-22,36.08,36.12,35.62,36.03,426751
2017-03-23,35.94,36.41,35.9,36.3,617070
2017-03-24,36.56,36.71,35.9,36.06,311433
2017-03-27,35.71,35.91,35.51,35.83,306252
2017-03-28,35.81,36.38,35.51,36.3,461368
2017-03-29,36.15,36.27,35.89,36.16,262774
2017-03-30,36.16,36.63,36.16,36.58,383617
2017-03-31,36.45,36.48,36.25,36.28,483575
2017-04-03,36.31,36.4,35.53,35.6,1262207
2017-04-04,35.64,36.15,35.59,35.82,833844
2017-04-05,35.92,36.1,35.25,35.37,862336
2017-04-06,35.25,35.8,34.9,35.73,781759
2017-04-07,35.67,35.88,35.52,35.75,510869
2017-04-10,35.78,36.03,35.48,35.55,574350
2017-04-11,35.44,35.82,35.3,35.66,1277134
2017-04-12,35.64,35.85,35.23,35.31,530072
2017-04-13,35.29,35.4,34.92,34.97,386523
2017-04-17,35.13,35.22,34.93,35.16,381971
2017-04-18,35.1,35.45,35.03,35.42,441956
2017-04-19,35.57,36.02,35.57,35.84,580408
2017-04-20,36.03,36.56,35.86,36.43,621220
2017-04-21,36.39,36.58,36.2,36.37,700028
2017-04-24,36.85,37.34,36.62,37.24,566966
2017-04-25,37.5,37.74,37.28,37.51,700995
2017-04-26,34.11,37.47,34.11,36.75,2633196
2017-04-27,36.88,37.18,36.4,36.7,696525
2017-04-28,36.58,36.8,36.42,36.73,1089309
2017-05-01,36.76,37.05,36.38,36.98,657371
2017-05-02,36.9,37.26,36.55,37.22,630403
2017-05-03,36.99,37.16,36.78,37.07,578221
2017-05-04,37.21,37.31,36.82,36.91,479221
2017-05-05,36.97,37.1,36.51,36.95,770840
2017-05-08,36.89,37.13,36.8,36.86,643999
2017-05-09,36.8,37.3,36.8,37.08,1062604
2017-05-10,37.11,37.53,36.93,37.44,985466
2017-05-11,37.45,37.5,37.07,37.4,671354
2017-05-12,37.25,37.63,37.24,37.49,587072
2017-05-15,37.52,37.78,37.35,37.44,716814
2017-05-16,37.56,37.89,37.38,37.82,907932
2017-05-17,37.56,37.79,37.22,37.3,742715
2017-05-18,37.22,37.56,37.06,37.35,693569
2017-05-19,37.52,37.57,37.02,37.07,1157867
2017-05-22,37.2,37.26,36.7,36.75,763200
2017-05-23,36.93,37.2,36.63,36.8,908926
2017-05-24,36.72,37.1,36.65,36.83,614798
2017-05-25,36.91,37.04,36.77,36.92,647086
2017-05-26,36.53,37.12,36.39,37.05,1009847
2017-05-30,37.09,37.87,37.08,37.77,850062
2017-05-31,37.75,38.24,37.74,37.89,912695
2017-06-01,38.03,38.94,37.74,38.94,879557
2017-06-02,38.93,38.94,38.51,38.69,983115
2017-06-05,38.74,38.74,38.11,38.15,861064
2017-06-06,37.81,38.07,37.51,37.53,1193081
2017-06-07,37.72,37.79,37.22,37.35,632561
2017-06-08,37.37,37.52,37.14,37.35,912612
2017-06-09,37.3,37.43,36.46,36.85,1100179
2017-06-12,36.81,36.89,35.77,36.14,1478564
2017-06-13,36.12,36.3,35.73,35.96,1883484
2017-06-14,35.97,36.22,35.7,35.99,1069119
2017-06-15,35.84,35.98,35.56,35.68,826183
2017-06-16,35.68,35.72,35.28,35.44,1258364
2017-06-19,35.55,35.69,35.48,35.66,1670522
2017-06-20,35.52,35.82,35.52,35.55,758075
2017-06-21,35.61,35.73,35.27,35.31,699276
2017-06-22,35.21,35.37,34.95,35.24,1137171
2017-06-23,35.3,35.48,34.45,35.03,3009711
2017-06-26,35.21,35.41,35.11,35.17,1682604
2017-06-27,35.15,35.27,34.95,34.97,757255
2017-06-28,35.09,35.18,34.92,34.97,822002
2017-06-29,35.08,35.2,34.52,34.74,639309
2017-06-30,34.9,35.06,34.45,34.66,1360423
2017-07-03,35.01,35.11,34.56,34.58,513878
2017-07-05,34.67,34.76,33.97,34.28,1385523
