Date,Open,High,Low,Close,Volume
2017-01-03,53.89,54.18,52.99,53.73,1615079
2017-01-04,54.12,54.53,53.97,54.25,1487117
2017-01-05,54.33,54.7,53.71,53.94,1429980
2017-01-06,53.9,54.2,53.39,53.87,1260009
2017-01-09,54.02,54.2,53.59,53.73,743335
2017-01-10,53.73,54.08,53.48,53.8,1311612
2017-01-11,53.78,53.88,53.26,53.66,3691727
2017-01-12,53.47,53.89,53.36,53.67,2030174
2017-01-13,54.4,55.16,54.4,54.76,1439364
2017-01-17,54.44,54.53,53.67,54.13,1235536
2017-01-18,54.11,54.4,53.85,54.14,1346076
2017-01-19,54.23,54.68,54.0,54.27,821079
2017-01-20,54.42,54.68,54.21,54.52,1822897
2017-01-23,54.32,54.81,53.59,54.11,1372830
2017-01-24,54.31,54.99,54.09,54.7,1710517
2017-01-25,54.94,55.34,54.7,55.17,1755924
2017-01-26,55.0,55.98,54.76,55.69,2298667
2017-01-27,55.73,56.0,55.55,55.93,1568686
2017-01-30,55.93,55.93,54.75,55.44,1570608
2017-01-31,55.24,55.54,54.91,55.31,1792769
2017-02-01,55.47,55.65,54.8,55.13,1159728
2017-02-02,54.8,55.5,54.5,55.21,1895180
2017-02-03,55.56,56.65,55.07,56.02,1447427
2017-02-06,55.7,55.94,55.51,55.81,879644
2017-02-07,56.0,56.12,55.56,55.64,1898017
2017-02-08,54.97,56.39,54.88,56.18,4628151
2017-02-09,56.16,57.15,56.16,57.02,1128318
2017-02-10,57.19,57.42,56.68,57.15,1251218
2017-02-13,57.46,58.04,57.38,57.53,1187793
2017-02-14,57.5,57.53,56.92,57.29,1008695
2017-02-15,57.24,57.75,57.08,57.58,1022011
2017-02-16,57.66,58.24,56.8,57.39,1120430
2017-02-17,57.41,57.72,57.13,57.69,902052
2017-02-21,57.69,58.25,57.53,58.13,1553170
2017-02-22,57.77,58.17,57.55,57.69,940437
2017-02-23,58.01,58.15,57.12,57.26,1019326
2017-02-24,57.09,57.9,56.73,57.79,1846710
2017-02-27,57.64,57.88,57.47,57.65,891555
2017-02-28,57.67,57.89,57.31,57.65,1648764
2017-03-01,58.22,59.24,58.08,58.91,1436196
2017-03-02,58.91,59.01,58.32,58.63,1943679
2017-03-03,58.61,58.88,58.37,58.73,1438432
2017-03-06,58.32,58.66,58.0,58.33,1567188
2017-03-07,58.37,58.55,58.01,58.2,1664624
2017-03-08,58.21,58.47,58.02,58.17,1290575
2017-03-09,58.08,58.47,57.83,58.02,1308068
2017-03-10,58.28,58.55,57.98,58.31,1219101
2017-03-13,58.45,58.97,58.09,58.77,1573550
2017-03-14,58.48,58.65,58.25,58.55,951031
2017-03-15,58.78,59.88,58.78,59.7,1783872
2017-03-16,59.73,59.92,59.4,59.51,1428077
2017-03-17,59.73,59.82,59.44,59.58,1929291
2017-03-20,59.6,59.85,58.96,59.0,1467799
2017-03-21,59.28,59.47,58.34,58.51,1860961
2017-03-22,58.51,58.82,58.29,58.49,1661136
2017-03-23,58.31,58.84,58.29,58.53,1054543
2017-03-24,60.18,60.18,58.94,59.31,1811179
2017-03-27,58.72,59.3,58.15,59.08,943158
2017-03-28,59.04,59.77,58.75,59.59,817860
2017-03-29,59.86,60.41,59.51,59.65,1377032
2017-03-30,59.72,59.99,59.45,59.62,1155660
2017-03-31,59.57,60.4,59.38,60.22,1220824
2017-04-03,60.16,60.65,59.54,60.13,1918021
2017-04-04,60.12,60.3,59.8,60.02,1514787
2017-04-05,60.26,60.79,60.06,60.25,1389853
2017-04-06,60.27,60.78,60.15,60.57,719920
2017-04-07,60.58,60.7,60.35,60.47,521387
2017-04-10,60.5,61.11,60.47,61.0,1224559
2017-04-11,60.66,60.97,60.41,60.77,2477402
2017-04-12,60.79,60.94,60.23,60.5,1546100
2017-04-13,60.5,60.92,60.29,60.33,1215355
2017-04-17,60.5,60.57,60.06,60.48,978281
2017-04-18,60.12,60.48,60.0,60.27,1562969
2017-04-19,60.29,60.69,59.88,60.01,1963931
2017-04-20,60.26,60.85,59.88,60.61,1502677
2017-04-21,60.59,60.7,59.97,60.01,1391290
2017-04-24,60.79,61.54,60.68,61.43,1269327
2017-04-25,61.79,62.54,61.7,62.33,1472022
2017-04-26,62.3,62.73,62.11,62.25,1303575
2017-04-27,62.24,63.01,62.07,62.32,1945756
2017-04-28,62.96,64.27,62.5,63.26,2403012
2017-05-01,63.61,63.65,62.11,62.34,1759044
2017-05-02,61.83,62.32,61.1,62.18,1505181
2017-05-03,61.95,62.72,61.78,62.67,976823
2017-05-04,62.63,63.11,62.56,62.82,819909
2017-05-05,62.86,63.16,62.48,63.14,595382
2017-05-08,63.09,63.36,62.74,62.89,1791548
2017-05-09,62.94,63.43,62.46,62.7,826693
2017-05-10,62.53,62.81,62.24,62.57,1048468
2017-05-11,62.18,62.7,62.08,62.62,591319
2017-05-12,62.44,62.53,62.0,62.18,1005133
2017-05-15,62.3,62.64,62.19,62.22,981528
2017-05-16,62.45,62.45,62.05,62.33,890119
2017-05-17,61.9,62.26,61.13,61.2,1235924
2017-05-18,60.75,61.59,60.4,61.16,1377771
2017-05-19,61.48,62.02,61.0,61.84,1868375
2017-05-22,62.09,62.5,61.9,62.4,771725
2017-05-23,62.39,62.7,62.13,62.61,769499
2017-05-24,62.74,63.22,62.63,63.08,1357925
2017-05-25,63.12,63.87,62.75,63.64,1039069
2017-05-26,63.68,63.9,63.38,63.51,1176534
2017-05-30,63.24,63.79,63.03,63.35,1775771
2017-05-31,63.42,63.56,61.8,62.45,3926649
2017-06-01,62.73,63.43,62.48,62.99,1105514
2017-06-02,62.9,63.83,62.84,63.41,1188250
2017-06-05,63.24,63.56,63.22,63.32,839559
2017-06-06,63.24,63.45,63.04,63.2,1376831
2017-06-07,63.25,63.76,63.07,63.36,786005
2017-06-08,63.41,63.75,62.81,63.7,987039
2017-06-09,64.0,64.0,62.56,63.09,1027130
2017-06-12,63.04,63.34,62.2,62.46,1138195
2017-06-13,62.68,63.29,62.43,63.27,1013791
2017-06-14,63.28,63.48,62.93,62.95,1378804
2017-06-15,62.66,63.26,62.38,63.04,1171966
2017-06-16,63.17,64.06,62.87,64.05,1676673
2017-06-19,64.31,64.83,64.19,64.79,1373614
2017-06-20,64.5,65.21,64.3,64.47,1760847
2017-06-21,64.52,64.7,64.28,64.37,1462547
2017-06-22,64.34,64.53,63.91,64.1,1044047
2017-06-23,63.95,64.16,63.67,64.1,7313010
2017-06-26,64.3,64.72,63.94,64.11,1009496
2017-06-27,63.79,64.09,63.37,63.37,697819
2017-06-28,63.79,64.55,63.6,64.41,830173
2017-06-29,64.37,64.37,62.75,62.86,1291184
2017-06-30,62.92,63.68,62.9,63.35,1176910
2017-07-03,63.65,63.73,63.19,63.33,652599
2017-07-05,63.63,63.98,63.18,63.61,892197
2017-07-06,63.4,63.78,63.22,63.33,1475693
2017-07-07,63.61,64.0,63.46,63.85,1114145
