Date,Open,High,Low,Close,Volume
2017-01-03,31.67,31.84,31.4,31.69,32149537
2017-01-04,31.75,31.83,31.62,31.7,21442858
2017-01-05,31.57,31.75,31.31,31.52,25856823
2017-01-06,31.58,31.77,31.36,31.61,22120800
2017-01-09,31.64,31.66,31.43,31.46,21262544
2017-01-10,31.46,31.62,31.37,31.37,27202526
2017-01-11,31.24,31.52,31.24,31.47,28385102
2017-01-12,31.45,31.47,31.13,31.39,29916078
2017-01-13,31.36,31.45,31.25,31.36,24323767
2017-01-17,31.17,31.45,31.16,31.27,28827307
2017-01-18,31.21,31.34,31.13,31.23,24701360
2017-01-19,31.25,31.34,31.05,31.21,37697856
2017-01-20,30.76,30.9,30.3,30.53,83552728
2017-01-23,30.5,30.51,29.58,29.75,59093385
2017-01-24,29.86,30.06,29.82,30.0,33686501
2017-01-25,30.42,30.47,30.22,30.37,38131702
2017-01-26,30.44,30.49,30.13,30.32,26767132
2017-01-27,30.4,30.44,29.94,30.01,30005629
2017-01-30,29.96,30.1,29.77,29.96,26211790
2017-01-31,29.85,29.9,29.5,29.7,38703422
2017-02-01,29.73,29.81,29.56,29.69,25682267
2017-02-02,29.58,29.71,29.5,29.68,21709543
2017-02-03,29.79,29.8,29.54,29.7,31104310
2017-02-06,29.68,29.75,29.57,29.66,23725085
2017-02-07,29.75,29.81,29.53,29.56,23778270
2017-02-08,29.51,29.54,29.26,29.43,32181440
2017-02-09,29.52,29.7,29.46,29.59,21665972
2017-02-10,29.74,29.75,29.55,29.72,22787056
2017-02-13,29.88,30.06,29.73,30.04,37020015
2017-02-14,30.13,30.28,29.92,30.28,35028334
2017-02-15,30.29,30.35,30.18,30.35,25472282
2017-02-16,30.35,30.47,30.3,30.45,25932515
2017-02-17,30.41,30.44,30.2,30.37,21849428
2017-02-21,30.41,30.59,30.34,30.52,30241033
2017-02-22,30.52,30.55,30.26,30.33,30124503
2017-02-23,30.04,30.08,29.85,30.02,28947909
2017-02-24,29.84,30.19,29.78,30.19,27323723
2017-02-27,30.05,30.15,29.9,29.94,23571756
2017-02-28,29.99,30.08,29.67,29.81,39111913
2017-03-01,29.98,30.35,29.82,30.19,36882966
2017-03-02,30.23,30.23,30.0,30.19,27640415
2017-03-03,30.19,30.22,30.05,30.12,19994647
2017-03-06,30.0,30.08,29.92,30.0,23420603
2017-03-07,29.93,29.98,29.79,29.86,29982940
2017-03-08,29.89,29.94,29.73,29.8,32308399
