Date,Open,High,Low,Close,Volume
2017-01-03,69.98,70.95,69.04,70.5,1640316
2017-01-04,70.69,73.13,70.44,73.13,1769728
2017-01-05,72.77,73.94,72.77,73.42,1741394
2017-01-06,73.55,74.61,73.22,74.45,1581759
2017-01-09,78.4,80.88,78.06,79.79,3860222
2017-01-10,80.26,80.45,77.86,77.88,2196731
2017-01-11,77.33,78.41,77.21,78.23,1330386
2017-01-12,77.81,77.96,76.72,77.6,1660258
2017-01-13,77.47,78.08,77.24,77.74,1104723
2017-01-17,77.35,78.13,77.18,78.04,1204644
2017-01-18,78.28,79.36,78.14,78.62,1759755
2017-01-19,79.16,79.62,78.75,79.39,2011880
2017-01-20,79.47,79.84,78.76,79.08,1443011
2017-01-23,78.87,79.07,77.81,78.39,1192616
2017-01-24,78.39,79.1,78.24,79.03,953891
2017-01-25,79.28,79.54,77.96,78.28,1260327
2017-01-26,77.7,78.03,76.71,76.8,1292707
2017-01-27,77.58,77.98,76.86,77.44,1222922
2017-01-30,77.1,77.89,75.88,77.81,1287628
2017-01-31,77.71,77.71,76.65,77.28,790482
2017-02-01,77.59,77.85,76.44,77.05,1188644
2017-02-02,76.63,77.1,76.03,76.72,1062590
2017-02-03,77.29,79.29,77.14,78.6,2023552
2017-02-06,78.05,78.5,77.62,78.18,931449
2017-02-07,78.13,79.38,77.85,78.7,1376188
2017-02-08,78.54,79.78,78.06,79.07,1002529
2017-02-09,79.0,79.33,78.11,78.62,1103478
2017-02-10,78.47,78.99,78.25,78.47,947608
2017-02-13,78.83,78.9,78.22,78.22,767731
2017-02-14,78.15,79.3,77.97,79.21,858097
2017-02-15,78.8,79.03,78.35,78.96,647138
2017-02-16,78.9,79.03,77.51,77.67,821990
2017-02-17,77.6,77.97,76.88,77.95,1752237
2017-02-21,78.03,79.08,78.03,78.85,903326
2017-02-22,78.78,79.3,78.29,78.7,920934
2017-02-23,79.09,79.09,77.6,78.21,1291531
2017-02-24,77.98,78.97,77.38,78.97,1145785
2017-02-27,79.21,80.0,79.13,79.9,1463900
2017-02-28,79.6,80.42,79.15,79.69,1982851
2017-03-01,80.42,81.0,79.32,79.45,2212690
2017-03-02,79.22,79.27,78.07,78.27,1257690
2017-03-03,78.33,80.96,78.26,80.61,2220672
2017-03-06,80.36,80.51,79.18,80.21,1364222
2017-03-07,80.08,81.56,79.91,80.89,1773814
2017-03-08,80.9,81.26,80.23,80.27,1165037
2017-03-09,80.29,80.65,79.19,79.67,937054
2017-03-10,79.75,80.28,78.79,79.14,1306907
2017-03-13,79.05,79.78,78.88,79.67,734283
2017-03-14,79.63,80.0,78.8,79.07,597419
2017-03-15,79.33,79.33,78.15,78.73,1400705
2017-03-16,78.84,79.71,78.54,79.7,1018911
2017-03-17,79.93,80.27,79.62,80.03,1107413
2017-03-20,80.03,80.03,79.25,79.38,867511
2017-03-21,79.78,79.83,78.17,78.25,997057
2017-03-22,78.29,79.33,78.21,79.07,597743
2017-03-23,78.82,79.84,78.59,78.94,1014489
2017-03-24,79.26,79.47,78.27,78.42,1567884
2017-03-27,77.71,78.39,77.31,78.12,1366311
2017-03-28,78.11,79.11,77.68,78.75,1079754
2017-03-29,78.75,79.19,78.47,78.83,859119
2017-03-30,80.06,81.63,79.31,80.7,2143327
2017-03-31,80.1,81.1,80.09,80.68,1357944
2017-04-03,80.86,80.93,79.09,79.33,1404429
2017-04-04,78.95,79.32,78.01,78.35,1299958
2017-04-05,78.41,78.9,77.56,77.75,864396
2017-04-06,77.67,78.4,77.49,78.09,687226
2017-04-07,77.99,78.47,77.73,77.93,626892
