Date,Open,High,Low,Close,Volume
2017-01-03,54.96,56.33,54.95,55.68,10531666
2017-01-04,55.61,56.15,55.49,55.89,6265902
2017-01-05,56.19,56.88,56.04,56.21,7083257
2017-01-06,56.23,56.98,55.91,56.66,7899545
2017-01-09,56.1,56.33,55.81,56.07,9080525
2017-01-10,56.05,56.06,54.62,54.64,9774121
2017-01-11,55.09,55.61,54.69,55.39,9995110
2017-01-12,55.8,55.85,55.07,55.18,5954033
2017-01-13,54.7,55.19,54.49,54.54,5995616
2017-01-17,54.67,55.06,54.19,55.01,7712635
2017-01-18,54.5,55.3,54.43,55.13,6156343
2017-01-19,55.07,55.4,54.78,55.34,9144435
2017-01-20,56.12,56.84,55.99,56.45,14793644
2017-01-23,55.0,55.2,53.92,54.8,17718731
2017-01-24,55.24,56.79,55.09,56.62,11276703
2017-01-25,56.9,57.7,56.76,57.41,9837065
2017-01-26,57.46,58.78,57.46,58.06,8989812
2017-01-27,57.94,58.47,57.75,58.21,6892974
2017-01-30,58.02,58.1,55.37,56.48,10361050
2017-01-31,56.73,56.78,55.81,56.57,5849521
2017-02-01,57.18,57.23,55.41,56.23,7082982
2017-02-02,56.46,56.59,55.7,56.29,6183447
2017-02-03,56.25,57.06,56.13,56.58,5344472
2017-02-06,56.64,56.76,56.01,56.1,4745193
2017-02-07,55.74,56.0,54.6,54.88,8395920
2017-02-08,54.6,55.45,53.5,55.44,9849476
2017-02-09,55.87,56.76,55.65,56.68,9320932
2017-02-10,57.02,57.38,55.99,56.13,7937524
2017-02-13,56.14,56.76,55.96,56.32,7161827
2017-02-14,56.05,56.58,56.01,56.54,8102296
2017-02-15,56.18,56.56,55.66,55.77,5978525
2017-02-16,55.82,56.0,54.26,54.31,10925646
2017-02-17,54.02,54.4,53.52,53.71,9055806
2017-02-21,54.44,54.93,53.8,53.84,7496888
2017-02-22,53.49,53.93,52.99,53.06,7736109
2017-02-23,53.75,54.28,53.1,53.19,7971039
2017-02-24,52.75,53.0,52.35,52.87,6489597
2017-02-27,52.86,53.71,52.59,53.2,6902535
2017-02-28,53.0,53.65,52.5,53.46,6503678
2017-03-01,53.97,55.21,53.94,54.7,7176434
2017-03-02,54.37,54.5,53.68,53.87,5772117
2017-03-03,54.0,54.4,53.7,53.87,4105033
2017-03-06,53.79,54.0,53.34,53.8,5656123
2017-03-07,53.72,53.78,52.83,52.97,7246368
2017-03-08,52.63,53.23,51.2,51.29,14736919
2017-03-09,50.59,50.99,49.75,50.89,14967420
2017-03-10,51.39,51.5,50.61,50.91,7711119
2017-03-13,51.02,51.33,50.67,50.88,6272392
2017-03-14,50.05,50.15,48.54,49.8,13128057
2017-03-15,50.32,51.92,49.99,51.54,9992994
2017-03-16,51.65,51.83,50.81,50.92,7336031
2017-03-17,51.15,51.47,50.59,50.78,8131399
2017-03-20,50.36,50.82,49.84,50.64,7763223
2017-03-21,51.11,51.26,49.82,50.15,7672975
2017-03-22,49.87,50.31,49.36,49.83,7544858
2017-03-23,49.74,50.16,49.43,49.71,5620703
2017-03-24,49.2,50.62,49.19,49.41,9607359
2017-03-27,48.6,48.77,47.52,47.78,14193715
2017-03-28,47.92,48.26,47.55,48.02,10606764
2017-03-29,48.0,49.52,47.96,49.22,10831220
2017-03-30,49.76,49.82,48.65,49.02,11840212
2017-03-31,49.02,49.52,48.91,49.21,6392574
2017-04-03,49.46,49.66,48.81,49.28,6870682
2017-04-04,49.3,49.69,48.76,49.55,6288801
2017-04-05,50.25,51.26,49.82,49.85,12281873
2017-04-06,50.2,50.45,49.86,50.15,5773233
2017-04-07,50.33,50.5,49.5,49.68,6211996
2017-04-10,49.94,50.23,49.75,49.97,5588115
2017-04-11,49.97,50.02,49.08,50.01,6766851
2017-04-12,50.0,50.23,49.15,49.33,7357972
2017-04-13,49.19,49.42,48.18,48.38,6762440
2017-04-17,48.38,48.85,48.24,48.84,5248969
2017-04-18,48.47,48.95,48.29,48.53,4703299
2017-04-19,48.73,48.84,47.15,47.43,9432827
2017-04-20,47.82,48.26,47.58,47.69,6425037
2017-04-21,47.15,47.66,46.78,47.06,13268858
2017-04-24,47.22,47.98,46.63,46.75,11843609
2017-04-25,46.88,47.22,46.71,47.02,8032493
2017-04-26,46.65,47.55,46.6,46.99,7921853
2017-04-27,46.6,46.82,45.1,46.4,12907572
2017-04-28,47.34,47.38,45.83,45.88,7352408
2017-05-01,45.94,46.12,45.56,45.77,4640669
2017-05-02,45.82,46.07,45.08,45.3,7739714
2017-05-03,45.12,45.55,44.91,45.25,7261334
2017-05-04,44.7,44.79,43.7,44.6,13768684
2017-05-05,44.6,45.71,44.54,45.58,11907085
2017-05-08,45.66,45.92,45.28,45.36,8283086
2017-05-09,45.37,45.5,44.8,45.03,8453867
2017-05-10,45.49,46.33,45.43,45.81,10051454
2017-05-11,46.37,46.37,45.56,45.61,7942140
2017-05-12,45.72,45.72,44.97,45.14,8969334
2017-05-15,46.2,47.11,45.97,46.51,12600730
2017-05-16,46.89,46.92,46.21,46.78,8862660
2017-05-17,46.53,47.11,46.22,46.34,8064530
2017-05-18,46.05,46.87,45.67,46.58,9072318
2017-05-19,47.29,48.04,47.04,47.78,13304604
2017-05-22,47.97,48.18,46.86,47.12,9495468
2017-05-23,47.06,47.86,46.68,47.6,11837502
