Date,Open,High,Low,Close,Volume
2017-01-03,21.9,22.17,21.8,22.12,5222901
2017-01-04,22.2,22.76,22.2,22.6,6466085
2017-01-05,22.44,22.64,22.12,22.61,5411738
2017-01-06,22.6,22.65,22.31,22.46,4832189
2017-01-09,22.47,22.5,22.16,22.22,3441052
2017-01-10,22.32,22.66,22.27,22.43,6031115
2017-01-11,22.43,22.48,21.9,21.93,4907840
2017-01-12,21.85,22.06,21.58,21.92,3125704
2017-01-13,21.93,22.14,21.93,22.06,3141755
2017-01-17,22.17,22.9,22.17,22.86,5966174
2017-01-18,22.9,23.0,21.93,22.01,6623038
2017-01-19,22.14,22.3,22.01,22.08,4074143
2017-01-20,22.11,22.38,22.0,22.37,3044572
2017-01-23,22.3,22.64,22.17,22.53,4560560
2017-01-24,22.57,22.74,22.5,22.63,3233063
2017-01-25,22.98,23.95,22.98,23.83,8814401
2017-01-26,23.8,23.98,23.61,23.64,6951683
2017-01-27,23.6,23.73,22.88,22.88,7956191
2017-01-30,22.89,23.44,22.55,23.33,6796916
2017-01-31,22.98,23.74,22.7,23.71,11092758
2017-02-01,23.73,23.74,23.07,23.23,5840259
2017-02-02,23.11,23.22,22.57,22.71,7459082
2017-02-03,20.0,20.0,18.91,18.98,36597006
2017-02-06,19.11,19.76,19.06,19.32,19807690
2017-02-07,19.32,19.7,19.2,19.3,11589785
2017-02-08,19.48,20.05,19.42,19.89,13787775
2017-02-09,19.95,20.5,19.95,20.24,10000452
2017-02-10,20.37,20.92,20.28,20.85,8495744
2017-02-13,21.02,21.04,20.37,20.45,8045167
2017-02-14,20.66,21.12,20.66,20.85,6750365
2017-02-15,20.81,21.2,20.73,21.13,7131568
2017-02-16,21.17,21.31,20.76,20.85,5091554
2017-02-17,20.77,21.02,20.71,21.02,8313718
2017-02-21,21.02,21.25,20.84,20.98,5630290
2017-02-22,21.09,21.33,20.97,21.27,5607265
2017-02-23,21.16,21.48,20.88,20.92,7871465
2017-02-24,20.93,21.53,20.8,21.38,8587251
2017-02-27,21.01,21.25,20.41,20.65,12525949
2017-02-28,20.64,20.79,19.96,20.01,8465068
2017-03-01,20.12,20.22,19.85,20.1,6582909
2017-03-02,20.29,20.49,20.17,20.35,6146247
2017-03-03,20.46,20.67,20.3,20.54,6729701
2017-03-06,20.43,20.58,20.22,20.43,4666812
2017-03-07,19.92,20.26,19.8,19.98,7823534
2017-03-08,20.0,20.28,19.89,20.22,4630336
2017-03-09,20.29,20.29,19.97,19.99,3212762
2017-03-10,20.04,20.2,19.85,19.97,4188144
2017-03-13,20.02,20.16,19.94,20.15,3112793
2017-03-14,20.22,20.53,20.17,20.26,3048261
2017-03-15,20.19,20.4,19.92,20.33,3371736
2017-03-16,20.33,20.66,20.22,20.51,3089448
2017-03-17,20.51,20.52,20.1,20.28,6680206
2017-03-20,20.37,20.41,20.04,20.19,4570505
2017-03-21,20.23,20.27,19.76,20.12,6268750
2017-03-22,19.98,20.23,19.84,20.21,3616254
2017-03-23,20.28,20.47,20.23,20.32,4425420
2017-03-24,20.31,20.57,20.04,20.42,2961294
2017-03-27,20.19,20.72,20.14,20.46,3973244
2017-03-28,20.25,20.89,20.23,20.84,3282319
2017-03-29,20.67,21.1,20.5,21.09,3618698
2017-03-30,20.92,20.97,20.61,20.71,2917959
2017-03-31,20.75,20.85,20.54,20.76,2726936
2017-04-03,20.79,20.85,20.55,20.7,3540663
2017-04-04,20.62,20.65,20.04,20.24,3783699
2017-04-05,20.23,20.57,20.07,20.34,2630463
2017-04-06,20.36,20.9,20.35,20.72,2791884
2017-04-07,20.7,20.94,20.58,20.82,5360788
