Date,Open,High,Low,Close,Volume
2017-01-03,74.36,74.8,73.52,74.46,2065783
2017-01-04,75.13,77.32,74.57,77.13,3232251
2017-01-05,76.72,77.43,76.66,76.81,2808801
2017-01-06,76.66,77.31,76.57,76.62,1872294
2017-01-09,76.04,81.06,76.04,78.92,4616415
2017-01-10,78.84,79.23,77.81,78.27,2319616
2017-01-11,78.64,79.63,78.26,79.31,1837539
2017-01-12,79.14,79.4,78.54,79.12,1483080
2017-01-13,79.24,79.81,79.1,79.4,1436595
2017-01-17,80.98,82.2,78.81,80.93,3645011
2017-01-18,81.25,81.33,79.64,79.73,2845346
2017-01-19,79.46,79.81,78.56,78.62,2560201
2017-01-20,78.55,79.85,78.53,79.71,1882548
2017-01-23,79.06,80.33,78.07,79.84,4095673
2017-01-24,79.6,80.35,79.02,80.33,2010642
2017-01-25,80.42,81.14,80.1,80.57,2994282
2017-01-26,80.51,81.34,80.14,80.28,1854998
2017-01-27,80.58,80.6,79.37,79.52,1481891
2017-01-30,79.49,79.49,78.4,79.29,1911888
2017-01-31,79.7,80.49,78.5,80.28,3077325
2017-02-01,80.84,82.61,80.73,81.96,3091232
2017-02-02,81.72,82.86,81.43,82.29,2316155
2017-02-03,82.8,84.12,82.57,83.8,2847282
2017-02-06,83.81,84.26,82.59,82.67,2819744
2017-02-07,82.75,83.24,82.21,82.59,1455407
2017-02-08,82.31,83.38,82.05,83.0,1918374
2017-02-09,82.64,83.97,82.64,83.64,1286819
2017-02-10,83.65,84.08,83.1,83.63,1347029
2017-02-13,83.68,84.22,83.58,83.75,1323322
2017-02-14,83.59,84.31,83.5,83.71,1934424
2017-02-15,83.75,84.62,83.37,84.29,2867716
2017-02-16,84.42,84.88,83.69,84.14,1519471
2017-02-17,83.82,84.65,83.16,84.63,1813600
2017-02-21,84.96,86.39,84.73,85.74,2170569
2017-02-22,85.35,86.12,84.88,85.91,1701683
2017-02-23,86.0,86.61,85.36,86.45,2207786
