Date,Open,High,Low,Close,Volume
2017-01-03,29.88,29.92,29.52,29.78,3083541
2017-01-04,29.89,30.57,29.81,30.44,5343094
2017-01-05,30.55,31.26,30.24,31.15,4948866
2017-01-06,31.13,31.48,30.62,31.22,5003807
2017-01-09,31.23,31.35,30.81,30.81,4373517
2017-01-10,30.71,30.75,29.95,30.05,4303000
2017-01-11,30.1,30.48,29.97,30.4,5660024
2017-01-12,30.4,30.5,29.99,30.41,2942681
2017-01-13,30.34,30.51,29.99,30.22,2694970
2017-01-17,30.33,30.73,30.33,30.68,2849139
2017-01-18,30.55,30.92,30.53,30.55,3027653
2017-01-19,30.41,30.41,29.75,29.96,4535313
2017-01-20,29.95,30.15,29.87,30.07,3125078
2017-01-23,30.11,30.36,29.96,30.33,2467184
2017-01-24,30.34,30.48,30.03,30.24,3119309
2017-01-25,30.5,30.61,29.68,29.88,6138955
2017-01-26,29.94,30.07,29.53,29.6,5315976
2017-01-27,29.67,29.72,29.39,29.56,4119380
2017-01-30,29.59,30.13,29.36,30.07,6767951
2017-01-31,30.14,30.77,29.76,30.32,23569805
2017-02-01,30.33,30.63,29.81,30.04,5473939
2017-02-02,30.0,30.72,29.88,30.7,4155206
2017-02-03,30.8,31.0,30.58,30.75,3843761
2017-02-06,30.75,30.93,30.54,30.92,3455020
2017-02-07,31.0,31.09,30.68,30.75,3173194
2017-02-08,30.86,31.13,30.77,30.91,2260636
2017-02-09,30.96,31.06,30.62,30.68,4713452
2017-02-10,30.61,30.8,30.55,30.7,3180285
2017-02-13,30.5,30.92,30.31,30.85,2809254
2017-02-14,30.73,30.83,30.22,30.41,2640497
2017-02-15,30.32,30.46,29.86,30.42,2894593
2017-02-16,30.5,31.29,30.5,30.98,3035762
2017-02-17,30.97,31.11,30.75,31.07,2224252
2017-02-21,31.0,31.51,30.74,31.4,3314364
2017-02-22,31.48,31.91,31.43,31.64,4138631
2017-02-23,31.78,32.16,31.64,32.13,2589202
2017-02-24,32.04,32.69,31.95,32.64,3834950
2017-02-27,32.73,32.9,32.57,32.73,3066635
2017-02-28,32.75,32.97,32.6,32.79,4523047
2017-03-01,32.59,32.59,32.15,32.2,3902307
2017-03-02,32.14,32.26,31.77,32.11,3166917
2017-03-03,32.04,32.25,31.6,32.2,3525704
2017-03-06,32.05,32.16,31.39,31.5,3538824
2017-03-07,31.36,31.43,30.97,31.3,3883738
2017-03-08,31.06,31.06,30.31,30.36,2939583
2017-03-09,30.35,30.47,29.59,29.75,2532544
2017-03-10,29.95,30.3,29.53,29.76,3360685
2017-03-13,29.83,30.0,29.56,29.78,3476586
2017-03-14,29.72,29.78,29.41,29.51,3089360
2017-03-15,29.69,30.24,29.58,30.08,3854092
2017-03-16,30.01,30.23,29.87,30.02,2618029
2017-03-17,30.03,30.4,29.92,30.12,4622429
2017-03-20,30.42,30.48,30.08,30.17,2659252
2017-03-21,30.25,30.3,29.92,30.01,4782872
2017-03-22,30.11,30.65,30.04,30.49,7017073
2017-03-23,30.44,30.87,30.44,30.57,7918638
2017-03-24,30.73,30.8,30.54,30.61,5256585
2017-03-27,30.41,31.09,30.41,30.79,5362445
2017-03-28,30.81,31.05,30.63,31.0,3061530
2017-03-29,31.0,31.12,30.81,31.02,2577822
2017-03-30,31.02,31.06,30.57,30.99,3509651
2017-03-31,31.03,31.38,31.01,31.28,3792328
2017-04-03,31.39,31.41,30.83,31.1,5670993
2017-04-04,31.22,31.36,30.98,31.05,5830869
2017-04-05,31.06,31.16,30.82,31.14,7767875
2017-04-06,31.11,31.44,30.9,31.4,4053047
2017-04-07,31.49,31.87,31.34,31.79,6028278
2017-04-10,31.79,31.98,31.72,31.91,3118834
2017-04-11,31.72,31.9,31.61,31.81,3862813
2017-04-12,31.76,31.92,31.69,31.9,2373185
2017-04-13,31.94,32.12,31.8,31.9,2610718
2017-04-17,32.02,32.27,31.9,32.27,2785709
2017-04-18,32.27,32.8,32.17,32.79,4965662
2017-04-19,32.77,32.78,32.28,32.4,4623176
2017-04-20,32.44,32.72,32.3,32.52,2378242
2017-04-21,32.43,32.6,32.35,32.5,3065510
2017-04-24,32.53,32.55,31.35,32.01,5106657
2017-04-25,32.0,32.16,31.86,32.04,3678206
2017-04-26,31.93,31.98,31.54,31.63,3608776
2017-04-27,31.69,31.95,31.47,31.51,3969740
2017-04-28,31.46,31.5,30.92,31.35,3689171
2017-05-01,31.37,31.71,31.18,31.45,3322027
2017-05-02,31.5,31.68,30.94,31.26,5010167
2017-05-03,31.48,31.51,30.4,30.53,3738981
2017-05-04,29.99,30.13,29.55,29.9,4657871
2017-05-05,29.92,30.21,29.89,30.09,5199636
2017-05-08,30.21,30.24,29.88,30.13,4007454
2017-05-09,30.14,30.18,29.71,29.89,3700764
2017-05-10,29.9,30.49,29.89,30.39,4254268
2017-05-11,30.25,31.04,30.03,30.96,3106962
2017-05-12,31.04,31.43,30.96,31.29,3791754
2017-05-15,31.32,31.62,31.02,31.1,2295429
2017-05-16,31.09,31.2,30.82,31.0,2370731
2017-05-17,30.99,31.7,30.99,31.36,3331962
2017-05-18,31.34,31.78,31.0,31.72,3251811
2017-05-19,31.76,31.85,31.26,31.72,3273453
2017-05-22,31.7,31.92,31.55,31.88,2515572
2017-05-23,31.91,32.05,31.69,31.73,2454434
2017-05-24,31.73,31.96,31.62,31.69,3551393
2017-05-25,31.63,31.72,31.49,31.54,2468988
2017-05-26,31.58,31.64,31.04,31.23,2670315
2017-05-30,31.2,31.41,31.13,31.22,1851272
2017-05-31,31.2,31.49,31.11,31.34,4421928
2017-06-01,31.29,31.51,30.74,31.47,2854147
2017-06-02,31.64,32.12,31.64,31.9,3440625
2017-06-05,31.75,31.78,31.47,31.74,2041451
2017-06-06,31.71,31.83,31.49,31.53,1858881
2017-06-07,31.52,31.69,31.35,31.4,2371311
2017-06-08,31.36,31.4,30.67,30.96,3382042
2017-06-09,30.86,31.33,30.72,31.18,2416939
2017-06-12,31.26,31.62,31.04,31.62,4001213
2017-06-13,31.57,31.69,31.38,31.66,3207815
2017-06-14,32.08,32.52,31.87,31.97,5060416
2017-06-15,31.74,32.38,31.72,32.17,2560537
2017-06-16,32.26,32.56,32.06,32.51,4214558
2017-06-19,32.49,32.84,32.34,32.84,3678451
2017-06-20,32.82,33.17,32.77,33.09,2644875
2017-06-21,33.06,33.28,32.86,33.05,2954121
2017-06-22,33.04,33.33,32.91,33.18,2175714
2017-06-23,33.21,33.62,33.21,33.39,3099982
2017-06-26,33.48,33.67,33.33,33.38,1881246
2017-06-27,33.25,33.43,32.73,32.75,4143375
2017-06-28,32.75,32.83,32.59,32.74,3161736
2017-06-29,32.42,32.53,31.92,31.98,3331117
2017-06-30,32.1,32.33,31.77,31.96,2813946
2017-07-03,32.1,32.6,32.02,32.55,1094126
2017-07-05,32.65,32.65,32.02,32.15,2311130
2017-07-06,32.0,32.03,31.15,31.15,4374302
2017-07-07,31.21,31.32,30.85,31.21,2197441
2017-07-10,31.26,31.32,30.88,30.89,2086180
2017-07-11,30.95,31.07,30.71,30.95,1702415
2017-07-12,31.21,31.63,31.14,31.47,2517328
2017-07-13,31.45,31.59,31.3,31.33,2005766
