Date,Open,High,Low,Close,Volume
2017-01-03,14.95,15.14,14.62,14.85,12502230
2017-01-04,14.92,15.21,14.85,15.08,9127833
2017-01-05,15.1,15.16,14.9,15.07,13221052
2017-01-06,15.15,15.16,14.97,15.0,7494227
2017-01-09,14.98,15.09,14.67,14.68,12909046
2017-01-10,14.65,14.97,14.4,14.69,15888327
2017-01-11,14.71,14.97,14.62,14.94,15009251
2017-01-12,14.89,14.96,14.56,14.79,11507926
2017-01-13,14.79,14.94,14.69,14.77,9336199
2017-01-17,14.68,14.89,14.56,14.58,11976835
2017-01-18,14.61,14.7,14.5,14.58,13664983
2017-01-19,14.81,15.02,14.75,14.86,15081845
2017-01-20,14.96,14.99,14.6,14.73,14687037
2017-01-23,14.71,14.72,14.41,14.67,15250469
2017-01-24,14.7,15.24,14.67,15.17,12369680
2017-01-25,15.26,15.35,15.12,15.19,16223333
2017-01-26,15.22,15.31,14.77,14.79,14419181
2017-01-27,14.83,15.11,14.78,14.8,14921530
2017-01-30,14.83,14.85,14.62,14.84,11239675
2017-01-31,14.77,15.11,14.57,15.05,14889607
2017-02-01,15.12,15.16,14.84,14.99,12433763
2017-02-02,14.89,15.22,14.87,15.21,15599575
2017-02-03,15.22,15.32,15.12,15.27,11659495
2017-02-06,15.17,15.3,15.09,15.26,7975431
2017-02-07,15.26,15.44,15.16,15.43,12330319
2017-02-08,15.41,15.64,15.39,15.51,13204263
2017-02-09,15.51,15.77,15.45,15.64,7709448
2017-02-10,15.65,15.74,15.55,15.72,10006365
2017-02-13,15.75,16.11,15.7,16.04,16142564
2017-02-14,15.96,16.41,15.95,16.06,17086210
2017-02-15,16.04,16.14,15.89,15.98,14448341
2017-02-16,15.99,16.03,15.89,15.92,12560613
2017-02-17,15.88,15.95,15.72,15.95,17366721
2017-02-21,15.93,16.22,15.93,16.13,17318051
2017-02-22,16.09,16.24,16.09,16.2,16654221
2017-02-23,16.51,17.8,16.48,17.6,37118842
2017-02-24,17.34,17.68,17.31,17.65,19816072
2017-02-27,17.65,17.81,17.48,17.65,12287497
2017-02-28,17.64,17.67,17.37,17.37,13940117
2017-03-01,17.65,17.71,17.45,17.62,9818715
2017-03-02,17.66,17.69,17.31,17.32,12229182
2017-03-03,17.3,17.4,17.12,17.35,17289361
2017-03-06,17.44,17.44,17.13,17.3,11163064
2017-03-07,17.27,17.42,17.05,17.27,11527985
2017-03-08,17.3,17.4,17.22,17.32,6745671
2017-03-09,17.25,17.42,17.18,17.36,8505402
