Date,Open,High,Low,Close,Volume
2017-01-03,103.38,103.85,102.45,102.72,698139
2017-01-04,103.0,103.59,102.49,103.28,660313
2017-01-05,103.11,103.93,102.69,103.41,638858
2017-01-06,103.51,104.71,103.47,104.55,683692
2017-01-09,104.19,104.38,102.12,102.14,602501
2017-01-10,102.24,102.26,101.16,101.71,477941
2017-01-11,101.42,101.95,101.05,101.79,427726
2017-01-12,101.77,102.06,101.01,101.79,383210
2017-01-13,101.87,102.0,101.19,101.76,377561
2017-01-17,101.2,101.38,99.89,100.18,527513
2017-01-18,100.29,101.4,100.09,100.85,698692
2017-01-19,101.06,101.71,99.8,99.99,579762
2017-01-20,100.45,100.7,99.89,100.19,478329
2017-01-23,100.1,100.94,99.13,100.71,548765
2017-01-24,100.73,102.41,100.58,102.07,436020
2017-01-25,102.37,102.37,100.83,101.12,463000
2017-01-26,101.01,101.65,100.99,101.23,377715
2017-01-27,101.46,103.61,101.03,102.53,720419
2017-01-30,104.29,104.29,101.88,102.38,555398
2017-01-31,102.17,102.73,100.61,102.71,658118
2017-02-01,102.82,103.34,101.5,101.83,749163
2017-02-02,100.81,105.32,100.79,104.98,1395652
2017-02-03,105.21,105.47,104.24,104.3,1023580
2017-02-06,104.15,105.9,104.02,105.13,1410774
2017-02-07,104.93,105.47,104.04,105.34,863989
2017-02-08,104.98,105.61,104.58,104.91,2215010
2017-02-09,105.33,105.81,104.47,104.49,878039
2017-02-10,105.01,105.93,104.16,105.74,709213
2017-02-13,106.01,107.03,105.8,107.01,676842
2017-02-14,106.36,107.97,106.0,107.94,708821
2017-02-15,107.47,108.09,107.11,107.32,1004509
2017-02-16,107.57,108.82,107.52,108.65,1107194
2017-02-17,108.57,109.47,108.0,109.46,609867
2017-02-21,109.54,111.2,109.54,111.02,727357
2017-02-22,110.51,110.7,109.63,110.44,714817
2017-02-23,110.45,110.74,109.59,109.84,1252924
2017-02-24,109.59,111.1,109.5,111.1,742831
2017-02-27,111.12,111.67,110.94,111.37,1609650
2017-02-28,110.96,111.62,109.51,109.9,882152
2017-03-01,110.8,111.26,110.38,110.91,860006
2017-03-02,110.81,111.26,110.05,110.3,754480
2017-03-03,110.5,110.59,109.98,110.46,822248
2017-03-06,109.68,110.19,109.32,109.9,719116
