Date,Open,High,Low,Close,Volume
2017-01-03,154.24,156.37,151.01,155.93,858648
2017-01-04,156.38,157.19,155.38,156.55,418293
2017-01-05,156.28,156.63,154.81,155.71,290360
2017-01-06,155.72,156.49,154.68,156.18,414300
2017-01-09,156.14,157.37,155.0,157.25,432440
2017-01-10,157.39,159.36,156.85,158.09,662733
2017-01-11,157.6,158.74,155.74,157.76,618569
2017-01-12,156.86,157.43,155.31,157.13,445069
2017-01-13,157.05,159.1,157.05,159.05,455622
2017-01-17,158.62,159.35,158.07,158.78,348318
2017-01-18,159.36,159.86,158.34,159.69,361652
2017-01-19,159.29,159.57,157.51,157.73,324501
2017-01-20,158.15,158.67,155.97,156.9,685988
2017-01-23,156.9,157.63,154.76,155.35,378045
2017-01-24,155.6,157.21,154.36,156.92,387366
2017-01-25,157.4,160.49,156.92,160.29,522883
2017-01-26,159.95,160.19,158.39,159.22,491545
2017-01-27,159.63,159.72,158.25,159.65,350294
2017-01-30,159.38,159.76,157.66,158.32,515347
2017-01-31,158.23,159.94,157.34,159.86,511831
2017-02-01,159.99,160.4,158.36,159.86,456715
2017-02-02,159.56,161.41,158.78,161.22,404405
2017-02-03,162.12,162.93,160.9,162.66,345576
2017-02-06,162.01,162.67,161.01,162.59,398234
2017-02-07,162.74,164.06,162.22,163.98,719005
2017-02-08,163.63,164.63,163.11,163.61,638451
2017-02-09,163.48,165.49,162.82,164.85,476458
2017-02-10,164.47,165.72,161.99,165.07,278080
2017-02-13,165.92,166.15,164.33,165.11,487404
2017-02-14,165.25,167.12,165.12,166.65,479978
2017-02-15,166.01,168.02,165.8,167.9,504572
2017-02-16,167.79,168.27,166.4,167.25,716501
2017-02-17,166.9,168.13,165.5,168.11,900761
2017-02-21,171.0,176.5,170.0,173.01,1274793
2017-02-22,173.05,174.92,172.62,172.64,665241
2017-02-23,172.85,173.2,171.51,171.92,623503
2017-02-24,171.71,173.58,171.07,173.53,411624
2017-02-27,173.67,174.32,173.12,173.54,387918
2017-02-28,172.81,172.9,170.48,171.56,800698
2017-03-01,172.45,172.82,171.14,172.0,702656
2017-03-02,170.88,171.61,170.15,171.03,650979
2017-03-03,170.98,171.87,170.62,171.57,376450
2017-03-06,170.43,171.5,169.89,170.9,415248
2017-03-07,170.48,171.35,169.88,171.06,414804
2017-03-08,171.06,171.88,170.53,170.89,359439
2017-03-09,170.89,171.77,170.43,170.94,267334
2017-03-10,171.65,172.73,170.46,172.17,470954
2017-03-13,172.01,172.38,170.88,172.22,363619
2017-03-14,172.08,172.08,170.44,171.25,278045
2017-03-15,171.51,173.13,170.67,172.72,339618
2017-03-16,172.5,172.89,170.17,171.17,590424
2017-03-17,171.64,172.0,170.19,171.25,909124
2017-03-20,170.86,172.5,169.96,171.41,366792
2017-03-21,172.0,172.9,170.52,170.8,466507
2017-03-22,171.36,172.26,169.82,171.85,323072
2017-03-23,171.8,173.5,171.08,171.46,341490
2017-03-24,171.77,172.61,170.77,171.25,275541
2017-03-27,170.29,172.02,170.14,171.26,263743
2017-03-28,171.05,171.56,170.62,171.09,388449
2017-03-29,171.37,171.6,170.07,170.89,310595
2017-03-30,170.42,171.14,170.3,170.83,191087
2017-03-31,170.35,170.75,169.71,169.97,297444
2017-04-03,170.22,171.15,168.75,169.05,446275
2017-04-04,169.23,169.71,168.18,168.82,311255
2017-04-05,168.68,170.74,168.01,168.19,524452
2017-04-06,168.45,169.05,167.3,168.9,355260
2017-04-07,168.95,169.42,167.46,167.55,343668
2017-04-10,167.71,169.44,167.36,168.92,384836
2017-04-11,168.57,170.3,168.57,170.06,399525
2017-04-12,166.22,169.43,166.22,168.73,457436
2017-04-13,169.1,169.11,167.73,167.85,217649
2017-04-17,168.28,169.23,167.6,168.87,252355
2017-04-18,168.44,168.47,166.78,167.7,311628
2017-04-19,168.37,168.85,166.86,167.98,281355
2017-04-20,168.16,169.76,166.93,169.4,505317
2017-04-21,169.56,169.86,167.62,168.11,298116
2017-04-24,169.98,170.21,168.52,169.8,339872
2017-04-25,170.19,171.0,169.65,170.22,401937
2017-04-26,170.35,173.36,170.21,173.18,607530
2017-04-27,173.47,174.69,173.23,174.18,358252
2017-04-28,173.76,174.44,173.23,173.8,356115
2017-05-01,173.85,174.07,172.75,173.6,242519
2017-05-02,173.52,175.63,173.52,175.42,311137
2017-05-03,175.25,176.29,175.18,175.69,459961
2017-05-04,176.17,178.16,175.73,178.08,361326
2017-05-05,178.82,179.3,177.58,178.35,317913
2017-05-08,178.37,178.72,174.2,175.02,628947
2017-05-09,180.0,182.48,175.98,177.41,843662
2017-05-10,177.34,177.64,175.54,176.08,490919
2017-05-11,175.32,176.54,174.31,176.4,355175
2017-05-12,175.82,176.48,174.86,175.62,326288
2017-05-15,175.29,176.22,175.04,176.12,289015
2017-05-16,176.46,176.99,175.66,176.84,413714
2017-05-17,175.83,176.9,174.35,174.56,318162
2017-05-18,174.76,177.65,174.34,177.05,554390
2017-05-19,176.84,178.78,175.97,177.81,598646
2017-05-22,177.79,181.24,177.52,180.91,506267
2017-05-23,180.99,182.25,179.89,182.1,311928
2017-05-24,182.6,182.87,181.13,181.63,304346
2017-05-25,182.02,183.84,181.67,183.26,317338
2017-05-26,183.25,183.44,182.08,182.68,214096
2017-05-30,182.42,183.19,181.85,182.89,183828
2017-05-31,182.99,184.08,182.15,183.97,337035
2017-06-01,184.25,186.64,184.08,186.51,324009
2017-06-02,186.27,186.71,185.8,186.57,290381
2017-06-05,186.32,186.44,184.67,185.21,295532
2017-06-06,185.22,186.71,183.94,184.05,453192
2017-06-07,184.87,186.25,183.73,185.4,435729
2017-06-08,184.12,186.44,183.3,184.18,309100
2017-06-09,184.59,186.99,184.59,185.75,564529
2017-06-12,184.94,186.46,183.23,184.02,311210
2017-06-13,183.39,184.53,183.05,183.75,287173
2017-06-14,184.76,186.47,183.21,184.02,238244
2017-06-15,183.46,183.74,182.15,183.66,226973
2017-06-16,182.6,184.2,181.44,182.73,588950
2017-06-19,183.91,185.26,183.1,185.06,474506
2017-06-20,185.07,185.07,181.88,182.12,328214
2017-06-21,181.6,183.49,181.6,183.27,308283
2017-06-22,183.73,184.84,182.85,184.26,271126
2017-06-23,184.37,184.75,183.66,184.17,440353
2017-06-26,184.85,185.53,184.28,184.96,250031
2017-06-27,184.41,185.22,182.83,182.87,405594
2017-06-28,183.64,184.86,182.81,184.28,272943
2017-06-29,184.18,185.04,182.0,182.38,288975
2017-06-30,183.39,184.44,181.71,183.02,365765
2017-07-03,183.74,183.9,181.85,181.97,156549
2017-07-05,182.46,183.8,181.51,183.68,339544
2017-07-06,182.6,184.51,180.47,181.11,333786
2017-07-07,181.46,183.87,181.26,182.84,309883
2017-07-10,182.99,183.3,180.39,180.62,314677
2017-07-11,180.76,180.95,179.18,180.68,207613
2017-07-12,181.79,183.67,181.79,183.17,249793
2017-07-13,183.74,184.58,181.17,182.43,343621
