Date,Open,High,Low,Close,Volume
2017-01-03,101.14,103.2,100.41,102.32,1434778
2017-01-04,103.1,104.63,102.28,102.84,1442527
2017-01-05,102.82,104.99,102.24,104.81,940890
2017-01-06,105.42,109.3,104.92,108.3,1817458
2017-01-09,113.55,119.89,112.83,118.52,3005502
2017-01-10,119.09,121.18,117.8,119.3,2013194
2017-01-11,118.8,119.93,113.77,115.29,2085731
2017-01-12,114.43,118.25,112.88,117.55,1221485
2017-01-13,117.97,119.8,116.72,117.75,1102974
2017-01-17,115.7,116.75,113.24,113.64,1368858
2017-01-18,114.51,115.24,113.12,115.09,1125354
2017-01-19,115.5,117.62,113.0,117.53,1160019
2017-01-20,118.32,122.68,117.08,117.22,1907572
2017-01-23,118.27,119.26,116.68,117.42,1752099
2017-01-24,117.55,118.57,115.56,118.3,1323335
2017-01-25,119.13,121.35,118.17,120.91,1415787
2017-01-26,120.51,124.87,119.02,120.64,2437462
2017-01-27,121.44,123.53,120.62,121.72,804623
2017-01-30,121.83,122.24,117.82,118.23,1346146
2017-01-31,117.95,121.31,117.1,121.21,1473397
2017-02-01,121.12,124.65,119.86,124.27,1420757
2017-02-02,123.03,123.7,119.23,120.92,1643867
2017-02-03,121.76,122.46,119.62,120.34,868895
2017-02-06,120.28,121.31,118.81,119.68,1107724
2017-02-07,120.09,120.43,117.25,118.18,1671295
2017-02-08,117.32,123.59,117.18,122.73,2180716
2017-02-09,121.92,124.19,121.68,122.96,894038
2017-02-10,123.01,123.1,121.26,121.7,1084706
2017-02-13,122.27,122.27,120.26,121.15,1170984
2017-02-14,119.94,125.49,119.62,123.32,1869498
2017-02-15,122.39,122.61,119.01,120.94,1608126
2017-02-16,121.39,122.23,118.53,120.18,990699
2017-02-17,120.18,120.85,119.16,120.49,941388
2017-02-21,121.09,122.67,119.77,122.36,1257238
2017-02-22,121.7,122.9,121.25,121.36,854934
2017-02-23,121.4,122.14,118.79,121.95,1568082
2017-02-24,128.27,131.89,127.56,131.21,9231041
2017-02-27,131.88,134.97,130.24,134.02,33192954
2017-02-28,133.59,134.05,131.24,133.1,3868720
2017-03-01,133.9,135.48,131.91,133.22,3001101
2017-03-02,134.7,135.79,132.12,132.8,1963844
2017-03-03,133.19,137.76,132.65,136.91,2859783
2017-03-06,136.95,136.98,133.14,134.38,1920661
2017-03-07,133.13,134.85,131.48,133.39,1906617
2017-03-08,133.39,137.88,133.06,136.0,2363256
2017-03-09,135.43,138.34,134.23,138.02,1781992
2017-03-10,138.81,150.42,138.54,149.24,5114827
2017-03-13,149.24,151.63,145.29,151.03,4159556
2017-03-14,149.99,151.98,148.83,150.96,1697435
2017-03-15,151.35,153.15,147.9,152.66,1977101
2017-03-16,151.69,151.91,146.98,148.44,3684309
2017-03-17,148.01,149.27,146.79,147.96,4268014
2017-03-20,147.61,148.93,146.51,148.52,1745180
2017-03-21,148.36,149.0,140.47,140.73,2240485
2017-03-22,141.75,143.58,140.01,141.28,3860641
2017-03-23,141.13,141.27,138.71,138.97,1887606
2017-03-24,138.97,140.57,138.01,139.64,1547560
2017-03-27,139.15,140.36,137.54,139.89,1038758
2017-03-28,139.46,141.34,138.38,139.48,1852551
2017-03-29,139.5,139.95,138.35,139.28,1355374
2017-03-30,140.1,140.94,137.7,137.77,1109765
2017-03-31,137.8,138.73,133.26,133.67,2554837
2017-04-03,135.0,141.86,134.13,138.52,3455142
2017-04-04,138.01,143.05,137.81,141.55,1743549
2017-04-05,141.55,144.32,137.51,138.43,1748807
2017-04-06,137.84,139.37,134.23,135.5,1595803
2017-04-07,139.48,140.63,136.55,140.11,2206662
2017-04-10,140.18,141.24,136.02,136.88,1651533
2017-04-11,137.11,137.69,134.16,136.07,1295951
2017-04-12,136.48,141.4,134.96,138.27,1584565
2017-04-13,139.66,142.45,138.01,140.84,2186422
2017-04-17,124.97,127.43,124.05,126.07,6916663
2017-04-18,125.11,128.41,124.15,125.9,2593568
2017-04-19,125.9,126.17,124.05,124.54,1937177
2017-04-20,125.28,125.49,123.05,123.11,2035165
2017-04-21,123.5,125.35,122.51,123.01,1818883
2017-04-24,124.06,124.74,123.5,123.91,1155259
2017-04-25,124.66,124.91,124.02,124.39,1175944
2017-04-26,124.68,125.47,122.32,123.08,1151735
2017-04-27,123.0,125.36,122.55,124.17,1038137
2017-04-28,124.26,124.8,123.02,124.28,977629
2017-05-01,124.78,125.59,123.21,124.0,1150456
2017-05-02,123.98,124.44,121.52,123.71,1343375
2017-05-03,123.43,124.54,122.81,123.21,1474386
2017-05-04,126.23,127.8,123.34,125.0,1404997
2017-05-05,124.14,124.8,120.5,122.41,2010670
2017-05-08,121.72,121.8,116.44,117.79,2583498
2017-05-09,117.47,119.92,117.04,119.73,1204271
2017-05-10,119.67,119.92,118.08,118.22,1227482
2017-05-11,117.87,118.41,116.21,116.43,1358566
2017-05-12,115.99,117.86,114.33,115.19,2732730
2017-05-15,115.0,117.49,114.03,117.35,1710251
2017-05-16,117.49,120.87,117.1,117.76,2682494
2017-05-17,116.98,121.68,116.08,120.49,3733581
2017-05-18,128.16,131.75,125.39,128.8,5666349
2017-05-19,129.03,133.8,129.0,131.43,3856544
2017-05-22,131.2,134.89,130.22,134.43,2031461
2017-05-23,134.17,136.3,133.51,136.16,1199337
2017-05-24,136.4,138.75,135.01,138.1,1301543
2017-05-25,138.99,139.98,138.21,138.41,1770491
2017-05-26,138.46,139.49,132.65,134.38,2366454
2017-05-30,133.8,134.13,129.65,130.49,1723586
2017-05-31,131.8,133.82,128.82,129.33,2405924
2017-06-01,130.0,130.96,127.85,129.28,1911871
2017-06-02,131.56,132.07,128.87,131.5,1422462
2017-06-05,132.5,132.78,121.23,124.03,3822189
2017-06-06,124.15,124.28,121.46,122.27,2060963
2017-06-07,121.53,123.36,118.34,119.15,2210609
2017-06-08,119.88,120.24,116.25,119.75,2026856
2017-06-09,119.1,122.21,118.24,119.04,1410211
2017-06-12,117.8,120.22,115.2,116.44,1802549
2017-06-13,115.82,119.09,115.66,118.52,1199489
2017-06-14,118.59,121.5,118.0,120.09,1533730
2017-06-15,119.0,120.45,115.79,120.37,1824172
2017-06-16,120.0,120.74,117.05,118.05,3658783
2017-06-19,118.38,122.64,118.38,122.28,1431567
2017-06-20,122.98,126.79,122.19,124.58,2028594
2017-06-21,124.49,134.45,124.3,133.99,2893166
2017-06-22,134.86,137.29,134.2,135.63,1731406
2017-06-23,135.34,136.86,133.83,136.28,1790344
2017-06-26,136.97,137.3,133.43,134.67,1389408
2017-06-27,134.49,135.22,130.11,130.31,1193071
2017-06-28,130.41,135.28,129.61,134.33,1261685
2017-06-29,133.58,133.58,127.48,128.78,1388223
2017-06-30,129.74,129.83,125.87,125.91,1369899
2017-07-03,126.2,128.0,124.96,125.87,596979
2017-07-05,126.0,128.8,125.43,128.34,1189352
2017-07-06,127.05,128.84,124.75,127.22,1256344
2017-07-07,127.58,131.43,127.35,130.84,1030329
2017-07-10,130.41,130.41,127.01,129.56,915957
2017-07-11,128.6,132.86,128.6,131.92,1073263
2017-07-12,133.24,133.94,131.33,133.22,796705
2017-07-13,133.32,134.46,131.03,133.42,725810
