Date,Open,High,Low,Close,Volume
2017-01-03,36.61,36.93,36.27,36.6,20196466
2017-01-04,36.71,36.77,36.34,36.41,15915729
2017-01-05,36.45,36.72,36.3,36.35,13986002
2017-01-06,36.59,36.68,36.19,36.48,15113998
2017-01-09,36.48,36.88,36.48,36.61,19461422
2017-01-10,36.55,36.93,36.53,36.54,15918766
2017-01-11,36.51,37.0,36.51,36.95,22398426
2017-01-12,36.83,36.83,36.32,36.71,20391946
2017-01-13,36.71,36.86,36.62,36.79,15072235
2017-01-17,36.67,36.83,36.59,36.8,20195202
2017-01-18,36.89,37.01,36.61,36.76,15382452
2017-01-19,36.51,36.91,36.51,36.57,13654522
2017-01-20,36.76,37.03,36.58,36.94,23950936
2017-01-23,37.07,37.21,36.55,36.77,27752565
2017-01-24,36.84,37.74,36.81,37.62,35140871
2017-01-25,37.87,38.0,37.52,37.8,32357313
2017-01-26,37.82,37.92,37.42,37.56,34144843
2017-01-27,38.0,38.45,37.81,37.98,44368566
2017-01-30,37.74,37.84,37.33,37.42,23954716
2017-01-31,37.22,37.37,36.64,36.82,27059084
2017-02-01,36.82,36.95,36.02,36.52,28380640
2017-02-02,36.26,36.7,36.2,36.68,31916939
2017-02-03,36.69,36.82,36.45,36.52,21038146
2017-02-06,36.51,36.51,36.15,36.27,21426961
2017-02-07,36.45,36.52,36.24,36.35,18581866
2017-02-08,36.34,36.65,36.14,36.38,20807358
2017-02-09,36.5,36.5,35.4,35.46,47802687
2017-02-10,35.26,35.43,34.84,35.34,44106523
2017-02-13,35.57,35.85,35.34,35.8,28180550
2017-02-14,35.84,35.96,35.53,35.93,25734801
2017-02-15,35.98,36.06,35.67,36.05,18452197
2017-02-16,36.18,36.56,36.1,36.41,21317455
2017-02-17,36.32,36.48,36.1,36.48,18909888
2017-02-21,36.53,36.65,36.33,36.52,20556017
2017-02-22,36.34,36.4,35.79,36.07,29904370
2017-02-23,36.24,36.3,35.9,36.18,22774979
2017-02-24,36.14,36.53,35.95,36.53,18617592
2017-02-27,36.42,36.68,36.27,36.51,14065236
2017-02-28,36.42,36.46,36.0,36.2,24977011
2017-03-01,35.85,36.1,35.44,35.93,34085869
2017-03-02,35.93,36.02,35.65,35.91,23602100
2017-03-03,35.94,36.08,35.67,35.9,17540896
2017-03-06,35.79,35.8,35.42,35.57,24416732
2017-03-07,35.54,35.8,35.38,35.8,23434893
2017-03-08,35.67,35.9,35.52,35.62,20920148
2017-03-09,35.6,35.94,35.5,35.82,23616786
2017-03-10,36.12,36.3,35.78,35.91,25402348
2017-03-13,35.85,36.04,34.94,35.16,53582931
2017-03-14,35.06,35.23,34.66,35.18,28586871
2017-03-15,34.94,35.17,34.68,35.1,27996095
2017-03-16,35.17,35.36,35.07,35.14,19616053
2017-03-17,35.31,35.33,35.1,35.27,30778867
2017-03-20,35.37,35.63,35.26,35.43,17322274
2017-03-21,35.59,35.6,35.0,35.04,22814547
2017-03-22,35.22,35.46,35.0,35.37,19144498
2017-03-23,35.49,35.49,35.02,35.27,20640352
2017-03-24,35.65,35.73,35.12,35.16,22187960
2017-03-27,35.07,35.5,34.94,35.39,16992235
2017-03-28,35.34,35.71,35.21,35.6,18398148
2017-03-29,35.52,35.7,35.44,35.57,17202642
2017-03-30,35.58,35.89,35.52,35.75,16432950
2017-03-31,35.75,36.25,35.74,36.07,21438385
2017-04-03,36.19,36.74,36.12,36.16,32013641
2017-04-04,36.12,36.38,35.99,36.28,18918045
2017-04-05,36.43,36.76,36.17,36.22,22455525
2017-04-06,36.13,36.28,36.03,36.03,20198223
2017-04-07,36.07,36.32,35.98,36.03,15689513
2017-04-10,36.02,36.09,35.61,35.8,19973723
2017-04-11,35.77,35.79,35.21,35.74,22711830
2017-04-12,35.87,36.01,35.5,35.63,19289787
2017-04-13,35.55,35.76,35.25,35.25,15763996
2017-04-17,35.44,35.59,35.33,35.48,12560746
2017-04-18,35.43,35.81,35.3,35.76,12321050
2017-04-19,35.97,36.22,35.89,35.91,16594635
2017-04-20,36.18,36.27,35.86,36.18,22968262
2017-04-21,36.2,36.42,35.85,36.32,20390513
2017-04-24,36.67,36.85,36.46,36.75,26305762
2017-04-25,36.77,37.0,36.66,36.87,22066776
2017-04-26,36.78,37.23,36.78,36.93,27240993
