Date,Open,High,Low,Close,Volume
2017-01-03,123.73,124.07,121.72,122.52,1299192
2017-01-04,123.05,123.29,122.39,122.99,1135010
2017-01-05,122.95,123.63,120.7,121.61,1480523
2017-01-06,121.91,123.21,121.4,122.88,958611
2017-01-09,122.68,123.23,122.19,122.28,980874
2017-01-10,122.36,122.9,121.79,122.57,1560537
2017-01-11,122.5,123.28,122.02,123.16,1139016
2017-01-12,122.99,123.18,120.06,122.61,1287141
2017-01-13,122.61,123.66,122.61,123.39,1021616
2017-01-17,122.74,123.26,122.25,122.82,964728
2017-01-18,122.94,124.03,122.94,123.66,989597
2017-01-19,123.6,124.26,122.61,123.37,1145641
2017-01-20,123.75,124.42,123.29,123.74,1109701
2017-01-23,123.6,124.13,123.15,124.05,1145748
2017-01-24,124.43,127.5,123.86,127.06,2431157
2017-01-25,129.11,130.16,124.84,128.57,3539395
2017-01-26,128.74,130.04,127.18,128.21,1915635
2017-01-27,128.27,129.64,128.27,128.86,1175972
2017-01-30,128.82,128.86,127.72,128.79,1483926
2017-01-31,128.49,128.63,126.56,127.2,1664175
2017-02-01,127.14,127.92,125.96,126.88,1371432
2017-02-02,126.6,127.35,126.06,126.98,964428
2017-02-03,127.6,127.66,126.47,127.21,1486894
2017-02-06,127.06,127.78,126.82,127.29,741044
2017-02-07,127.54,127.98,126.81,126.94,1114630
2017-02-08,126.92,127.39,126.52,127.12,759251
2017-02-09,127.3,128.26,127.15,127.26,1164117
2017-02-10,127.64,128.1,127.18,128.0,725736
2017-02-13,128.34,129.64,128.34,129.37,897696
2017-02-14,129.3,129.71,128.54,129.6,960954
2017-02-15,129.19,129.98,128.9,129.76,838350
2017-02-16,129.83,130.3,129.39,130.26,1185592
2017-02-17,129.17,130.36,128.03,130.31,1939513
2017-02-21,129.95,130.9,129.6,130.41,1502850
2017-02-22,129.75,130.85,129.65,130.12,1299572
2017-02-23,130.48,130.86,129.37,130.42,1588962
2017-02-24,130.0,131.68,129.57,131.68,1661291
2017-02-27,131.48,132.01,131.07,131.88,1125107
2017-02-28,131.61,132.2,131.32,132.01,2274674
2017-03-01,133.28,135.24,133.23,134.92,1884027
2017-03-02,134.51,134.9,133.87,134.24,1661050
2017-03-03,134.06,134.44,133.34,134.33,1033857
2017-03-06,133.52,134.44,133.44,134.14,1256224
2017-03-07,133.79,134.36,133.38,133.9,1167032
2017-03-08,133.88,134.65,133.73,133.88,869808
2017-03-09,133.67,134.06,132.35,132.95,1154358
2017-03-10,133.91,134.08,132.97,134.02,976664
2017-03-13,134.02,134.44,133.6,134.27,890487
2017-03-14,133.62,133.76,132.72,133.24,913638
2017-03-15,133.91,135.93,133.71,135.46,1002036
2017-03-16,135.11,136.02,134.1,134.48,1001661
2017-03-17,135.0,135.79,134.52,135.5,2867715
2017-03-20,135.72,136.03,135.02,135.22,915564
2017-03-21,135.72,135.97,133.24,133.48,1109137
2017-03-22,133.44,134.04,132.89,133.85,819626
2017-03-23,133.72,134.39,133.06,133.44,1207766
2017-03-24,133.46,134.19,132.35,132.77,1215419
2017-03-27,130.91,132.11,129.17,131.64,1734689
2017-03-28,131.82,133.47,130.87,132.91,1476121
2017-03-29,132.08,132.29,131.51,131.95,947625
2017-03-30,131.73,133.07,131.65,132.61,752485
2017-03-31,132.34,133.37,132.11,132.47,1096051
2017-04-03,132.97,133.38,130.71,131.58,1945541
2017-04-04,131.58,131.9,130.94,131.61,981306
2017-04-05,132.2,133.18,130.97,131.06,1190353
2017-04-06,131.28,132.35,130.83,131.62,958898
2017-04-07,131.46,132.32,131.44,131.73,725327
2017-04-10,131.71,132.78,131.71,132.24,927499
2017-04-11,131.92,132.84,131.36,132.81,1400056
2017-04-12,132.79,132.79,130.8,130.87,1453882
2017-04-13,130.71,131.57,130.17,130.17,747438
2017-04-17,130.64,131.46,130.17,131.37,862223
2017-04-18,130.58,133.0,130.58,132.39,1610400
2017-04-19,132.8,133.19,131.78,132.12,1098992
2017-04-20,132.79,134.92,132.52,134.58,1276394
2017-04-21,134.87,135.71,134.59,134.87,2193397
2017-04-24,138.79,142.82,138.63,139.76,4098904
2017-04-25,138.91,140.99,138.72,139.26,2972727
2017-04-26,139.5,139.9,139.01,139.14,1938557
2017-04-27,139.29,140.21,139.03,139.42,1230594
2017-04-28,139.34,139.62,137.91,138.09,1535499
2017-05-01,137.88,138.08,136.58,137.65,1626768
2017-05-02,138.46,138.92,136.66,137.22,1675307
2017-05-03,137.06,138.08,136.48,137.95,1223004
2017-05-04,138.25,138.56,137.43,138.27,1541557
2017-05-05,138.85,139.64,138.39,139.6,924648
2017-05-08,139.34,139.78,139.1,139.54,874009
2017-05-09,139.42,139.79,138.59,138.95,792917
2017-05-10,138.87,139.26,137.6,138.3,893257
2017-05-11,138.34,138.34,136.47,138.0,1084897
2017-05-12,137.72,137.98,137.12,137.38,961038
2017-05-15,137.54,138.19,137.36,137.69,776830
2017-05-16,138.05,138.07,137.01,137.72,773431
2017-05-17,136.46,136.82,134.71,134.78,1625840
2017-05-18,134.96,136.22,133.9,135.35,1216365
2017-05-19,137.18,137.82,135.31,137.0,1085272
2017-05-22,137.52,138.04,137.19,137.86,817759
2017-05-23,138.0,139.05,137.5,138.78,1064127
2017-05-24,139.3,139.71,138.49,139.52,869585
2017-05-25,139.98,140.73,139.16,140.5,891227
2017-05-26,140.06,140.78,140.03,140.37,693895
2017-05-30,140.11,141.42,139.79,141.1,972507
2017-05-31,140.98,141.49,140.29,141.22,1223611
2017-06-01,143.16,143.69,142.0,143.34,1343362
2017-06-02,143.56,144.86,143.14,143.61,1084649
2017-06-05,143.64,144.37,143.54,144.02,1490898
2017-06-06,143.69,144.11,142.79,142.98,963276
2017-06-07,143.11,144.71,142.72,144.57,1513822
2017-06-08,144.47,144.96,143.1,144.59,1455286
2017-06-09,144.69,145.38,143.81,144.8,1140611
2017-06-12,145.6,145.6,143.47,144.72,1139089
2017-06-13,145.12,146.67,144.68,146.42,1175775
2017-06-14,146.96,147.0,145.98,146.74,1260343
2017-06-15,145.29,148.23,145.25,148.21,1104229
2017-06-16,148.57,149.56,148.39,148.63,2146191
2017-06-19,149.32,150.24,148.79,150.18,890211
2017-06-20,149.36,150.29,149.01,149.6,1296351
2017-06-21,149.67,149.95,146.52,146.61,2165187
2017-06-22,146.44,146.64,145.46,146.19,1196843
2017-06-23,146.27,146.58,145.62,145.78,1344561
2017-06-26,146.01,146.3,144.9,145.34,838179
2017-06-27,144.71,145.44,142.16,142.27,1702214
2017-06-28,142.76,144.23,142.28,143.63,773913
2017-06-29,143.67,143.8,141.09,141.62,1049811
2017-06-30,142.04,143.93,142.04,143.25,1231748
2017-07-03,144.2,144.81,143.7,144.11,469533
2017-07-05,144.39,145.76,144.15,145.48,1079230
2017-07-06,145.03,145.65,144.05,144.35,836937
2017-07-07,144.7,146.98,144.53,146.06,989392
2017-07-10,145.62,147.23,145.62,146.24,1089279
2017-07-11,146.21,146.54,144.71,145.82,1085499
2017-07-12,146.78,147.51,146.02,146.24,754328
2017-07-13,146.1,146.12,144.5,144.7,1158039
