Date,Open,High,Low,Close,Volume
2017-01-03,115.78,116.0,115.23,115.84,5953048
2017-01-04,115.5,116.23,115.31,115.65,5828946
2017-01-05,116.0,116.97,115.44,116.86,6217214
2017-01-06,116.67,117.0,115.76,116.3,5221381
2017-01-09,116.35,116.61,115.89,116.28,5457539
2017-01-10,116.03,117.0,115.87,116.16,5312812
2017-01-11,116.08,116.25,114.02,114.73,8887197
2017-01-12,114.27,114.73,113.37,114.62,6627250
2017-01-13,114.94,115.02,114.44,114.6,4935188
2017-01-17,113.94,115.05,113.67,114.87,6255447
2017-01-18,114.94,115.1,114.41,114.7,5014570
2017-01-19,114.68,114.9,113.92,114.2,5540831
2017-01-20,114.49,115.03,114.08,114.15,7502425
2017-01-23,114.51,114.77,113.8,113.91,7989760
2017-01-24,112.91,113.3,111.15,111.76,12450307
2017-01-25,111.93,112.8,110.76,112.8,9385502
2017-01-26,112.0,112.84,111.6,111.84,10164341
2017-01-27,112.0,113.54,111.9,113.38,8886070
2017-01-30,113.4,113.6,112.85,113.13,6969430
2017-01-31,112.79,113.4,112.43,113.25,8713408
2017-02-01,112.48,113.32,112.47,113.23,7082322
2017-02-02,112.82,113.62,112.77,113.57,7826308
2017-02-03,113.5,113.66,112.66,113.64,7267569
2017-02-06,113.46,113.59,112.62,113.4,6178433
2017-02-07,113.6,113.62,113.05,113.48,5507915
2017-02-08,113.3,113.69,113.15,113.4,5271951
2017-02-09,113.47,114.65,113.4,114.08,5854606
2017-02-10,114.32,115.99,114.23,115.24,6438536
2017-02-13,115.28,116.12,115.22,115.88,5710779
2017-02-14,115.44,116.4,115.32,116.36,5539136
2017-02-15,115.9,117.46,115.59,117.2,5979679
2017-02-16,117.0,118.28,117.0,118.08,7119291
2017-02-17,118.19,118.9,118.05,118.86,8691397
2017-02-21,118.4,119.89,118.32,119.66,8595110
2017-02-22,119.28,119.77,119.25,119.52,5103903
2017-02-23,119.52,121.9,119.48,121.7,9980945
2017-02-24,121.5,122.74,120.9,122.73,10834986
2017-02-27,122.13,122.88,122.1,122.4,5946157
2017-02-28,122.01,122.65,121.94,122.21,8885513
2017-03-01,122.49,124.45,122.42,123.86,9393869
2017-03-02,123.75,124.36,123.02,123.63,6950220
2017-03-03,123.41,123.93,123.23,123.79,5593811
2017-03-06,123.01,124.43,122.6,123.71,6670681
2017-03-07,122.58,124.46,122.39,123.83,6643988
2017-03-08,123.75,124.68,123.5,124.1,7909858
2017-03-09,124.58,126.21,124.17,125.95,8571147
2017-03-10,126.04,126.49,125.54,126.21,7395375
2017-03-13,125.83,126.95,125.79,126.68,7162476
2017-03-14,126.86,127.75,126.77,127.05,7679707
2017-03-15,127.05,129.0,126.6,128.96,8360637
2017-03-16,128.44,128.7,127.77,128.46,7610720
2017-03-17,128.45,128.94,127.95,128.06,13300756
2017-03-20,128.04,128.42,127.97,128.07,5827497
2017-03-21,128.38,128.45,127.14,127.25,7578634
2017-03-22,127.05,127.65,126.21,126.26,10272668
2017-03-23,126.1,127.0,125.66,125.9,8508073
2017-03-24,125.86,126.36,125.13,125.48,6490304
2017-03-27,125.16,126.14,125.15,125.8,5004285
2017-03-28,125.62,125.78,124.78,125.66,5287559
2017-03-29,125.05,125.33,124.36,124.92,3971828
2017-03-30,124.74,125.43,124.28,124.66,4711693
2017-03-31,124.11,124.82,124.03,124.55,5657560
2017-04-03,124.73,125.31,124.28,124.69,4956532
2017-04-04,124.51,124.76,124.22,124.68,5358474
2017-04-05,124.72,125.6,124.41,124.8,5646251
2017-04-06,124.85,125.46,124.5,125.05,4324385
2017-04-07,125.12,125.47,124.83,124.92,3615126
2017-04-10,124.87,124.95,124.23,124.34,4594234
2017-04-11,124.26,124.79,123.95,124.22,4161540
2017-04-12,124.54,125.46,124.36,125.4,5556604
2017-04-13,125.13,125.65,124.96,124.99,5396539
2017-04-17,125.02,125.81,124.93,125.72,5367465
2017-04-18,123.18,123.37,120.95,121.82,13485682
2017-04-19,122.1,122.28,121.11,121.37,6993098
2017-04-20,121.86,122.15,121.35,121.87,6330136
2017-04-21,121.78,122.04,121.54,121.76,6021721
