Date,Open,High,Low,Close,Volume
2017-01-03,28.48,28.99,28.4,28.6,5170176
2017-01-04,28.45,28.98,28.31,28.9,2778174
2017-01-05,28.88,29.1,28.62,28.84,2136674
2017-01-06,28.87,28.91,28.61,28.86,1394700
2017-01-09,28.62,28.7,28.26,28.39,2217529
2017-01-10,28.38,28.54,28.22,28.4,2206908
2017-01-11,27.5,27.94,27.32,27.85,4789985
2017-01-12,27.87,27.94,27.4,27.8,2502701
2017-01-13,27.83,27.98,27.76,27.87,1503771
2017-01-17,27.7,27.8,27.29,27.41,2509953
2017-01-18,27.55,27.65,27.33,27.34,3229695
2017-01-19,27.41,27.61,27.22,27.42,2972253
2017-01-20,27.47,27.61,27.11,27.43,3054770
2017-01-23,27.37,27.57,27.3,27.5,3083305
2017-01-24,27.53,27.96,27.43,27.84,2293642
2017-01-25,28.0,28.34,27.9,28.14,3302600
2017-01-26,28.24,28.3,27.56,27.72,6920325
2017-01-27,25.1,27.04,24.9,26.67,18320362
2017-01-30,26.59,26.6,26.2,26.45,5402182
2017-01-31,26.45,26.79,26.35,26.78,6013409
2017-02-01,26.74,26.89,26.57,26.81,5880131
2017-02-02,26.69,27.27,26.57,27.24,6030109
2017-02-03,27.4,27.46,27.2,27.35,3521857
2017-02-06,27.22,27.36,27.1,27.28,3873689
2017-02-07,27.22,27.24,26.98,27.2,5245936
2017-02-08,27.2,27.26,27.02,27.24,3036701
2017-02-09,27.32,27.62,27.3,27.4,2945850
2017-02-10,27.43,27.73,27.38,27.64,2316361
2017-02-13,27.7,28.03,27.7,27.93,3700347
2017-02-14,27.84,27.97,27.75,27.88,3576483
2017-02-15,27.88,28.04,27.8,27.96,2805572
2017-02-16,27.95,28.2,27.86,28.09,3302246
2017-02-17,28.06,28.43,27.98,28.39,3280644
2017-02-21,28.26,28.77,28.26,28.69,2933172
2017-02-22,28.59,28.7,28.38,28.53,2817508
2017-02-23,28.55,28.72,28.32,28.43,2329519
2017-02-24,28.16,28.42,28.05,28.42,1800490
2017-02-27,28.37,28.51,28.2,28.33,1489743
2017-02-28,28.26,28.29,27.89,28.0,3944861
2017-03-01,28.2,28.36,28.14,28.25,2760374
2017-03-02,28.13,28.28,27.98,28.26,3701097
2017-03-03,28.29,28.33,28.05,28.29,2446367
2017-03-06,28.16,28.25,28.01,28.16,3428551
2017-03-07,28.1,28.23,27.99,28.15,2645045
2017-03-08,28.03,28.03,27.44,27.7,6221634
2017-03-09,27.74,27.96,27.65,27.81,2385415
2017-03-10,27.89,28.09,27.84,28.01,4549425
2017-03-13,28.02,28.13,27.83,27.97,3630495
2017-03-14,27.96,28.16,27.83,28.14,2708452
2017-03-15,28.22,28.4,28.02,28.3,2887013
2017-03-16,28.42,28.56,28.26,28.52,3494819
2017-03-17,28.64,28.82,28.52,28.68,4417913
2017-03-20,28.28,28.4,28.07,28.18,4389114
2017-03-21,28.01,28.19,27.73,27.81,7346387
2017-03-22,27.81,28.14,27.7,28.01,2778795
2017-03-23,28.0,28.18,27.77,27.84,2707165
2017-03-24,27.93,28.1,27.72,27.82,2656137
2017-03-27,27.64,27.82,27.52,27.75,2724254
2017-03-28,27.75,28.0,27.64,27.79,2277730
2017-03-29,27.76,27.85,27.57,27.65,3905131
2017-03-30,27.69,27.82,27.64,27.7,4283821
2017-03-31,27.68,27.89,27.63,27.83,5097704
2017-04-03,27.86,27.93,27.42,27.72,2512392
2017-04-04,27.73,28.2,27.72,27.96,4391861
2017-04-05,28.05,28.21,27.79,27.82,3312417
2017-04-06,27.83,28.02,27.72,27.81,2468696
2017-04-07,27.81,28.06,27.76,27.87,3500128
2017-04-10,27.95,28.02,27.8,27.88,2347878
2017-04-11,27.84,27.86,27.62,27.79,3215398
2017-04-12,27.83,27.83,27.5,27.63,2944460
2017-04-13,27.7,27.84,27.55,27.56,3459323
2017-04-17,27.6,27.76,27.58,27.71,1992450
2017-04-18,27.62,27.89,27.62,27.7,6493556
2017-04-19,27.78,27.88,27.71,27.73,9401137
2017-04-20,27.87,28.0,27.71,27.8,5844277
2017-04-21,27.77,27.94,27.76,27.78,3359866
2017-04-24,28.14,28.41,28.04,28.27,5327433
2017-04-25,28.31,28.42,27.77,27.78,13535449
2017-04-26,28.47,30.0,27.92,29.46,25291287
2017-04-27,29.59,29.99,29.41,29.99,11312333
2017-04-28,29.65,30.31,29.63,30.07,9756840
2017-05-01,30.14,30.66,30.05,30.6,7849038
2017-05-02,30.61,30.96,30.55,30.89,5698695
2017-05-03,30.79,30.88,30.29,30.3,6722326
2017-05-04,30.42,30.6,30.32,30.5,8795546
2017-05-05,30.63,30.72,30.33,30.55,5655563
2017-05-08,30.49,30.63,30.43,30.49,7182119
2017-05-09,30.5,30.74,30.47,30.68,5084671
2017-05-10,30.74,30.9,30.56,30.85,3838994
2017-05-11,30.82,30.86,30.54,30.56,6463491
2017-05-12,30.55,30.69,30.46,30.59,7067097
2017-05-15,30.63,30.68,30.5,30.61,7148052
2017-05-16,30.68,30.68,30.44,30.59,6337937
2017-05-17,30.29,30.33,29.76,29.76,5059293
2017-05-18,29.51,29.89,29.17,29.59,7004747
2017-05-19,29.67,29.94,29.5,29.53,3285062
2017-05-22,29.47,29.74,29.47,29.63,4905761
2017-05-23,29.78,29.88,29.37,29.45,4162805
2017-05-24,29.42,29.46,29.18,29.34,3359416
2017-05-25,29.47,29.57,29.36,29.44,8431352
2017-05-26,29.56,29.56,29.28,29.32,2904277
2017-05-30,29.15,29.42,29.1,29.3,3073174
2017-05-31,29.35,29.44,29.14,29.33,4840982
2017-06-01,29.65,30.14,29.58,30.08,5158721
2017-06-02,30.19,30.23,29.77,30.03,3344690
2017-06-05,29.96,30.2,29.86,30.16,6384268
2017-06-06,30.11,30.44,30.0,30.06,4675649
2017-06-07,30.01,30.1,29.0,29.19,6957746
2017-06-08,29.14,29.63,29.1,29.49,6488822
2017-06-09,29.46,29.6,28.11,28.61,5710611
2017-06-12,28.39,28.88,28.01,28.86,9244460
2017-06-13,28.96,29.25,28.8,29.2,4420514
2017-06-14,29.25,29.29,28.47,28.71,6204810
2017-06-15,28.49,28.99,28.44,28.86,4906007
2017-06-16,28.87,28.95,28.52,28.67,4716809
2017-06-19,28.8,29.19,28.72,29.19,2991168
2017-06-20,29.15,29.25,28.73,28.77,5153956
2017-06-21,28.4,28.86,28.35,28.86,5115509
2017-06-22,28.85,28.9,28.14,28.36,6640815
2017-06-23,28.4,28.43,28.23,28.29,16676752
2017-06-26,28.3,28.36,27.96,28.11,8258302
2017-06-27,27.97,28.38,27.77,27.94,18018888
2017-06-28,28.17,28.31,28.02,28.17,3990906
2017-06-29,28.09,28.17,27.62,27.82,5513296
2017-06-30,27.86,28.04,27.76,27.88,6127928
2017-07-03,28.05,28.15,27.72,27.74,1818494
2017-07-05,27.86,28.24,27.76,28.18,3979051
2017-07-06,28.01,28.13,27.75,27.79,4180933
2017-07-07,27.86,28.49,27.86,28.45,3434337
2017-07-10,28.9,29.28,28.78,29.2,10964591
2017-07-11,29.2,29.27,28.91,29.11,3340983
2017-07-12,29.27,29.36,28.98,29.17,4221276
2017-07-13,29.24,29.3,29.07,29.09,2771070
