Date,Open,High,Low,Close,Volume
2017-01-03,87.85,87.97,86.4,87.53,3104614
2017-01-04,87.52,87.97,86.9,87.03,2274880
2017-01-05,86.9,87.3,86.08,86.53,3037390
2017-01-06,86.53,86.63,85.83,86.31,2450244
2017-01-09,86.25,86.48,85.59,86.07,2482512
2017-01-10,85.85,86.3,85.41,85.91,2539939
2017-01-11,86.12,87.04,86.04,86.76,2754510
2017-01-12,86.83,87.77,86.5,87.42,2484719
2017-01-13,87.42,87.43,86.58,87.03,1799100
2017-01-17,86.71,87.98,86.71,87.92,2304841
2017-01-18,87.8,88.59,87.8,88.35,2881765
2017-01-19,88.18,88.43,87.55,87.85,1690802
2017-01-20,88.35,89.0,88.01,88.95,2795514
2017-01-23,88.66,88.95,88.2,88.8,2654131
2017-01-24,88.91,89.19,88.32,88.69,2171124
2017-01-25,88.93,89.27,88.41,88.84,2267495
2017-01-26,89.49,89.9,88.72,89.41,3092073
2017-01-27,88.96,89.77,88.78,89.43,1842940
2017-01-30,89.09,89.5,88.63,89.08,2233590
2017-01-31,88.9,89.56,88.84,89.29,2650528
2017-02-01,88.89,89.34,88.31,88.41,1816784
2017-02-02,88.51,89.1,88.32,88.61,1826675
2017-02-03,89.21,89.35,88.64,89.27,2205056
2017-02-06,89.3,89.4,88.64,88.7,1359780
2017-02-07,88.71,89.02,88.5,88.81,2599297
2017-02-08,88.81,89.31,88.79,89.19,3300398
2017-02-09,89.27,90.39,89.04,89.78,2708309
2017-02-10,89.6,90.54,89.34,90.2,1882092
2017-02-13,90.31,90.6,89.7,90.58,1812547
2017-02-14,90.57,91.06,90.1,90.81,2323242
2017-02-15,91.13,91.3,90.26,91.1,3083858
2017-02-16,89.1,89.84,86.35,87.28,10584747
2017-02-17,92.0,97.77,91.85,96.65,30007660
2017-02-21,91.82,95.48,91.35,94.87,14423224
2017-02-22,94.85,95.0,92.99,93.36,5000119
2017-02-23,93.29,93.62,92.35,92.94,2901140
2017-02-24,93.51,93.8,92.57,93.08,2670483
2017-02-27,92.6,92.87,90.33,90.61,6085677
2017-02-28,90.68,91.98,90.35,91.51,4267732
2017-03-01,91.77,91.91,90.65,91.43,2858644
2017-03-02,91.5,91.69,90.78,91.28,2552714
2017-03-03,91.25,91.5,90.81,91.5,1653039
2017-03-06,91.02,91.51,90.79,91.16,2044942
2017-03-07,90.81,91.44,90.72,90.8,1490968
2017-03-08,90.67,91.17,90.44,90.9,2034763
2017-03-09,90.77,91.58,90.62,91.53,2108524
2017-03-10,92.08,92.09,91.26,91.51,2277111
2017-03-13,91.37,91.5,91.02,91.18,2182943
2017-03-14,91.16,91.35,90.67,91.06,2097343
2017-03-15,91.59,92.14,91.09,91.84,2076292
2017-03-16,92.74,93.27,92.16,92.77,4139046
2017-03-17,93.6,93.67,91.82,91.98,5655915
2017-03-20,92.03,92.95,91.89,92.36,2062998
2017-03-21,92.31,92.78,91.59,91.9,2373303
2017-03-22,92.25,92.75,92.04,92.29,1540330
2017-03-23,92.05,92.78,91.9,92.01,1833318
2017-03-24,92.24,92.4,91.32,91.68,1703782
2017-03-27,91.5,91.59,91.09,91.25,1699017
2017-03-28,90.78,91.66,90.78,91.41,2223337
2017-03-29,91.2,91.6,91.06,91.49,1462578
2017-03-30,91.43,91.67,91.04,91.1,1143400
2017-03-31,90.88,91.19,90.57,90.81,2205051
2017-04-03,90.8,91.28,90.63,91.06,3414988
2017-04-04,90.7,91.25,90.27,91.22,2193999
2017-04-05,91.1,92.42,91.03,91.42,2694733
2017-04-06,91.49,91.79,90.65,90.95,2096946
2017-04-07,91.17,91.49,90.67,90.7,2000297
2017-04-10,90.65,91.0,90.16,90.89,3496948
2017-04-11,90.89,91.07,90.39,90.83,1396543
2017-04-12,91.03,92.14,91.01,91.93,2007448
2017-04-13,92.05,92.05,91.48,91.5,1816348
2017-04-17,91.8,91.96,91.03,91.58,1803779
2017-04-18,91.54,92.63,91.33,92.5,2135091
2017-04-19,92.43,92.45,91.69,91.85,1978523
2017-04-20,92.11,92.4,91.55,92.04,1787936
2017-04-21,92.13,92.24,91.56,91.6,1969817
2017-04-24,92.01,92.87,92.01,92.56,2185402
2017-04-25,92.64,92.9,92.28,92.29,1882406
2017-04-26,92.32,92.33,90.88,90.92,2736569
2017-04-27,90.92,91.42,90.66,90.83,2290675
2017-04-28,91.2,91.23,89.83,90.39,2894535
2017-05-01,90.65,90.75,89.35,89.47,3363636
2017-05-02,89.64,89.83,88.76,89.0,3058604
2017-05-03,90.22,90.22,88.9,89.14,2695311
2017-05-04,88.0,91.8,87.14,89.7,6391177
