Date,Open,High,Low,Close,Volume
2017-01-03,20.92,21.63,20.88,21.61,16489432
2017-01-04,21.67,21.74,21.45,21.72,8773316
2017-01-05,21.79,21.84,21.46,21.69,10612786
2017-01-06,21.71,21.91,21.58,21.81,9319312
2017-01-09,21.56,21.88,21.42,21.64,10413002
2017-01-10,21.74,21.8,21.49,21.57,14680201
2017-01-11,21.56,21.97,21.52,21.94,10211489
2017-01-12,22.0,22.22,21.74,22.19,14238979
2017-01-13,22.09,22.49,22.0,22.42,16135560
2017-01-17,22.5,22.68,22.43,22.55,14012179
2017-01-18,22.46,22.62,22.32,22.44,14458264
2017-01-19,22.0,22.75,21.86,22.47,16315259
2017-01-20,22.73,22.94,22.36,22.49,17148888
2017-01-23,22.56,22.59,22.08,22.14,12711527
2017-01-24,22.32,22.73,22.18,22.62,12002569
2017-01-25,22.62,22.7,22.22,22.6,19065038
2017-01-26,22.64,22.75,22.4,22.42,9862823
2017-01-27,22.42,22.46,22.2,22.38,10606992
2017-01-30,22.22,22.26,21.83,21.98,11029297
2017-01-31,22.01,22.35,21.88,22.34,9147317
2017-02-01,22.48,22.56,22.05,22.23,9352841
2017-02-02,22.32,22.65,22.22,22.65,11032608
2017-02-03,22.65,23.01,22.56,22.94,10785175
2017-02-06,22.92,22.97,22.47,22.5,8540758
2017-02-07,22.4,22.54,22.04,22.12,10529625
2017-02-08,22.02,22.43,21.82,22.41,11419051
2017-02-09,22.45,22.75,22.34,22.38,13105819
2017-02-10,22.58,22.7,22.44,22.48,20023809
2017-02-13,22.43,22.55,22.31,22.55,10190380
2017-02-14,22.61,22.64,22.38,22.54,8569896
2017-02-15,22.41,22.49,22.21,22.27,11872662
2017-02-16,22.28,22.28,21.75,21.79,17715717
2017-02-17,21.75,21.89,21.58,21.77,14646566
2017-02-21,21.82,22.1,21.79,21.99,10145536
2017-02-22,21.8,21.85,21.46,21.51,10998594
2017-02-23,21.74,21.8,21.45,21.54,11906548
2017-02-24,21.4,21.53,21.12,21.24,12515520
2017-02-27,21.31,21.45,21.2,21.4,11047845
2017-02-28,21.29,21.44,21.21,21.31,9969400
2017-03-01,21.51,21.95,21.41,21.77,11848137
2017-03-02,21.56,21.91,21.53,21.85,8926796
2017-03-03,21.85,21.98,21.65,21.75,8533973
2017-03-06,21.69,21.86,21.54,21.76,7829728
