Date,Open,High,Low,Close,Volume
2017-01-03,34.5,34.51,33.42,33.72,9555658
2017-01-04,33.78,33.84,33.22,33.24,9158528
2017-01-05,33.14,33.26,32.69,33.21,9937850
2017-01-06,33.12,33.18,32.72,33.11,9289687
2017-01-09,33.17,33.19,32.8,32.92,5922574
2017-01-10,32.84,33.45,32.82,33.19,7138543
2017-01-11,32.95,33.28,32.9,33.07,4616021
2017-01-12,33.0,33.64,32.93,33.52,6170505
2017-01-13,33.73,34.43,33.6,34.1,6886880
2017-01-17,34.1,34.94,34.0,34.84,7246694
2017-01-18,34.89,34.99,34.34,34.91,5396282
2017-01-19,34.74,34.99,34.26,34.26,6844953
2017-01-20,34.43,34.6,34.02,34.09,6841283
2017-01-23,34.08,34.14,33.45,33.53,5209667
2017-01-24,33.45,33.64,33.29,33.39,6923665
2017-01-25,33.57,33.94,33.22,33.47,6571719
2017-01-26,33.62,34.03,33.57,33.74,5547335
2017-01-27,33.74,33.74,32.98,33.36,5338665
2017-01-30,33.24,33.62,33.1,33.6,4091332
2017-01-31,33.62,33.97,33.42,33.96,5847437
2017-02-01,33.81,33.9,33.28,33.44,5005866
2017-02-02,33.71,34.16,33.71,34.1,6391816
2017-02-03,34.04,34.32,33.96,34.02,3943953
2017-02-06,33.96,34.09,33.64,33.69,4320085
2017-02-07,33.65,33.74,33.06,33.08,7939853
2017-02-08,33.06,33.12,32.44,32.84,9268413
2017-02-09,32.61,33.72,32.47,33.49,9795283
2017-02-10,33.5,33.67,33.18,33.48,5974210
2017-02-13,33.44,33.67,33.15,33.21,5462159
2017-02-14,33.18,33.34,32.67,33.07,13931377
2017-02-15,33.2,33.6,33.05,33.51,7743643
2017-02-16,33.65,34.27,33.61,33.94,7731097
2017-02-17,33.9,34.54,33.77,34.01,7385185
2017-02-21,34.1,34.75,34.06,34.22,5313720
2017-02-22,34.05,34.05,32.92,33.23,8872713
2017-02-23,33.39,33.39,32.65,32.99,7784147
2017-02-24,32.82,33.29,32.81,33.29,6847955
2017-02-27,32.84,32.9,32.03,32.22,12148739
2017-02-28,32.08,32.16,31.58,31.8,12856964
2017-03-01,31.93,32.48,31.68,32.06,13137393
2017-03-02,30.6,31.38,30.26,30.67,22585541
2017-03-03,30.68,30.75,29.43,29.63,18797872
2017-03-06,29.62,29.82,29.34,29.37,9252959
2017-03-07,29.1,29.25,28.73,28.81,12980008
2017-03-08,28.85,29.15,28.82,29.0,11812418
2017-03-09,29.01,29.46,28.76,28.83,10445809
2017-03-10,28.98,29.08,28.71,28.82,8474938
2017-03-13,28.83,29.08,28.53,28.69,9082816
2017-03-14,28.61,28.79,28.29,28.7,8266556
2017-03-15,28.83,29.08,28.58,28.84,9013115
2017-03-16,28.88,29.42,28.88,29.32,12652166
2017-03-17,29.53,29.64,29.26,29.55,22193849
2017-03-20,29.6,29.88,29.12,29.19,8659874
2017-03-21,29.22,29.44,28.88,28.93,7876411
2017-03-22,29.0,29.2,28.78,28.96,6730177
2017-03-23,29.34,29.64,29.08,29.26,10845131
