Date,Open,High,Low,Close,Volume
2017-01-03,85.52,85.64,80.62,80.82,2920486
2017-01-04,81.26,82.07,79.05,81.18,4636714
2017-01-05,81.22,82.92,81.08,81.71,2347296
2017-01-06,81.7,84.3,81.41,83.81,1778097
2017-01-09,83.3,83.75,81.22,81.55,1712486
2017-01-10,81.54,82.44,80.78,81.28,924629
2017-01-11,81.27,82.23,81.25,81.45,1641165
2017-01-12,81.21,82.39,80.38,82.12,1701018
2017-01-13,82.46,84.08,81.77,83.89,1844940
2017-01-17,84.41,86.25,83.73,84.26,1850622
2017-01-18,83.98,85.36,83.36,84.96,1666446
2017-01-19,87.19,88.08,84.17,84.5,2940396
2017-01-20,85.0,89.09,84.11,87.91,4102720
2017-01-23,86.07,86.95,84.97,85.6,2065246
2017-01-24,85.93,87.0,85.5,86.35,1325218
2017-01-25,86.69,88.94,86.6,88.87,1920213
2017-01-26,87.55,89.06,87.01,87.28,2571896
2017-01-27,87.49,87.49,85.17,86.0,2429748
2017-01-30,85.74,86.69,85.18,86.36,1579314
2017-01-31,85.99,86.25,85.18,85.91,2237423
2017-02-01,85.79,86.84,85.4,86.05,2028359
2017-02-02,85.57,85.72,84.5,84.94,1246765
2017-02-03,85.22,86.15,84.5,85.61,1340108
2017-02-06,85.49,86.14,84.77,85.22,977768
2017-02-07,85.53,86.05,84.68,85.0,1317511
2017-02-08,84.83,85.08,83.65,85.06,1375521
2017-02-09,85.3,86.39,85.3,85.96,1320462
2017-02-10,86.1,86.49,85.47,85.8,1802873
2017-02-13,86.35,87.28,86.01,86.67,1133121
2017-02-14,86.68,86.71,85.59,86.42,2378037
2017-02-15,86.05,86.9,85.87,86.75,1757818
2017-02-16,86.84,87.25,86.4,86.85,1021930
2017-02-17,86.56,87.05,86.03,86.89,1126101
2017-02-21,87.23,88.0,87.05,87.66,1388297
2017-02-22,87.17,88.4,86.89,87.7,1258199
2017-02-23,87.96,88.36,86.33,87.41,2126547
2017-02-24,86.84,88.47,86.51,88.33,1792699
2017-02-27,88.57,88.73,87.86,88.42,763598
2017-02-28,88.58,89.44,88.18,88.63,1202765
