Date,Open,High,Low,Close,Volume
2017-01-03,30.99,31.36,30.71,31.03,1838489
2017-01-04,31.08,31.29,30.98,31.24,2265794
2017-01-05,31.15,31.34,30.8,31.26,2371323
2017-01-06,31.26,31.97,30.93,31.67,2559176
2017-01-09,31.66,31.71,31.16,31.19,2029929
2017-01-10,31.11,31.52,31.11,31.26,1482517
2017-01-11,31.19,31.36,30.98,31.18,2136202
2017-01-12,31.13,31.7,31.02,31.64,1669647
2017-01-13,31.75,31.86,31.43,31.8,1177152
2017-01-17,31.68,31.81,31.44,31.6,1653564
2017-01-18,31.62,31.87,31.4,31.87,1354513
2017-01-19,31.93,31.99,31.38,31.48,3889904
2017-01-20,31.66,31.87,31.38,31.62,1916521
2017-01-23,31.54,31.93,31.39,31.66,1740358
2017-01-24,31.83,31.88,31.46,31.48,2996659
2017-01-25,31.66,31.9,31.5,31.61,2180291
2017-01-26,31.66,31.85,31.38,31.59,1580220
2017-01-27,31.58,31.67,31.24,31.47,1675648
2017-01-30,31.42,31.86,31.04,31.85,2563571
2017-01-31,31.77,31.92,31.52,31.91,2489899
2017-02-01,31.91,32.17,31.46,31.7,2051905
2017-02-02,31.64,31.75,31.46,31.74,1184120
2017-02-03,31.72,32.08,31.61,31.96,1807566
2017-02-06,31.88,31.98,31.43,31.48,2595223
2017-02-07,31.62,31.64,30.73,30.89,2365721
2017-02-08,30.89,30.99,30.58,30.64,1946001
2017-02-09,30.63,31.24,30.61,31.24,2316038
2017-02-10,31.26,31.34,31.09,31.2,1463200
2017-02-13,31.25,31.38,31.14,31.35,1517060
2017-02-14,31.38,31.66,31.03,31.66,1608571
2017-02-15,31.51,32.06,31.37,31.92,1627120
2017-02-16,31.91,32.07,31.75,31.98,2379365
2017-02-17,31.88,31.99,31.61,31.94,2292395
2017-02-21,32.14,32.9,32.09,32.83,3138296
2017-02-22,32.73,33.17,32.46,33.05,4378417
2017-02-23,32.0,32.1,31.09,31.58,6674402
2017-02-24,31.56,31.94,31.4,31.88,5093059
2017-02-27,31.92,32.0,31.54,31.59,3728427
2017-02-28,31.48,31.8,31.19,31.58,4050799
2017-03-01,31.9,32.3,31.73,32.26,2345176
2017-03-02,32.14,32.29,31.53,31.56,3171923
2017-03-03,31.59,31.73,31.42,31.71,3160053
2017-03-06,31.58,31.74,31.3,31.31,2783085
2017-03-07,31.29,31.4,30.82,30.89,2234585
2017-03-08,30.92,31.26,30.69,30.7,2129085
2017-03-09,30.63,30.76,30.37,30.44,2752285
2017-03-10,30.68,30.69,29.95,30.0,4782169
2017-03-13,30.0,30.26,29.93,30.23,2381256
2017-03-14,29.48,30.23,29.48,30.15,1629760
2017-03-15,30.18,30.31,29.96,30.18,2559862
2017-03-16,30.23,30.54,30.22,30.41,2102404
2017-03-17,30.59,30.67,30.14,30.31,3093992
2017-03-20,30.31,30.4,29.97,29.99,1364187
2017-03-21,30.13,30.28,29.64,29.65,2304367
2017-03-22,29.72,29.82,29.46,29.67,1926930
2017-03-23,29.7,29.81,29.5,29.54,2160026
2017-03-24,29.54,29.7,29.26,29.39,1853872
2017-03-27,29.18,29.45,29.03,29.39,4330486
2017-03-28,29.27,29.65,29.09,29.62,3832139
2017-03-29,29.61,29.82,29.53,29.65,1781731
2017-03-30,29.56,29.89,29.52,29.6,1613589
2017-03-31,29.62,29.79,29.24,29.27,3239232
2017-04-03,29.14,29.39,28.6,28.7,2959946
2017-04-04,28.69,28.78,28.28,28.35,3092262
2017-04-05,28.5,28.7,27.89,27.95,3036583
2017-04-06,28.04,28.24,27.88,28.11,3351592
2017-04-07,28.09,28.16,27.85,28.06,2547147
2017-04-10,28.04,28.44,28.02,28.31,2348768
2017-04-11,28.27,28.62,28.22,28.62,2416836
