Date,Open,High,Low,Close,Volume
2017-01-03,50.4,51.16,49.81,49.98,4210345
2017-01-04,50.25,51.42,50.15,51.3,4914351
2017-01-05,51.44,52.12,50.12,50.47,7131460
2017-01-06,50.49,50.65,49.45,49.93,5691930
2017-01-09,50.0,50.93,49.8,50.3,4966571
2017-01-10,50.55,51.89,50.53,51.34,5569265
2017-01-11,51.77,52.2,51.47,51.68,5941592
2017-01-12,51.68,51.95,50.26,51.01,6059844
2017-01-13,51.0,51.34,50.78,51.15,2611302
2017-01-17,50.88,51.34,50.22,50.24,4219664
2017-01-18,50.07,50.66,49.7,50.38,5897035
2017-01-19,50.45,50.75,49.85,50.07,4238086
2017-01-20,50.14,51.17,50.14,51.09,5196548
2017-01-23,51.03,51.14,49.77,49.94,4222197
2017-01-24,50.12,50.24,49.58,49.65,6152433
2017-01-25,49.09,49.95,48.71,49.46,8380847
2017-01-26,51.4,53.99,51.14,53.92,15952560
2017-01-27,54.08,54.18,52.38,52.7,7686996
2017-01-30,52.13,52.4,51.17,52.35,8057621
2017-01-31,52.06,52.4,51.51,52.31,6603950
2017-02-01,52.55,53.27,52.44,52.73,4953408
2017-02-02,52.27,53.31,52.18,52.86,4563728
2017-02-03,53.0,53.58,52.6,52.88,3631613
2017-02-06,53.17,53.38,52.9,53.07,3334991
2017-02-07,53.35,53.88,52.91,53.04,5230979
2017-02-08,53.2,53.49,52.36,52.92,4076765
2017-02-09,53.01,54.67,52.9,54.52,7692173
2017-02-10,54.77,54.87,54.37,54.71,3194420
2017-02-13,54.84,56.31,54.84,55.73,5412782
2017-02-14,55.73,55.74,54.92,55.31,4945071
2017-02-15,56.91,58.06,55.8,57.29,9908466
2017-02-16,57.4,57.4,56.06,56.34,5617944
2017-02-17,56.12,57.35,55.58,57.32,6077210
2017-02-21,57.6,57.99,57.08,57.86,4290578
2017-02-22,57.79,58.0,57.14,57.91,4782067
2017-02-23,58.08,58.55,57.12,57.26,4664723
2017-02-24,56.92,58.56,56.37,58.54,5513352
2017-02-27,58.34,58.48,57.57,58.43,6309455
2017-02-28,58.4,58.57,57.7,57.8,5733881
2017-03-01,58.47,59.68,58.43,58.88,5382908
2017-03-02,58.46,58.73,57.53,57.57,4658729
2017-03-03,57.7,59.0,57.6,58.86,5137340
2017-03-06,58.51,58.6,57.16,57.56,5899543
2017-03-07,57.41,57.41,56.69,56.83,5757275
2017-03-08,56.91,57.03,56.43,56.68,6219846
2017-03-09,56.73,57.38,56.28,56.36,7228219
2017-03-10,54.68,55.99,54.41,55.88,12504892
2017-03-13,55.72,56.18,54.46,54.49,9720352
2017-03-14,54.11,54.14,52.72,52.88,9223072
2017-03-15,51.97,54.62,51.82,54.29,9513649
2017-03-16,54.6,54.61,53.77,54.15,4933726
2017-03-17,54.14,54.21,53.16,53.18,6400275
2017-03-20,53.51,53.75,52.94,53.45,4754722
2017-03-21,53.66,53.66,51.8,51.88,6374873
2017-03-22,51.64,52.53,51.11,52.46,5817427
2017-03-23,52.46,52.96,52.24,52.37,3022315
2017-03-24,52.64,52.87,52.29,52.61,3719743
2017-03-27,52.0,53.0,51.7,52.88,4259952
2017-03-28,52.8,54.54,52.46,54.19,6854356
2017-03-29,54.01,54.08,53.16,53.48,4487484
2017-03-30,53.52,54.25,53.41,53.83,2631768
2017-03-31,53.53,53.96,53.41,53.76,3119614
2017-04-03,53.72,54.12,53.18,54.0,3446371
2017-04-04,53.81,53.9,52.88,53.07,3991156
2017-04-05,53.49,54.41,53.3,53.35,4822565
2017-04-06,53.35,53.77,52.96,53.38,3024155
2017-04-07,53.34,54.87,53.26,54.54,7941528
2017-04-10,54.4,54.63,53.96,54.22,4268907
2017-04-11,54.21,55.08,53.59,55.06,5431126
2017-04-12,55.71,56.57,55.48,55.51,6956928
2017-04-13,55.33,55.37,54.29,54.31,4207085
2017-04-17,54.45,54.73,54.15,54.72,2852355
2017-04-18,54.66,55.07,53.81,54.42,3620098
2017-04-19,54.78,55.09,54.48,54.65,2880051
2017-04-20,54.92,56.12,54.92,55.95,4279880
2017-04-21,55.83,56.15,55.34,55.63,3828143
2017-04-24,56.2,56.7,56.05,56.49,3573551
2017-04-25,56.92,57.84,56.91,57.09,5313733
2017-04-26,57.21,57.52,56.71,56.94,5407413
2017-04-27,55.61,56.42,54.52,55.75,10258661
2017-04-28,55.92,56.39,55.66,56.22,5012163
2017-05-01,56.52,57.22,56.17,56.28,4157016
2017-05-02,56.35,58.46,56.3,58.33,4894093
2017-05-03,58.1,58.42,57.84,58.16,4023888
2017-05-04,58.42,58.65,57.54,58.34,3847292
2017-05-05,58.4,58.55,57.94,58.4,2423635
2017-05-08,58.5,58.73,57.25,57.48,3625153
2017-05-09,57.75,58.56,57.66,58.28,4467852
