Date,Open,High,Low,Close,Volume
2017-01-03,57.09,58.94,57.06,58.94,4515562
2017-01-04,58.9,59.24,58.78,59.12,3303292
2017-01-05,59.12,59.17,58.41,58.87,2823606
2017-01-06,58.86,58.9,58.62,58.7,2004047
2017-01-09,58.66,58.93,58.47,58.64,1906943
2017-01-10,58.74,58.74,58.29,58.45,2901473
2017-01-11,58.49,58.64,58.02,58.5,1850284
2017-01-12,58.34,58.34,57.92,58.22,2875605
2017-01-13,58.3,58.57,58.07,58.4,1915654
2017-01-17,58.1,58.79,58.1,58.74,1916925
2017-01-18,58.95,58.98,58.68,58.84,1121418
2017-01-19,58.89,58.99,58.66,58.77,1367946
2017-01-20,59.07,59.3,58.85,58.89,1175125
2017-01-23,58.96,59.26,58.7,59.23,1574528
2017-01-24,59.14,59.14,58.78,58.95,1757964
2017-01-25,59.08,59.31,59.0,59.2,2170136
2017-01-26,59.12,59.84,58.88,59.76,1650349
2017-01-27,59.76,59.81,59.39,59.61,2401290
2017-01-30,59.58,59.59,59.0,59.33,1141265
2017-01-31,59.46,59.7,59.03,59.46,1949510
2017-02-01,59.7,60.12,58.97,59.11,2455212
2017-02-02,59.02,59.11,58.42,58.77,3037644
2017-02-03,59.05,59.15,58.72,59.02,1813881
2017-02-06,58.9,59.12,58.33,58.37,1929319
2017-02-07,58.39,58.56,58.0,58.18,1350267
2017-02-08,58.13,58.26,57.23,57.55,2675580
2017-02-09,57.51,58.09,56.92,57.63,2098087
2017-02-10,57.58,57.81,57.32,57.74,1697896
2017-02-13,57.75,58.19,57.75,58.01,2326808
2017-02-14,58.01,58.1,57.73,57.87,1678099
2017-02-15,57.62,57.86,57.42,57.52,2171045
2017-02-16,57.49,57.53,57.19,57.33,2139045
2017-02-17,57.2,57.36,57.03,57.3,2366556
2017-02-21,57.38,57.87,57.31,57.82,2252440
2017-02-22,57.78,58.15,57.76,57.99,3306762
2017-02-23,58.13,58.16,57.62,57.78,2630769
2017-02-24,57.71,57.83,57.41,57.61,2668662
2017-02-27,57.67,58.07,57.43,57.63,2332105
2017-02-28,57.55,57.71,57.0,57.25,3013278
2017-03-01,57.51,57.86,56.76,57.65,3388450
2017-03-02,57.66,57.66,56.92,56.98,3029346
2017-03-03,56.97,57.04,56.62,56.84,1549672
2017-03-06,56.7,56.8,56.04,56.25,3288444
2017-03-07,56.05,56.25,55.26,55.46,2564906
2017-03-08,55.46,55.79,55.26,55.35,1490380
2017-03-09,55.26,56.01,55.25,55.86,1381676
2017-03-10,55.9,56.47,55.9,56.47,1236912
2017-03-13,56.47,56.97,56.45,56.95,1540309
2017-03-14,56.89,56.98,56.41,56.82,1288098
2017-03-15,56.9,57.61,56.89,57.56,2958684
2017-03-16,57.74,57.74,56.89,57.03,2408625
2017-03-17,57.23,57.73,56.99,57.47,3657162
2017-03-20,57.47,57.66,57.28,57.43,2381888
2017-03-21,57.6,57.6,56.8,57.02,1510208
2017-03-22,56.91,56.97,55.84,56.13,2944938
2017-03-23,56.06,56.36,55.84,56.06,2487621
2017-03-24,56.23,56.42,55.92,56.12,2340014
2017-03-27,55.88,56.01,55.55,55.83,2061978
2017-03-28,55.69,55.84,55.45,55.77,1365641
2017-03-29,55.87,56.69,55.85,56.53,1474985
2017-03-30,56.5,57.11,56.42,57.06,2033893
2017-03-31,56.96,57.4,56.96,57.22,1850029
2017-04-03,57.24,57.46,56.92,57.33,1800394
2017-04-04,57.23,57.79,57.14,57.76,3344539
2017-04-05,57.88,58.44,57.62,58.09,3361345
2017-04-06,58.1,58.78,57.98,58.53,1953371
2017-04-07,58.55,59.12,58.45,58.54,2276375
2017-04-10,58.63,59.16,58.59,59.0,2308343
2017-04-11,58.95,59.21,58.64,59.1,1254771
2017-04-12,58.9,59.59,58.9,59.56,3443747
2017-04-13,59.47,59.87,59.17,59.54,3710277
2017-04-17,59.83,60.11,59.58,59.84,2081114
2017-04-18,59.72,59.85,59.41,59.48,2063289
2017-04-19,59.73,59.89,59.58,59.86,2703001
2017-04-20,59.8,60.4,59.54,60.24,2717641
2017-04-21,60.1,60.18,59.86,60.06,1619926
2017-04-24,60.5,60.63,60.02,60.13,1850746
2017-04-25,60.15,61.02,60.15,60.96,2274858
2017-04-26,61.0,61.33,60.83,60.99,1993090
2017-04-27,61.0,61.26,60.84,60.88,2634382
2017-04-28,60.87,60.9,60.22,60.76,1756116
2017-05-01,60.9,60.92,60.44,60.44,2353234
2017-05-02,60.5,61.42,60.43,61.32,2360829
2017-05-03,61.31,61.32,60.29,60.42,1537347
2017-05-04,59.49,59.51,56.88,57.81,6864535
2017-05-05,57.95,58.04,57.46,57.64,3771052
2017-05-08,57.7,59.49,57.59,59.46,3056398
2017-05-09,59.5,59.93,59.31,59.84,1536182
2017-05-10,59.61,60.24,59.37,59.99,1479983
2017-05-11,59.95,59.95,58.92,58.93,1575877
2017-05-12,58.92,59.28,58.82,59.09,3297026
2017-05-15,58.65,59.42,58.65,59.33,1382562
2017-05-16,59.44,59.6,59.05,59.37,1698884
2017-05-17,59.02,59.43,58.85,58.97,1657565
2017-05-18,58.98,59.26,58.62,59.03,1791073
2017-05-19,59.12,59.77,58.98,59.58,2095324
2017-05-22,59.58,59.86,59.31,59.67,1415989
2017-05-23,59.71,60.3,59.71,60.01,1127031
2017-05-24,59.92,60.06,59.46,59.64,979697
2017-05-25,59.6,59.74,59.32,59.67,785471
2017-05-26,59.68,59.72,59.42,59.47,619614
2017-05-30,59.36,59.85,59.18,59.65,1410115
2017-05-31,59.8,59.8,59.25,59.52,3215405
2017-06-01,59.95,62.07,59.91,61.86,4124399
2017-06-02,62.0,62.01,61.28,61.91,1547220
2017-06-05,61.91,62.13,61.68,61.91,2809120
2017-06-06,61.64,62.18,61.59,61.99,2893958
2017-06-07,62.17,62.17,61.67,62.01,1935049
2017-06-08,62.05,62.49,61.83,62.37,2103330
2017-06-09,62.38,62.61,62.17,62.36,4091205
2017-06-12,62.38,63.22,62.23,63.16,2824442
2017-06-13,63.1,64.08,63.06,63.96,1816689
2017-06-14,64.21,64.21,63.82,64.19,3241591
2017-06-15,64.17,64.61,63.72,63.8,2322895
2017-06-16,64.03,64.09,60.47,62.03,8027500
2017-06-19,62.04,62.04,61.17,61.45,3919135
2017-06-20,61.26,61.26,60.08,60.46,4403671
2017-06-21,60.81,60.81,59.59,60.09,4610253
2017-06-22,60.01,60.24,59.57,59.87,3846152
2017-06-23,59.98,60.21,59.65,60.06,2808576
2017-06-26,59.94,60.39,59.94,60.17,1753768
2017-06-27,60.0,60.82,59.86,60.2,2493936
2017-06-28,60.3,61.33,60.28,60.77,1979189
2017-06-29,60.86,60.86,59.41,59.7,2012357
2017-06-30,59.77,59.91,59.3,59.3,1458273
2017-07-03,59.57,59.66,59.2,59.54,499989
2017-07-05,59.52,59.63,58.87,59.15,2745110
2017-07-06,58.82,59.65,58.76,59.34,3582595
2017-07-07,59.37,59.4,58.79,58.93,2401552
2017-07-10,58.84,59.26,58.73,58.76,926368
2017-07-11,58.86,58.99,58.4,58.45,850783
2017-07-12,58.8,58.8,57.37,57.41,1955695
2017-07-13,57.46,57.91,57.2,57.77,1997213
