Date,Open,High,Low,Close,Volume
2017-01-03,36.13,36.2,34.79,35.23,9777618
2017-01-04,35.51,36.4,35.48,35.84,9508705
2017-01-05,31.57,31.85,30.51,30.86,29249122
2017-01-06,30.82,31.52,30.55,30.82,11484816
2017-01-09,30.88,30.99,30.35,30.46,9250337
2017-01-10,30.64,30.68,30.12,30.3,10683650
2017-01-11,30.5,30.53,29.75,29.95,8963993
2017-01-12,29.83,30.19,29.7,29.98,6352366
2017-01-13,29.92,30.0,29.66,29.88,5858026
2017-01-17,29.91,30.6,29.87,29.9,8772950
2017-01-18,30.01,30.01,28.55,29.44,13242207
2017-01-19,29.5,29.83,29.27,29.45,7456093
2017-01-20,29.57,29.85,29.46,29.7,7018816
2017-01-23,29.48,29.92,29.35,29.63,4666007
2017-01-24,29.52,30.03,29.52,29.98,5049677
2017-01-25,30.16,30.4,29.93,30.15,6088329
2017-01-26,30.18,30.34,29.81,29.92,4353916
2017-01-27,29.95,29.97,28.7,29.11,9945448
2017-01-30,29.07,29.53,29.03,29.52,5403592
2017-01-31,28.85,29.58,28.74,29.54,9050676
2017-02-01,29.32,29.57,29.12,29.21,5061199
2017-02-02,30.32,31.06,29.9,30.72,16462848
2017-02-03,30.69,34.37,30.11,32.69,47958389
2017-02-06,32.64,32.79,31.64,31.79,14485846
2017-02-07,31.74,32.15,31.02,31.2,10415505
2017-02-08,31.05,31.98,30.81,31.98,6918209
2017-02-09,31.89,32.65,31.64,32.37,7609562
2017-02-10,32.44,32.88,31.55,31.99,7894939
2017-02-13,33.07,33.23,32.43,32.58,14054991
2017-02-14,32.61,32.99,32.5,32.68,7542160
2017-02-15,32.89,33.02,32.41,32.74,7324994
2017-02-16,32.7,32.87,31.72,31.82,8813671
2017-02-17,31.96,32.31,31.86,32.3,8197221
2017-02-21,33.09,33.49,32.13,32.29,16118493
2017-02-22,32.3,32.84,32.11,32.36,9381632
2017-02-23,32.48,33.09,32.27,32.44,8962227
2017-02-24,32.48,33.56,32.27,33.17,8149239
2017-02-27,33.15,33.73,33.11,33.57,6298928
2017-02-28,33.0,33.24,32.66,33.22,10276353
2017-03-01,33.48,33.67,32.88,32.95,6063343
2017-03-02,33.13,33.32,32.96,33.22,4489398
2017-03-03,32.94,33.17,31.18,31.77,13210246
2017-03-06,31.32,31.35,30.2,30.69,10976066
2017-03-07,30.76,31.02,30.56,30.81,6091991
2017-03-08,30.84,32.16,30.74,31.77,7859794
2017-03-09,31.81,31.87,31.34,31.53,4471724
2017-03-10,31.76,31.97,31.46,31.73,3914649
2017-03-13,31.32,31.44,30.8,30.9,6127422
2017-03-14,31.07,31.75,30.5,30.95,4737058
2017-03-15,30.78,30.78,29.89,30.32,8595619
2017-03-16,30.0,30.58,29.75,30.41,6385561
2017-03-17,30.56,30.68,30.22,30.54,11769077
