Date,Open,High,Low,Close,Volume
2017-01-03,98.29,98.6,96.16,97.32,1006107
2017-01-04,97.7,98.67,97.3,98.21,890078
2017-01-05,98.11,98.65,96.67,98.08,897936
2017-01-06,98.16,98.49,97.43,98.0,933798
2017-01-09,97.95,98.0,96.52,97.4,991069
2017-01-10,97.11,98.03,96.6,97.5,743946
2017-01-11,96.3,96.98,94.77,94.98,907884
2017-01-12,94.73,96.21,94.4,96.11,670275
2017-01-13,95.95,96.08,94.87,95.12,404701
2017-01-17,95.17,96.77,95.17,96.71,843858
2017-01-18,96.88,97.23,96.06,96.32,638059
2017-01-19,96.17,96.54,94.64,95.26,508659
2017-01-20,95.35,95.97,94.2,95.87,495685
2017-01-23,96.18,96.69,95.65,95.94,403292
2017-01-24,95.93,96.75,95.46,96.65,1032789
2017-01-25,96.82,96.9,95.65,96.68,1028973
2017-01-26,96.64,97.37,96.16,96.81,698620
2017-01-27,97.24,97.48,95.42,95.73,502694
2017-01-30,95.52,96.6,94.43,94.8,619617
2017-01-31,94.9,96.4,94.64,94.95,1000628
2017-02-01,94.97,95.25,93.29,93.78,824659
2017-02-02,93.59,97.8,92.5,97.66,1624223
2017-02-03,98.19,98.77,97.27,97.98,1054464
2017-02-06,97.8,98.08,96.69,97.82,680351
2017-02-07,97.64,98.19,97.11,97.37,661873
2017-02-08,97.47,99.0,97.22,97.73,616519
2017-02-09,97.58,98.19,97.43,97.9,545947
2017-02-10,97.58,98.59,97.3,98.51,393192
2017-02-13,98.56,98.83,97.54,98.41,531196
2017-02-14,98.46,98.93,97.44,98.79,747630
2017-02-15,97.89,98.62,97.41,98.21,572336
2017-02-16,98.33,99.9,98.24,99.47,544415
2017-02-17,99.8,100.22,99.14,99.62,1069560
2017-02-21,99.26,100.73,99.02,100.55,579050
2017-02-22,100.71,100.97,99.65,100.35,668130
2017-02-23,100.72,101.78,100.02,101.56,542803
2017-02-24,102.0,102.09,100.68,102.05,698030
2017-02-27,102.32,103.05,101.78,102.71,612440
2017-02-28,102.78,102.97,102.18,102.73,665991
2017-03-01,103.0,103.64,102.18,102.57,864822
2017-03-02,102.64,103.02,101.2,101.38,1269187
2017-03-03,101.22,101.32,100.34,101.09,950248
2017-03-06,100.7,101.15,100.13,100.74,545588
2017-03-07,100.75,100.83,99.63,100.78,537169
2017-03-08,100.49,100.71,99.61,99.96,653464
2017-03-09,100.08,100.8,98.11,98.13,790611
2017-03-10,98.88,99.66,96.27,97.15,1067829
2017-03-13,97.38,97.95,96.71,97.76,1116200
2017-03-14,98.75,99.92,98.13,98.89,1073640
2017-03-15,98.87,101.54,98.02,101.13,993409
2017-03-16,101.0,102.17,100.62,101.22,921616
2017-03-17,101.32,102.74,100.72,101.78,2075913
2017-03-20,101.91,101.93,100.89,101.16,386384
2017-03-21,101.58,102.21,100.86,101.15,763958
2017-03-22,101.68,101.68,100.46,101.27,629289
2017-03-23,101.27,102.47,101.1,101.91,659927
2017-03-24,102.2,102.81,101.81,101.91,350759
2017-03-27,101.82,102.75,100.61,101.16,641301
2017-03-28,101.09,101.39,99.75,101.02,599099
2017-03-29,100.98,102.04,100.62,102.03,733469
2017-03-30,101.82,102.01,100.8,101.78,609565
2017-03-31,101.54,102.59,101.22,101.74,534700
2017-04-03,101.7,102.03,101.13,101.77,490064
2017-04-04,101.75,103.55,101.57,102.55,638955
2017-04-05,102.32,102.89,101.77,102.73,505888
2017-04-06,102.61,103.1,101.97,102.79,380084
2017-04-07,102.9,103.37,101.9,101.93,535934
2017-04-10,101.86,102.81,101.4,102.74,564208
2017-04-11,102.09,103.08,101.74,102.85,872044
2017-04-12,102.69,103.48,101.63,101.83,1128779
2017-04-13,101.81,102.05,100.8,101.09,728513
2017-04-17,101.38,101.73,101.21,101.72,1131003
2017-04-18,101.67,102.39,101.54,101.9,746695
2017-04-19,101.93,102.04,101.07,101.39,541922
2017-04-20,101.62,101.69,101.02,101.56,511663
2017-04-21,101.49,101.82,101.09,101.27,450120
2017-04-24,101.93,102.65,99.8,101.33,586325
2017-04-25,101.42,101.63,100.91,101.47,670616
2017-04-26,101.54,101.91,100.65,101.0,960009
2017-04-27,98.69,99.36,96.2,98.0,1625094
2017-04-28,97.29,99.25,97.29,99.21,1085667
2017-05-01,99.59,100.01,98.68,99.61,651542
2017-05-02,99.59,100.31,99.2,99.57,559112
2017-05-03,99.43,99.76,98.14,98.44,391716
2017-05-04,98.33,99.1,97.49,99.02,592276
2017-05-05,99.12,100.08,98.84,100.05,540433
2017-05-08,100.19,100.22,98.95,99.41,427172
2017-05-09,99.25,99.29,98.59,98.76,426160
2017-05-10,98.57,99.23,98.25,98.7,469262
2017-05-11,98.38,99.34,97.69,98.79,487861
2017-05-12,98.83,99.06,98.04,98.34,576153
2017-05-15,98.39,99.4,98.2,99.15,462246
2017-05-16,98.93,99.48,98.16,98.7,550705
2017-05-17,98.51,100.55,98.51,99.33,569583
2017-05-18,99.64,100.4,99.0,99.89,633713
2017-05-19,100.11,100.43,98.96,100.0,642187
2017-05-22,100.03,100.84,99.66,100.06,438415
2017-05-23,100.28,100.8,99.76,100.11,336181
2017-05-24,100.36,100.78,99.97,100.53,309776
2017-05-25,100.84,101.33,99.75,100.79,286689
2017-05-26,101.0,101.94,100.69,101.13,544625
2017-05-30,101.0,101.48,100.84,101.05,394925
2017-05-31,101.08,102.19,101.08,101.94,1012461
2017-06-01,101.82,102.25,101.12,102.2,905186
2017-06-02,102.78,104.71,101.77,104.29,900271
2017-06-05,104.14,105.97,103.76,105.57,745372
2017-06-06,105.65,105.78,104.6,105.02,576025
2017-06-07,105.3,106.84,105.06,106.79,999702
2017-06-08,106.85,107.63,105.96,107.37,750292
2017-06-09,107.29,107.94,106.76,107.2,859246
2017-06-12,107.04,107.9,106.83,107.4,753971
2017-06-13,107.32,108.16,107.21,108.16,674934
2017-06-14,108.58,109.36,108.52,108.88,844781
2017-06-15,108.72,110.95,108.72,110.0,1082917
2017-06-16,110.1,110.12,109.21,110.04,901963
2017-06-19,110.0,110.79,109.68,110.32,357030
2017-06-20,110.27,110.69,108.62,109.87,618875
2017-06-21,109.86,110.23,109.2,110.19,584076
2017-06-22,110.1,110.1,108.97,109.3,586046
2017-06-23,109.3,110.39,108.93,109.18,1314124
2017-06-26,109.22,109.84,108.46,108.6,561584
2017-06-27,108.38,108.64,106.64,106.72,1055882
2017-06-28,106.83,107.13,106.07,106.25,662599
2017-06-29,105.36,106.21,105.04,105.6,446452
2017-06-30,105.44,106.09,104.72,105.38,683290
2017-07-03,105.88,106.13,105.23,105.9,348372
2017-07-05,105.91,106.22,104.59,105.32,753036
2017-07-06,104.2,104.98,101.54,101.55,938293
2017-07-07,101.66,102.83,101.29,102.37,682076
2017-07-10,102.37,102.37,100.54,100.63,682934
2017-07-11,100.73,100.74,99.28,99.59,858152
2017-07-12,99.64,100.27,99.3,99.83,935740
2017-07-13,99.96,100.06,99.16,99.74,570766
