Date,Open,High,Low,Close,Volume
2017-01-03,70.95,71.19,70.21,70.98,821930
2017-01-04,71.18,71.93,71.07,71.85,711440
2017-01-05,70.44,72.58,69.71,72.42,1083298
2017-01-06,72.08,73.34,71.66,72.69,1169323
2017-01-09,72.77,72.77,71.32,71.42,1063625
2017-01-10,71.35,71.35,70.05,70.09,1108009
2017-01-11,69.96,70.47,68.93,69.14,1148783
2017-01-12,69.04,70.05,68.72,69.68,743834
2017-01-13,69.46,69.84,69.18,69.5,606937
2017-01-17,69.7,70.34,69.7,70.21,704543
2017-01-18,69.98,70.96,69.71,70.37,768888
2017-01-19,70.23,70.23,68.78,69.2,992538
2017-01-20,69.17,69.98,68.52,69.88,1140503
2017-01-23,69.68,70.37,69.42,70.08,885184
2017-01-24,70.04,70.7,69.9,70.06,679205
2017-01-25,70.27,70.27,69.28,69.55,1080195
2017-01-26,69.53,70.21,69.52,69.83,1031738
2017-01-27,69.87,70.03,67.78,68.0,962354
2017-01-30,68.03,68.12,67.09,67.68,921754
2017-01-31,67.78,69.24,67.78,68.69,2712394
2017-02-01,68.77,69.47,68.19,68.31,762622
2017-02-02,68.31,68.81,68.04,68.76,1061297
2017-02-03,69.38,69.64,68.87,69.34,545075
2017-02-06,69.33,69.59,68.65,69.02,861614
2017-02-07,66.9,67.57,66.61,67.38,3004944
2017-02-08,67.38,68.18,67.12,67.19,1074810
2017-02-09,67.18,68.51,67.18,68.42,799690
2017-02-10,68.31,68.73,68.16,68.37,684657
2017-02-13,68.66,69.01,67.06,67.7,900356
2017-02-14,67.61,67.61,66.72,67.17,794964
2017-02-15,66.76,67.31,65.79,67.19,1481395
2017-02-16,66.62,67.28,66.57,66.84,957054
2017-02-17,66.88,66.99,66.13,66.41,2134498
2017-02-21,66.44,67.92,66.44,67.81,598564
2017-02-22,67.81,68.0,66.71,67.3,588059
2017-02-23,67.7,67.79,67.1,67.32,675860
2017-02-24,67.09,67.44,66.26,67.21,764480
2017-02-27,67.5,68.21,67.3,67.93,450152
2017-02-28,67.84,67.84,67.08,67.38,723505
2017-03-01,67.79,67.79,66.6,67.7,1724815
2017-03-02,67.4,67.8,66.62,66.9,1316157
2017-03-03,66.86,67.0,65.6,66.57,1473075
2017-03-06,66.18,66.46,65.55,65.8,993955
2017-03-07,65.76,65.98,64.55,65.27,1464306
2017-03-08,64.86,65.11,63.59,63.81,1556458
2017-03-09,63.78,64.0,62.84,63.16,2554622
2017-03-10,63.64,64.0,62.48,63.5,2872890
2017-03-13,63.7,64.04,63.14,63.33,1200508
2017-03-14,62.89,63.31,62.71,63.07,876085
2017-03-15,63.13,65.23,63.13,64.89,1210796
2017-03-16,64.9,65.15,64.5,64.62,756681
2017-03-17,64.45,64.55,63.31,64.15,2217866
2017-03-20,64.17,64.4,63.7,64.15,1072236
2017-03-21,64.18,64.59,63.98,64.29,1660725
2017-03-22,64.04,64.04,62.14,62.84,2501238
2017-03-23,62.7,64.03,62.49,63.48,864127
2017-03-24,63.49,64.1,63.16,63.87,963743
2017-03-27,63.23,64.32,62.44,63.09,2092326
2017-03-28,63.1,63.97,62.76,63.91,972554
2017-03-29,63.85,64.18,63.35,64.0,1362839
2017-03-30,63.96,64.41,63.55,64.24,1053145
2017-03-31,64.15,64.89,64.15,64.4,1200654
