Date,Open,High,Low,Close,Volume
2017-01-03,83.35,83.85,81.71,82.5,3277092
2017-01-04,82.74,83.4,82.25,82.34,4016215
2017-01-05,82.07,83.07,81.66,81.78,2828243
2017-01-06,81.79,83.02,81.32,82.3,2306221
2017-01-09,82.05,82.7,81.6,82.25,2643139
2017-01-10,82.09,82.42,81.66,81.93,2167964
2017-01-11,82.28,83.42,81.8,82.84,2888140
2017-01-12,82.69,82.76,81.04,81.89,2281641
2017-01-13,81.93,82.65,81.93,82.64,1671459
2017-01-17,82.57,82.9,82.21,82.38,2113874
2017-01-18,82.41,83.1,82.07,83.0,1467468
2017-01-19,83.72,85.29,83.72,84.53,3465151
2017-01-20,84.87,85.76,84.16,84.38,2449777
2017-01-23,84.15,84.53,83.82,84.37,1451988
2017-01-24,84.35,84.97,84.02,84.51,1455829
2017-01-25,84.79,85.7,84.24,85.61,2094732
2017-01-26,85.79,86.24,85.54,85.84,2148312
2017-01-27,85.97,86.32,85.53,86.08,1693432
2017-01-30,85.83,85.83,84.58,85.26,2251945
2017-01-31,85.24,85.24,84.36,84.6,2461976
2017-02-01,84.49,85.21,84.27,84.64,2241740
2017-02-02,84.4,84.81,83.81,84.5,1803821
2017-02-03,84.77,85.52,84.77,85.45,1386686
2017-02-06,85.46,85.73,85.2,85.65,1224274
2017-02-07,85.56,86.34,85.55,85.81,1547704
2017-02-08,85.72,86.48,85.37,86.36,1869495
2017-02-09,86.86,86.97,86.26,86.79,2460783
2017-02-10,86.99,86.99,86.44,86.45,1866767
2017-02-13,86.84,87.42,86.58,87.38,1504163
2017-02-14,87.31,87.91,87.06,87.89,2366781
2017-02-15,87.57,89.46,87.27,89.46,3447087
2017-02-16,89.1,91.07,88.5,89.44,3415883
2017-02-17,89.28,89.66,87.24,89.36,5275189
2017-02-21,88.54,88.88,87.74,87.99,3637138
2017-02-22,87.7,88.03,87.61,87.68,1986798
2017-02-23,87.82,87.99,86.96,87.0,2013454
2017-02-24,87.03,87.59,86.8,87.08,2521731
2017-02-27,86.97,87.65,86.75,87.45,1885192
2017-02-28,87.31,87.75,86.89,86.99,2587163
2017-03-01,87.5,88.93,87.38,88.49,2589460
2017-03-02,88.2,88.22,87.22,87.52,2968450
2017-03-03,87.34,87.69,86.42,86.79,2061637
2017-03-06,86.58,87.03,86.06,86.72,2106979
2017-03-07,86.66,86.84,85.93,86.15,1909110
2017-03-08,85.95,86.71,85.63,86.39,2709189
2017-03-09,86.44,87.11,86.05,86.31,1906347
2017-03-10,86.98,87.02,86.03,86.62,2187416
2017-03-13,86.59,87.08,86.42,87.03,2236158
2017-03-14,86.86,86.86,86.25,86.27,2058875
2017-03-15,86.68,88.09,86.67,87.82,2012080
2017-03-16,87.82,88.5,87.35,88.06,1846420
2017-03-17,88.39,88.49,87.89,88.33,3015187
2017-03-20,88.34,89.23,88.31,88.68,2198055
2017-03-21,90.02,91.57,88.67,89.1,5486131
2017-03-22,89.27,92.26,89.05,92.14,4540146
2017-03-23,92.14,93.69,92.08,93.14,4658424
2017-03-24,93.5,93.86,93.25,93.5,2274870
2017-03-27,92.99,93.53,92.45,93.17,2151673
2017-03-28,93.17,94.99,93.0,94.49,2256913
2017-03-29,94.01,94.7,93.86,94.59,1663239
2017-03-30,94.4,95.42,94.4,94.64,2078584
2017-03-31,94.6,94.98,93.99,94.18,2269717
2017-04-03,94.28,94.53,92.08,92.75,3635615
2017-04-04,92.67,92.99,91.92,92.47,3098026
2017-04-05,92.8,93.22,91.55,91.96,2686769
2017-04-06,91.9,92.15,91.07,91.77,2516244
2017-04-07,91.73,91.73,90.25,91.21,2954694
2017-04-10,91.04,91.72,90.66,91.06,2152901
