Date,Open,High,Low,Close,Volume
2017-01-03,178.83,180.0,177.22,178.05,2510055
2017-01-04,178.03,178.9,177.61,178.32,1541985
2017-01-05,178.26,179.14,176.89,177.71,1447848
2017-01-06,177.29,178.6,175.8,178.23,1625049
2017-01-09,178.37,178.38,177.2,177.27,1622625
2017-01-10,177.36,177.49,176.31,176.58,2030149
2017-01-11,176.63,178.45,176.39,177.89,1579593
2017-01-12,176.97,177.7,175.75,177.44,1321766
2017-01-13,177.58,177.91,176.83,177.39,1265593
2017-01-17,177.0,177.68,176.25,177.26,1557453
2017-01-18,177.9,179.44,177.38,178.49,1804904
2017-01-19,179.25,179.8,177.76,178.68,1464364
2017-01-20,179.2,179.46,177.83,178.49,1761850
2017-01-23,177.91,178.99,177.13,178.51,1986788
2017-01-24,177.5,177.76,174.42,175.97,3473183
2017-01-25,177.09,178.63,176.57,176.73,3462633
2017-01-26,176.31,177.23,176.04,176.82,2235889
2017-01-27,177.48,177.98,176.83,177.48,1623666
2017-01-30,177.25,177.73,174.87,175.42,1823128
2017-01-31,174.74,175.46,173.81,174.82,1845543
2017-02-01,175.17,175.8,174.3,175.17,2272854
2017-02-02,174.13,174.78,173.55,174.18,3106798
2017-02-03,174.02,175.3,173.85,175.04,2820960
2017-02-06,174.12,176.2,173.9,175.1,1622756
2017-02-07,176.08,176.4,175.15,175.76,1247389
2017-02-08,175.62,177.6,175.49,177.07,2145683
2017-02-09,176.87,178.55,176.87,178.18,2009742
2017-02-10,178.3,179.58,178.19,179.0,1392438
2017-02-13,179.86,181.38,179.26,181.02,1929821
2017-02-14,180.86,182.0,180.65,181.6,2036188
2017-02-15,180.3,181.83,180.15,181.7,1762914
2017-02-16,181.75,183.46,181.62,183.41,2164045
2017-02-17,183.43,183.6,182.53,182.95,1961456
2017-02-21,182.79,183.62,182.04,183.37,1736345
2017-02-22,183.4,186.12,183.08,186.04,2850946
2017-02-23,185.91,187.46,185.71,187.19,2401641
2017-02-24,186.82,188.41,186.3,187.41,2126326
2017-02-27,187.5,187.55,186.38,186.91,1393808
2017-02-28,186.73,187.5,186.31,186.35,1932120
2017-03-01,188.08,190.54,188.01,189.86,2226206
2017-03-02,189.46,190.1,189.03,189.89,1763962
2017-03-03,189.85,190.24,188.54,189.31,1627706
2017-03-06,188.93,189.24,188.27,188.9,1668743
2017-03-07,188.29,189.26,188.25,189.09,1662286
2017-03-08,189.72,190.21,188.97,189.51,1565272
2017-03-09,189.25,190.39,189.17,189.9,1556675
2017-03-10,190.64,191.24,190.03,191.21,2514991
2017-03-13,191.77,191.96,190.46,191.52,1972733
2017-03-14,190.93,191.44,189.11,190.33,1893619
2017-03-15,190.18,191.86,189.72,191.2,2046978
2017-03-16,191.06,191.64,189.64,190.31,1937139
2017-03-17,190.82,192.36,190.35,192.36,4228102
2017-03-20,192.52,193.5,192.28,193.01,2085593
2017-03-21,193.49,193.49,191.51,192.13,1895059
2017-03-22,192.3,192.88,190.46,192.22,1627326
2017-03-23,192.12,192.97,191.23,192.14,1481951
2017-03-24,192.12,192.62,190.9,191.51,1435374
2017-03-27,190.7,191.0,189.16,190.43,1984622
2017-03-28,189.94,191.49,189.6,190.99,2330159
2017-03-29,190.59,191.28,190.26,190.68,1692204
2017-03-30,190.74,191.49,190.1,191.28,1835414
2017-03-31,191.3,192.4,190.99,191.33,1730048
2017-04-03,191.87,192.17,189.95,190.72,1546695
2017-04-04,190.57,190.98,189.78,190.19,1349899
2017-04-05,190.7,192.42,190.04,190.24,1448737
2017-04-06,190.41,191.02,189.5,189.89,1627375
2017-04-07,190.03,190.56,189.52,189.99,1025166
2017-04-10,190.16,190.52,189.31,189.71,1682689
2017-04-11,189.13,190.09,188.99,190.07,1459582
2017-04-12,190.31,190.49,189.4,189.7,1416141
2017-04-13,189.25,189.86,188.62,188.65,1274376
2017-04-17,189.31,190.36,189.29,190.36,1543558
2017-04-18,189.76,190.84,189.51,190.22,1176884
2017-04-19,190.8,191.13,189.52,189.83,1340386
2017-04-20,190.02,192.11,189.9,191.16,1748179
2017-04-21,191.15,191.62,190.59,191.5,2584194
2017-04-24,193.0,194.45,192.93,194.23,2709554
2017-04-25,193.99,195.61,192.36,195.13,4182229
2017-04-26,195.7,196.9,194.99,195.0,2641226
2017-04-27,195.43,196.54,195.11,196.11,1770896
2017-04-28,196.15,197.12,195.54,195.83,2467076
2017-05-01,195.5,195.73,194.47,194.81,1498630
2017-05-02,195.16,196.53,194.58,196.53,2467164
2017-05-03,196.6,197.87,195.71,197.63,2339647
2017-05-04,198.3,199.54,197.76,199.51,2321297
2017-05-05,199.67,199.9,198.98,199.4,1688558
2017-05-08,198.84,199.15,198.3,198.65,1576134
2017-05-09,199.36,199.36,197.53,197.96,1747761
2017-05-10,197.37,197.59,196.53,196.64,2248260
2017-05-11,196.04,196.94,195.26,196.75,1704992
2017-05-12,195.9,197.12,195.86,196.57,1323128
2017-05-15,196.67,197.74,196.23,197.63,1474490
2017-05-16,197.48,197.94,196.86,197.91,1183560
2017-05-17,195.39,195.91,194.72,194.84,1881826
2017-05-18,194.5,195.82,193.54,195.24,1928994
2017-05-19,196.3,196.3,194.45,195.8,1894690
2017-05-22,196.35,198.67,196.35,198.51,1836024
2017-05-23,198.73,198.97,197.52,197.73,1514199
2017-05-24,198.49,198.53,197.28,197.49,1291463
2017-05-25,198.41,199.61,197.75,199.54,1508025
2017-05-26,199.14,200.69,198.97,200.67,1410620
2017-05-30,200.31,203.03,199.96,202.44,2171094
2017-05-31,202.73,204.47,202.27,204.47,3096767
2017-06-01,204.25,204.9,203.68,204.35,2352733
2017-06-02,205.06,207.39,204.79,206.7,1831928
2017-06-05,206.77,207.33,206.22,206.22,1253148
2017-06-06,206.01,206.66,205.41,205.41,1458772
2017-06-07,205.73,205.87,204.1,205.01,1885635
2017-06-08,204.84,206.03,204.09,205.94,2451348
2017-06-09,206.0,206.97,205.64,206.93,1893492
2017-06-12,207.06,208.42,205.5,207.39,2388199
2017-06-13,207.58,209.66,207.56,209.11,1688785
2017-06-14,209.78,210.78,209.53,210.01,1585260
2017-06-15,209.5,211.32,209.44,211.29,1594060
2017-06-16,211.73,213.46,211.44,213.24,3420608
2017-06-19,214.0,214.0,212.7,213.36,1667649
2017-06-20,213.45,214.57,213.05,213.36,1531242
2017-06-21,214.02,214.02,212.09,212.86,1812903
2017-06-22,212.73,213.12,212.09,212.22,1400401
