Date,Open,High,Low,Close,Volume
2016-01-04,97.15,97.86,96.6,97.79,3155626
2016-01-05,98.22,98.64,97.06,97.28,3384922
2016-01-06,95.77,97.3,93.76,95.21,4990839
2016-01-07,93.39,94.9,93.08,93.58,5861265
2016-01-08,93.76,94.3,92.63,92.79,4605011
2016-01-11,92.97,93.54,91.73,92.28,4666483
2016-01-12,92.85,93.33,91.82,92.52,4025754
2016-01-13,92.99,93.32,90.87,91.19,4327000
2016-01-14,91.36,92.78,90.46,92.15,3694304
2016-01-15,90.33,91.76,90.23,90.87,4888338
2016-01-19,91.75,91.79,89.84,90.86,5079409
2016-01-20,89.47,90.34,87.29,89.81,4920539
2016-01-21,90.27,91.87,88.79,91.13,3919720
2016-01-22,92.32,93.29,91.52,91.87,3181630
2016-01-25,91.43,91.43,87.18,87.32,3627829
2016-01-26,87.46,88.89,87.3,88.5,2483192
2016-01-27,88.01,89.22,87.29,87.61,2430880
2016-01-28,88.35,88.76,87.3,87.8,2106645
2016-01-29,88.25,90.6,88.25,90.6,3661518
2016-02-01,89.48,90.3,88.32,90.13,2599169
2016-02-02,89.25,89.25,87.1,87.36,3336572
2016-02-03,88.27,89.5,87.38,89.5,5290618
2016-02-04,90.38,95.39,89.99,95.32,8555989
2016-02-05,95.2,95.94,94.16,94.58,2923068
2016-02-08,93.21,93.91,90.55,91.25,2698712
2016-02-09,91.06,92.04,89.84,91.7,2724070
2016-02-10,91.9,92.11,87.38,87.58,3570588
2016-02-11,85.8,87.0,84.71,85.69,3507884
2016-02-12,86.77,87.2,85.48,87.03,2268380
2016-02-16,88.01,88.08,85.85,87.94,3054467
2016-02-17,88.67,89.89,88.23,89.64,3155060
2016-02-18,89.98,90.93,89.42,89.92,2295890
2016-02-19,89.69,90.12,88.48,88.52,2681692
2016-02-22,89.5,90.52,89.19,89.47,1565267
2016-02-23,89.31,89.41,87.11,87.96,2250529
2016-02-24,87.18,88.78,86.53,88.57,1683688
2016-02-25,89.04,90.14,88.12,89.84,1552415
2016-02-26,90.84,92.1,90.36,90.58,2570959
2016-02-29,90.5,91.0,89.94,89.99,3088083
2016-03-01,91.34,93.25,90.95,92.49,2677932
2016-03-02,88.0,88.58,84.92,85.3,10298503
2016-03-03,85.21,85.7,84.25,84.94,5485742
2016-03-04,83.78,86.4,83.73,85.89,4822048
2016-03-07,86.05,88.9,85.5,88.48,4487004
2016-03-08,88.15,89.77,87.0,88.87,3285112
2016-03-09,89.31,89.87,88.46,88.72,2411967
2016-03-10,89.15,89.15,87.76,88.99,3146627
2016-03-11,89.67,91.17,89.41,90.95,3032644
2016-03-14,90.16,90.57,89.1,89.9,2790495
2016-03-15,88.78,89.21,87.35,89.17,2069669
2016-03-16,88.77,91.27,88.5,90.71,3511703
2016-03-17,90.83,93.55,90.7,92.92,3918501
2016-03-18,92.95,93.99,92.57,93.01,3850178
2016-03-21,92.5,92.57,91.15,91.31,2446531
2016-03-22,90.86,91.12,89.42,90.38,5599147
2016-03-23,90.25,90.65,89.07,90.07,1645758
2016-03-24,89.4,90.14,88.65,90.1,2901965
2016-03-28,90.13,91.43,90.06,90.63,2494446
2016-03-29,90.15,90.81,89.43,90.66,1677737
2016-03-30,91.33,92.0,90.83,91.09,1691979
2016-03-31,90.64,90.74,87.22,87.74,4553492
2016-04-01,87.26,87.98,85.93,87.87,3727836
2016-04-04,87.84,88.31,86.96,87.2,2635184
2016-04-05,87.04,87.66,85.78,86.64,2873115
2016-04-06,85.79,87.26,84.79,87.0,3495852
2016-04-07,86.29,87.08,85.51,86.1,2670130
2016-04-08,86.91,87.63,86.27,86.63,2645765
2016-04-11,86.79,87.46,86.6,86.77,2497027
2016-04-12,87.0,87.68,86.1,87.42,2222840
2016-04-13,88.04,89.78,87.69,89.74,2893658
2016-04-14,89.74,89.74,88.72,88.95,2404174
2016-04-15,88.75,88.75,85.92,88.37,3708943
2016-04-18,88.3,89.3,88.04,88.96,2286687
2016-04-19,89.49,93.43,89.31,93.27,5362388
2016-04-20,93.3,94.09,92.16,93.4,4120828
