Date,Open,High,Low,Close,Volume
2017-01-03,17.74,18.06,17.29,17.76,13525956
2017-01-04,17.71,18.09,17.54,18.05,9323117
2017-01-05,18.1,18.27,17.88,18.18,9764740
2017-01-06,18.17,18.17,17.83,17.88,7807763
2017-01-09,17.64,17.75,17.4,17.4,8866686
2017-01-10,17.5,17.58,17.35,17.48,6969475
2017-01-11,17.56,17.76,17.47,17.69,9787363
2017-01-12,18.03,18.1,17.32,17.44,10282420
2017-01-13,17.33,17.49,17.24,17.45,5406827
2017-01-17,17.63,17.7,17.4,17.44,6865047
2017-01-18,17.26,17.48,17.15,17.33,9286678
2017-01-19,17.33,17.5,17.21,17.27,6267139
2017-01-20,17.49,17.74,17.42,17.61,11179169
2017-01-23,17.48,17.62,17.27,17.42,9514775
2017-01-24,17.55,17.91,17.5,17.7,8316047
2017-01-25,17.69,17.88,17.67,17.75,8053516
2017-01-26,17.8,17.94,17.64,17.75,6978412
2017-01-27,17.68,17.7,17.28,17.41,6444456
2017-01-30,17.27,17.34,16.36,16.53,13623395
2017-01-31,16.55,16.75,16.28,16.75,10892719
2017-02-01,17.03,17.12,16.23,16.59,11449083
2017-02-02,16.64,16.77,16.29,16.68,9235813
2017-02-03,16.7,17.36,16.66,17.23,12758614
2017-02-06,17.25,17.25,16.46,16.52,9566020
2017-02-07,16.39,16.43,15.75,16.03,14647836
2017-02-08,15.86,16.24,15.63,15.88,13282283
2017-02-09,16.13,16.23,15.92,16.05,8911580
2017-02-10,16.38,16.4,16.05,16.19,11992619
2017-02-13,16.08,16.14,15.79,16.06,14778846
2017-02-14,16.16,16.43,15.97,16.41,11092094
2017-02-15,16.39,16.57,16.19,16.3,13241260
2017-02-16,16.6,17.05,16.13,16.17,23882206
2017-02-17,16.05,16.26,15.93,16.23,13921148
2017-02-21,16.42,16.64,16.32,16.38,13302165
2017-02-22,16.2,16.26,15.73,15.76,14602335
2017-02-23,16.25,16.25,15.7,15.98,16366349
2017-02-24,15.69,15.99,15.59,15.73,12131010
2017-02-27,15.9,15.98,15.66,15.85,11130915
2017-02-28,15.68,16.12,15.67,16.0,13377907
2017-03-01,16.16,16.65,16.1,16.45,12991682
2017-03-02,16.25,16.48,16.08,16.14,11310758
2017-03-03,16.18,16.5,16.12,16.18,6984632
2017-03-06,16.1,16.48,15.98,16.47,8821140
2017-03-07,16.55,16.59,16.11,16.28,11320444
2017-03-08,16.12,16.21,14.81,14.87,24467105
2017-03-09,15.66,16.07,15.22,16.07,36557869
2017-03-10,16.44,16.54,15.61,16.16,24326687
2017-03-13,16.05,16.24,15.8,15.84,15432314
2017-03-14,15.49,15.5,14.61,15.32,24942891
2017-03-15,15.48,15.68,15.23,15.56,15756356
2017-03-16,15.63,15.7,15.43,15.55,9523244
2017-03-17,15.61,15.65,15.39,15.46,12129438
2017-03-20,15.29,15.52,15.08,15.48,11142568
2017-03-21,15.55,15.56,14.88,15.05,15350747
2017-03-22,14.95,15.13,14.81,15.02,10055389
2017-03-23,14.96,15.02,14.66,14.68,14362607
2017-03-24,14.73,14.95,14.55,14.61,11814853
2017-03-27,14.41,14.78,14.3,14.75,9639768
2017-03-28,14.76,15.27,14.72,15.23,13184954
2017-03-29,15.21,15.98,15.18,15.85,15762081
2017-03-30,16.05,16.18,15.78,15.85,13249700
2017-03-31,15.8,16.0,15.56,15.8,9802733
2017-04-03,15.81,15.9,15.54,15.82,8428273
2017-04-04,15.81,16.15,15.65,16.14,9142062
2017-04-05,16.31,16.64,15.95,15.98,19647056
2017-04-06,16.14,16.46,16.01,16.31,12363554
2017-04-07,16.31,16.47,16.25,16.26,12551113
2017-04-10,16.38,16.68,16.35,16.56,11566712
2017-04-11,16.56,16.62,16.26,16.6,9674099
2017-04-12,16.64,16.9,16.29,16.41,16372093
2017-04-13,16.35,16.4,15.82,15.91,15490945
2017-04-17,15.91,16.11,15.7,16.02,11375158
2017-04-18,15.83,16.05,15.51,15.74,14014903
2017-04-19,15.76,15.82,14.96,15.06,13678193
2017-04-20,15.16,15.3,15.04,15.09,10314427
2017-04-21,15.02,15.24,14.89,15.16,14072858
2017-04-24,15.31,15.36,14.99,15.15,12722638
2017-04-25,15.17,15.63,15.05,15.61,10929393
2017-04-26,15.49,15.86,15.31,15.31,14794164
2017-04-27,15.1,15.18,14.63,14.88,21618281
2017-04-28,14.99,15.17,14.82,14.87,12815391
2017-05-01,14.87,14.95,14.74,14.82,7810750
2017-05-02,14.84,14.95,14.46,14.64,11147998
2017-05-03,14.56,14.95,14.52,14.85,12226484
2017-05-04,14.65,14.67,13.97,14.17,18856777
2017-05-05,14.1,14.34,13.65,14.29,21878546
2017-05-08,14.29,14.65,14.22,14.59,11747584
2017-05-09,14.63,14.63,14.28,14.4,10126082
2017-05-10,14.57,14.94,14.52,14.7,14454263
2017-05-11,14.66,14.84,14.47,14.48,12619308
2017-05-12,14.54,14.56,14.15,14.33,17497995
2017-05-15,14.93,15.12,14.43,14.54,15984820
2017-05-16,14.65,14.7,14.32,14.43,12764906
2017-05-17,14.23,14.61,14.18,14.35,14647038
2017-05-18,14.22,14.47,14.02,14.12,10776468
2017-05-19,14.25,14.67,14.21,14.53,12773472
2017-05-22,14.61,14.7,14.4,14.44,10009221
2017-05-23,14.49,14.59,14.36,14.56,10507179
2017-05-24,14.55,14.67,14.36,14.53,13020723
2017-05-25,14.42,14.7,13.43,13.5,26995539
2017-05-26,13.52,13.62,13.3,13.52,11294538
2017-05-30,13.42,13.43,13.11,13.12,10953983
2017-05-31,12.92,13.1,12.75,13.02,14886131
2017-06-01,13.05,13.41,12.95,13.1,11616959
2017-06-02,12.96,12.99,12.56,12.72,13849648
2017-06-05,12.61,12.86,12.54,12.78,10988549
2017-06-06,12.76,12.96,12.64,12.88,10660289
2017-06-07,12.8,12.92,12.12,12.21,24182868
2017-06-08,12.12,12.36,12.04,12.09,15665919
2017-06-09,12.15,12.67,12.04,12.54,17448833
2017-06-12,12.75,12.96,12.55,12.62,13353362
2017-06-13,12.61,13.06,12.57,13.01,13933733
2017-06-14,12.87,13.0,12.47,12.64,14260298
2017-06-15,12.57,12.76,12.26,12.37,12857856
2017-06-16,12.47,12.59,12.32,12.52,16457424
2017-06-19,12.54,12.6,12.42,12.49,10139721
2017-06-20,12.23,12.23,11.85,12.06,18851783
2017-06-21,11.99,12.13,11.55,11.61,19904441
2017-06-22,11.72,11.82,11.5,11.59,12304566
2017-06-23,11.62,11.74,11.41,11.53,14252811
2017-06-26,11.56,11.68,11.4,11.53,9819888
2017-06-27,11.55,11.62,11.32,11.35,24909384
2017-06-28,11.32,11.57,11.2,11.45,23210374
2017-06-29,11.51,12.01,11.5,11.71,19772484
2017-06-30,11.78,11.97,11.6,11.85,15088431
2017-07-03,11.97,12.23,11.94,12.14,8812912
2017-07-05,12.03,12.05,11.57,11.74,18979809
2017-07-06,11.89,11.96,11.53,11.59,17909368
2017-07-07,11.54,11.55,11.22,11.47,15445947
2017-07-10,11.41,11.59,11.34,11.52,10970423
2017-07-11,11.53,11.73,11.41,11.59,10410178
2017-07-12,11.72,11.86,11.42,11.43,17744826
2017-07-13,11.43,11.49,11.22,11.45,18171571
