Date,Open,High,Low,Close,Volume
2016-01-04,119.24,119.24,116.23,117.48,1141751
2016-01-05,117.87,118.99,117.08,118.13,650051
2016-01-06,116.35,117.23,115.28,115.74,859735
2016-01-07,113.98,114.57,111.9,112.48,982437
2016-01-08,113.54,113.6,109.96,110.17,865651
2016-01-11,110.09,111.26,108.32,109.13,1260295
2016-01-12,110.38,110.74,109.02,110.49,1317806
2016-01-13,110.98,111.16,106.49,106.72,1590886
2016-01-14,107.05,107.98,105.42,107.21,1148570
2016-01-15,105.82,105.88,102.72,104.49,1709374
2016-01-19,105.69,108.23,104.42,106.35,1688323
2016-01-20,104.12,106.08,101.91,104.73,2039185
2016-01-21,104.72,104.95,101.82,102.24,1675455
2016-01-22,103.74,105.32,102.19,104.58,1776102
2016-01-25,104.17,104.46,101.51,101.79,1603929
2016-01-26,102.26,105.9,101.98,105.68,2693082
2016-01-27,105.31,109.34,104.65,107.55,2060549
2016-01-28,107.93,109.6,106.91,108.2,1678319
2016-01-29,109.04,110.23,108.59,110.18,1814500
2016-02-01,109.78,110.17,107.16,108.16,1308806
2016-02-02,106.57,106.57,104.78,105.56,1250328
2016-02-03,105.93,106.26,103.17,106.17,1245858
2016-02-04,105.9,109.56,105.88,108.19,1008677
2016-02-05,108.2,109.82,106.95,107.8,1256874
2016-02-08,105.63,106.36,104.61,105.9,1094907
2016-02-09,104.44,108.28,104.34,107.52,1411763
2016-02-10,108.22,108.87,105.38,105.47,1023424
2016-02-11,102.42,103.79,100.08,100.78,1718362
2016-02-12,102.59,106.41,102.59,105.93,1363386
2016-02-16,107.72,110.25,106.23,108.88,1097864
2016-02-17,109.86,111.09,107.86,108.53,1294033
2016-02-18,108.98,108.99,105.28,106.16,1513042
2016-02-19,105.73,107.36,104.84,107.05,699788
2016-02-22,108.44,109.64,108.33,109.44,579007
2016-02-23,108.98,109.88,105.57,105.97,674495
2016-02-24,104.39,105.16,101.95,104.85,1040400
2016-02-25,105.16,106.11,103.44,105.29,1962475
2016-02-26,105.5,107.35,103.83,106.25,1323494
2016-02-29,106.34,106.34,102.53,102.55,1602615
2016-03-01,103.38,105.79,103.17,105.2,2064657
2016-03-02,105.38,108.97,104.73,108.88,1976268
2016-03-03,108.61,109.87,107.66,109.85,973804
2016-03-04,110.26,111.46,108.66,110.23,1009907
2016-03-07,109.26,110.08,108.63,109.71,699300
2016-03-08,108.54,108.92,107.12,107.82,1251614
2016-03-09,108.76,108.98,107.46,108.0,956067
2016-03-10,109.07,109.23,106.05,107.79,952488
2016-03-11,108.9,111.45,108.18,111.32,1490795
2016-03-14,111.24,112.23,110.35,111.57,836453
