Date,Open,High,Low,Close,Volume
2017-01-03,22.07,22.74,22.04,22.55,24962867
2017-01-04,22.67,22.84,22.24,22.36,20426819
2017-01-05,22.4,22.57,21.96,22.11,19759381
2017-01-06,22.27,22.28,21.98,22.04,17782160
2017-01-09,21.94,22.55,21.94,22.34,21537171
2017-01-10,22.36,22.69,22.3,22.48,20644345
2017-01-11,22.61,22.88,22.56,22.79,20907746
2017-01-12,22.46,22.48,21.7,22.31,27592288
2017-01-13,22.27,22.31,21.98,22.18,14025660
2017-01-17,21.88,22.07,21.58,21.74,20053761
2017-01-18,21.68,22.34,21.53,22.32,19493417
2017-01-19,21.5,22.3,21.49,21.71,31259017
2017-01-20,21.9,22.33,21.89,21.96,19978669
2017-01-23,21.96,22.31,21.74,21.89,16070257
2017-01-24,22.27,23.08,22.26,22.85,29461353
2017-01-25,23.4,23.98,23.19,23.56,33384707
2017-01-26,23.8,23.99,23.29,23.52,19379092
2017-01-27,23.53,24.1,23.45,23.97,18626054
2017-01-30,23.82,24.24,23.43,24.18,30508099
2017-01-31,23.95,24.15,23.68,24.11,22712508
2017-02-01,24.43,24.85,24.31,24.75,28728167
2017-02-02,24.53,25.31,24.46,24.79,45499729
2017-02-03,24.9,25.24,24.5,24.6,25054360
2017-02-06,24.53,24.73,24.21,24.34,18900002
2017-02-07,24.59,24.69,24.21,24.6,19879272
2017-02-08,24.25,24.38,23.91,24.21,21559205
2017-02-09,24.75,24.89,24.42,24.45,27887385
2017-02-10,24.71,24.76,23.9,24.05,28578398
2017-02-13,24.07,24.2,23.82,23.9,16876390
2017-02-14,23.36,23.37,22.68,23.12,60685229
2017-02-15,23.07,23.26,22.79,23.02,28215808
2017-02-16,23.04,23.34,22.85,22.98,23819848
2017-02-17,23.01,23.38,23.01,23.35,22108736
2017-02-21,23.62,23.98,23.58,23.77,20256331
2017-02-22,23.86,24.06,23.65,23.75,16013317
2017-02-23,23.92,23.97,23.22,23.48,20172926
2017-02-24,22.96,23.26,22.64,23.24,22019587
2017-02-27,23.36,23.77,23.15,23.76,17999814
2017-02-28,23.79,23.95,23.32,23.44,21447514
2017-03-01,24.16,24.58,24.07,24.55,27989312
2017-03-02,24.88,25.25,24.38,24.7,45941859
2017-03-03,25.2,25.68,24.98,25.57,37971610
2017-03-06,25.5,25.92,25.17,25.71,25527754
2017-03-07,25.56,25.75,25.28,25.64,20313002
2017-03-08,25.64,25.83,25.04,25.38,24921136
2017-03-09,25.23,25.49,24.85,25.15,21786556
2017-03-10,25.28,25.75,24.81,25.18,28919045
2017-03-13,25.39,25.82,25.29,25.7,23768209
2017-03-14,25.59,25.7,25.25,25.58,14587546
2017-03-15,25.15,26.15,24.94,26.12,29779850
2017-03-16,26.2,26.23,25.83,26.04,19147312
2017-03-17,25.86,25.91,25.4,25.8,19126498
2017-03-20,25.99,26.61,25.81,26.21,26918811
2017-03-21,26.3,26.44,25.43,25.52,28397518
2017-03-22,25.73,26.15,25.63,26.06,25092530
2017-03-23,26.36,26.49,26.04,26.47,47118274
2017-03-24,29.71,29.87,28.16,28.43,107481789
2017-03-27,28.1,29.18,28.07,28.76,48189996
2017-03-28,28.73,29.06,28.62,28.69,24776375
2017-03-29,28.6,28.68,28.35,28.5,23060612
2017-03-30,28.4,29.0,28.33,28.97,25092660
2017-03-31,29.1,29.36,28.9,28.9,32337822
2017-04-03,28.95,29.04,28.3,28.64,21629078
2017-04-04,28.47,28.68,28.16,28.59,13957931
2017-04-05,28.64,28.9,28.23,28.26,22389904
2017-04-06,28.25,28.78,28.02,28.62,19423730
2017-04-07,28.45,28.86,28.35,28.52,20325474
2017-04-10,28.45,28.49,27.58,27.64,27422050
2017-04-11,27.5,27.54,26.68,27.18,38619254
2017-04-12,27.42,27.43,26.66,26.69,24621861
2017-04-13,26.55,27.23,26.36,26.74,26077466
2017-04-17,26.91,27.22,26.83,27.13,14108578
2017-04-18,27.0,27.34,26.9,27.14,14407057
2017-04-19,27.45,27.55,27.05,27.26,21231909
2017-04-20,27.5,28.08,27.5,27.96,23632981
2017-04-21,28.0,28.03,27.16,27.32,28361662
2017-04-24,27.74,27.76,26.52,26.57,44041032
2017-04-25,26.71,27.02,26.36,26.99,22881446
2017-04-26,26.58,27.07,26.39,26.79,24670741
2017-04-27,27.17,27.65,27.1,27.63,24626933
2017-04-28,28.02,28.2,27.51,27.67,28105074
2017-05-01,27.85,28.38,27.72,28.29,23937955
2017-05-02,28.28,28.28,27.45,27.77,25335263
2017-05-03,27.55,28.1,27.55,28.0,15061274
2017-05-04,27.94,28.16,27.72,27.79,15544635
2017-05-05,27.8,28.22,27.62,28.2,15639616
2017-05-08,27.56,28.07,27.28,28.06,32326826
2017-05-09,28.11,28.9,28.06,28.81,31073381
2017-05-10,28.92,29.42,28.8,29.32,29267456
2017-05-11,29.17,29.31,28.69,29.03,22494565
2017-05-12,29.1,29.12,28.68,28.93,15902721
2017-05-15,29.08,29.19,28.73,28.83,21899866
2017-05-16,28.92,29.08,28.57,29.02,14940842
2017-05-17,28.34,28.51,26.96,27.0,38027938
2017-05-18,27.15,27.89,27.08,27.48,26862953
2017-05-19,27.78,28.16,27.73,27.82,19173238
2017-05-22,28.2,28.25,27.64,28.06,18032725
2017-05-23,28.08,28.31,27.56,28.29,21800825
2017-05-24,28.47,29.12,28.44,28.99,22353013
2017-05-25,29.2,29.66,29.19,29.43,20714035
2017-05-26,29.27,29.77,28.88,29.76,17784830
2017-05-30,29.94,30.87,29.88,30.7,34689995
2017-05-31,31.01,31.1,30.32,30.77,26402938
2017-06-01,30.75,30.83,30.28,30.76,20534768
2017-06-02,30.8,31.38,30.53,31.21,20206337
2017-06-05,31.3,31.76,31.07,31.21,24360840
2017-06-06,31.04,31.77,30.87,31.57,33125833
2017-06-07,31.7,32.55,31.7,32.5,32635843
2017-06-08,32.84,32.86,31.88,32.45,29156452
2017-06-09,32.67,32.93,29.55,30.6,53064220
2017-06-12,30.06,31.68,29.21,31.2,46550935
2017-06-13,31.75,32.24,30.77,31.54,33767863
2017-06-14,31.78,31.79,30.85,31.06,28934950
2017-06-15,30.47,30.97,30.08,30.56,33670601
2017-06-16,30.63,31.0,29.82,29.86,42881748
2017-06-19,30.51,31.25,30.33,31.2,24914991
2017-06-20,31.4,31.58,30.73,30.83,25793318
2017-06-21,31.18,32.15,31.06,32.01,30578970
2017-06-22,32.04,32.4,31.76,31.89,23050843
2017-06-23,31.89,32.08,31.64,31.73,45323751
2017-06-26,32.45,32.96,31.95,32.5,34750713
2017-06-27,32.51,32.66,31.61,31.66,33221485
2017-06-28,32.07,32.28,31.44,32.24,28415907
2017-06-29,32.29,32.39,30.64,31.47,53948379
2017-06-30,32.12,32.15,29.71,29.86,73308042
2017-07-03,30.09,30.28,28.56,29.14,36830403
2017-07-05,29.55,30.56,29.55,30.51,40444551
2017-07-06,29.94,30.48,29.92,30.1,27143769
2017-07-07,30.22,30.5,29.98,30.2,22023123
2017-07-10,30.16,30.59,29.75,30.5,24907897
2017-07-11,30.55,31.39,30.51,31.37,28530452
2017-07-12,31.77,31.78,31.16,31.45,22258626
2017-07-13,31.55,31.85,30.84,31.13,23772962
